Etats étrangers / Outre mer,Zone géographique,Pays,Type de financement,Année d'autorisation d'octroi,Montants en M€,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18
Etats étrangers,Afrique subsaharienne,Guinée,Subventions,2012,9.0,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Ethiopie,Subventions,2012,,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Malawi,Subventions,2012,,,,,,,,,,,,,
Etats étrangers,"Méditerranée, Moyen-Orient",Egypte,Subventions,2012,,,,,,,,,,,,,
Etats étrangers,Asie et Pacifique,Inde,Subventions,2012,0.1,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Zimbabwe,Subventions,2012,0.8,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Programmes multi-pays Afrique,Subventions,2012,46.0,,,,,,,,,,,,
Etats étrangers,Asie et Pacifique,Thaïlande,Subventions,2012,,,,,,,,,,,,,
Etats étrangers,"Méditerranée, Moyen-Orient",Maroc,Subventions,2012,0.7000000000000001,,,,,,,,,,,,
Etats étrangers,Asie et Pacifique,Pakistan,Subventions,2012,,,,,,,,,,,,,
Etats étrangers,"Méditerranée, Moyen-Orient",Liban,Subventions,2012,2.7,,,,,,,,,,,,
Etats étrangers,Asie et Pacifique,Birmanie,Subventions,2012,1.9,,,,,,,,,,,,
Etats étrangers,Amérique latine et Caraïbes,Costa Rica,Subventions,2012,,,,,,,,,,,,,
Etats étrangers,Amérique latine et Caraïbes,République dominicaine,Subventions,2012,0.1,,,,,,,,,,,,
Etats étrangers,Amérique latine et Caraïbes,Chili,Subventions,2012,,,,,,,,,,,,,
Etats étrangers,"Méditerranée, Moyen-Orient",Yemen,Subventions,2012,,,,,,,,,,,,,
Etats étrangers,Asie et Pacifique,Cambodge,Subventions,2012,6.8,,,,,,,,,,,,
Outre-mer,Outre-mer,La Réunion,Subventions,2012,,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Ouganda,Prêts,2012,18.8,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Ghana,Prêts,2012,125.6,,,,,,,,,,,,
Etats étrangers,Amérique latine et Caraïbes,El Salvador,Subventions,2012,,,,,,,,,,,,,
Etats étrangers,Amérique latine et Caraïbes,Guatemala,Subventions,2012,,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Guinée-Bissau,Prêts,2012,,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Zambie,Prêts,2012,59.1,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Sao Tomé-et-Principe,Prêts,2012,,,,,,,,,,,,,
Outre-mer,Outre-mer,Saint-Pierre et Miquelon,Subventions,2012,,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Sénégal,Prêts,2012,152.0,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Mozambique,Prêts,2012,50.0,,,,,,,,,,,,
Etats étrangers,"Méditerranée, Moyen-Orient",Macédoine,Prêts,2012,,,,,,,,,,,,,
Etats étrangers,Asie et Pacifique,Cambodge,Prêts,2012,69.7,,,,,,,,,,,,
Outre-mer,Outre-mer,Wallis-et-Futuna,Subventions,2012,0.1,,,,,,,,,,,,
Etats étrangers,Asie et Pacifique,Ouzbekistan,Prêts,2012,,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Tanzanie,Prêts,2012,56.5,,,,,,,,,,,,
Etats étrangers,Amérique latine et Caraïbes,El Salvador,Prêts,2012,,,,,,,,,,,,,
Etats étrangers,Asie et Pacifique,Tadjikistan,Prêts,2012,,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,République centrafricaine,Prêts,2012,,,,,,,,,,,,,
Etats étrangers,Amérique latine et Caraïbes,Costa Rica,Prêts,2012,7.7,,,,,,,,,,,,
Etats étrangers,Asie et Pacifique,Géorgie,Prêts,2012,15.6,,,,,,,,,,,,
Etats étrangers,Amérique latine et Caraïbes,Haïti,Prêts,2012,,,,,,,,,,,,,
Etats étrangers,Amérique latine et Caraïbes,Colombie,Prêts,2012,149.9,,,,,,,,,,,,
Outre-mer,Outre-mer,Terres Austral,Prêts,2012,,,,,,,,,,,,,
Etats étrangers,Amérique latine et Caraïbes,Honduras,Prêts,2012,16.0,,,,,,,,,,,,
Etats étrangers,Amérique latine et Caraïbes,Brésil,Prêts,2012,756.4,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Guinée,Garanties,2012,,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Afrique du Sud,Garanties,2012,,,,,,,,,,,,,
Outre-mer,Outre-mer,Nouvelle-Calédonie,Prêts,2012,241.9,,,,,,,,,,,,
Outre-mer,Outre-mer,Guadeloupe,Prêts,2012,190.6,,,,,,,,,,,,
Outre-mer,Outre-mer,Mayotte,Prêts,2012,46.5,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,République centrafricaine,Garanties,2012,,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Guinée-Bissau,Garanties,2012,,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Kenya,Garanties,2012,0.4,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Congo (Rép.),Garanties,2012,,,,,,,,,,,,,
Etats étrangers,"Méditerranée, Moyen-Orient",Turquie,Garanties,2012,,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Sao Tomé-et-Principe,Garanties,2012,,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Soudan,Garanties,2012,,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Mali,Garanties,2012,1.6,,,,,,,,,,,,
Outre-mer,Outre-mer,Guyane,Garanties,2012,6.9,,,,,,,,,,,,
Etats étrangers,Asie et Pacifique,Sri Lanka,Garanties,2012,,,,,,,,,,,,,
Outre-mer,Outre-mer,Guadeloupe,Garanties,2012,33.5,,,,,,,,,,,,
Etats étrangers,Asie et Pacifique,Mongolie,Garanties,2012,,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Namibie,Garanties,2012,2.0,,,,,,,,,,,,
Outre-mer,Outre-mer,Terres Austral,Garanties,2012,,,,,,,,,,,,,
Etats étrangers,Asie et Pacifique,Vietnam,Garanties,2012,,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Cap vert,Participations et autres titres,2012,,,,,,,,,,,,,
Outre-mer,Outre-mer,Commun à plusieurs départements/collectivités,Garanties,2012,,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Ouganda,Garanties,2012,0.2,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Burundi,Participations et autres titres,2012,,,,,,,,,,,,,
Etats étrangers,Amérique latine et Caraïbes,Haïti,Garanties,2012,2.5,,,,,,,,,,,,
Etats étrangers,"Méditerranée, Moyen-Orient",Territoires autonomes palestiniens,Participations et autres titres,2012,,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Zambie,Aide budgétaire et initiative PPTE,2012,,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Zambie,Garanties,2012,,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Nigeria,Participations et autres titres,2012,,,,,,,,,,,,,
Etats étrangers,Afrique subsaharienne,Tanzanie,Participations et autres titres,2012,,,,,,,,,,,,,
Etats étrangers,Amérique latine et Caraïbes,Paraguay,Participations et autres titres,2012,,,,,,,,,,,,,
Etats étrangers,Asie et Pacifique,Laos,Aide budgétaire et initiative PPTE,2012,,,,,,,,,,,,,
Etats étrangers,"Méditerranée, Moyen-Orient",Irak,Garanties,2012,,,,,,,,,,,,,
