Pays d'intervention,Secteur,2018,2019,2020
ETHIOPIE,Agriculture et sécurité alimentaire,-7345678.0,-9549380.0,-9549380.0
MAURICE,Infrastructures et développement urbain,-6213750.0,-2071250.0,
PEROU,Agriculture et sécurité alimentaire,-13107648.6532,-3745044.89243,
EQUATEUR,Eau et assainissement,-24807767.237,-20215585.2956,-11087582.5851
BIRMANIE (MYANMAR),Agriculture et sécurité alimentaire,-2602043.0,-3252550.0,-3252550.0
MAURICE,Secteur productif,-2550000.0,-14025000.0,-14662500.0
SENEGAL,Environnement et ressources naturelles,-10231480.0,-10231480.0,-11018520.0
NIGER,Secteur productif,,-2880000.0,-720000.0
EGYPTE,Eau et assainissement,-26925795.0,-21282375.0,-6375000.0
CAMEROUN,Infrastructures et développement urbain,-49126767.1,-39580149.6,-15948280.1
BOLIVIE,Infrastructures et développement urbain,-32848170.0,-16424080.0,-10171900.0
BOLIVIE,Autre,-3376100.11457,-30508825.3086,-67360105.7133
CUBA,Agriculture et sécurité alimentaire,-7862500.0,-8925000.0,-2125000.0
CAMEROUN,Eau et assainissement,-28249450.0,-17647230.0,
PAKISTAN,Environnement et ressources naturelles,-4250000.0,-6375000.0,-6375000.0
SRI LANKA,Infrastructures et développement urbain,-37516900.0,-19225974.0,-5061370.0
NIGERIA,Education,-8456632.2209,-8456632.2209,-8456632.2209
MEXIQUE,Infrastructures et développement urbain,-48450000.0,-110075000.0,-59500000.0
EQUATEUR,Infrastructures et développement urbain,-32448864.9839,-21202083.6863,-5795781.80586
SURINAME,Eau et assainissement,-3477490.0,-2483919.0,-1490350.0
MULTI-PAYS,Agriculture et sécurité alimentaire,-76827472.7,-31748161.0,
SENEGAL,Eau et assainissement,-16396760.0,-41896760.0,-16396760.0
TURQUIE,Environnement et ressources naturelles,-67784800.0,-16139240.0,
NIGER,Education,-2946670.0,-2946670.0,-1052380.0
CAMEROUN,Secteur productif,-1530000.0,-7395000.0,-5355000.0
TURQUIE,Education,-24305530.0,-16666660.0,
COLOMBIE,Education,-3128000.0,-13685000.0,-9384000.0
VIET-NAM,Infrastructures et développement urbain,-34487500.0,-23408750.0,-17795910.0
EQUATEUR,Education,-22267236.9981,-11133601.5585,-3896764.35711
MULTI-PAYS,Hors secteurs CICID,-5250000.0,-21525000.0,-38850000.0
EQUATEUR,Autre,-3342013.39124,-30200793.5998,-66680005.8322
ARMENIE,Agriculture et sécurité alimentaire,-9079550.0,-9079550.0,-8474240.0
GABON,Autre,-1762763.30783,-15929574.3591,-35170735.0888
CONGO,Eau et assainissement,-33848710.0,-20461930.0,-5202000.0
EGYPTE,Agriculture et sécurité alimentaire,-7171875.0,-2390625.0,
MEXIQUE,Environnement et ressources naturelles,-25160000.0,-28560000.0,-6800000.0
MAROC,Infrastructures et développement urbain,-57384600.0,-68752860.0,-39950000.0
MAROC,Agriculture et sécurité alimentaire,-5037036.0,-6296300.0,-6296300.0
SRI LANKA,Eau et assainissement,-65367460.349,-46715951.2688,-11501980.0
LIBAN,Eau et assainissement,-20144360.0,-18713690.0,-17275830.0
INDE,Eau et assainissement,-25090730.0,-11050000.0,-3867500.0
EGYPTE,Infrastructures et développement urbain,-183396554.0,-170072100.0,-52648035.0
TERRITOIRES AUTONOMES PALESTINIENS,Infrastructures et développement urbain,,-1275000.0,-6162500.0
SRI LANKA,Autre,-1762763.30783,-15929574.3591,-35170735.0888
BENIN,Agriculture et sécurité alimentaire,-1360714.0,-1360714.0,-1360714.0
ETHIOPIE,Infrastructures et développement urbain,-50375909.9,-33496716.0,-11445174.0
TUNISIE,Eau et assainissement,-29321590.0,-20219100.0,-20219100.0
BRESIL,Hors secteurs CICID,-3400000.0,-14875000.0,-10200000.0
KENYA,Infrastructures et développement urbain,-104634956.977,-72914369.6239,-51853916.4865
OUGANDA,Eau et assainissement,-11475000.0,-29835000.0,-29835000.0
COTE D'IVOIRE,Autre,-5405807.47733,-48850694.7013,-107856920.939
GABON,Infrastructures et développement urbain,-36452400.0,-8679150.0,-4339570.0
COTE D'IVOIRE,Infrastructures et développement urbain,-23376150.0,-52595180.0,-42310180.0
MADAGASCAR,Agriculture et sécurité alimentaire,-5000000.0,-3750000.0,-3750000.0
AZERBAIDJAN,Infrastructures et développement urbain,-45639200.0,-10866480.0,-5433240.0
BIRMANIE (MYANMAR),Santé et lutte contre le sida,-1870000.0,-2805000.0,-2805000.0
GEORGIE,Autre,-1410210.64626,-12743659.4873,-28136588.071
SENEGAL,Infrastructures et développement urbain,-16966952.0,-19233740.0,-6411240.0
BURKINA FASO,Eau et assainissement,-8779610.0,-5032890.0,-4361840.0
MAURITANIE,Infrastructures et développement urbain,-928725.0,,
GABON,Education,-26653000.0,-13326530.0,-15991840.0
BENIN,Education,-5715236.0,-5243010.0,-5243010.0
PEROU,Education,-4599356.25953,-6770921.56531,-3887853.63375
SENEGAL,Secteur productif,-10865210.0,,
"DOMINICAINE,REPUBLIQUE",Autre,-117517.553855,-1061971.62394,-2344715.67259
ZAMBIE,Infrastructures et développement urbain,-7041040.0,-7041040.0,-7041040.0
BRESIL,Infrastructures et développement urbain,-45957167.1201,-30238861.5958,-7199728.95138
MAURITANIE,Eau et assainissement,-5360760.0,-5360760.0,-1914560.0
"TANZANIE, REPUBLIQUE UNIE",Santé et lutte contre le sida,-5090767.4064,,
BRESIL,Autre,-4781975.97649,-43213312.6228,-95410205.9667
MADAGASCAR,Eau et assainissement,-3585540.0,-3073320.0,-3073320.0
BURKINA FASO,Agriculture et sécurité alimentaire,-5875000.0,-5875000.0,-7833330.0
GHANA,Agriculture et sécurité alimentaire,-2352150.0,-2038532.0,-1881722.0
MOZAMBIQUE,Autre,-396683.726093,-3584714.34242,-7914652.05936
CHINE,Eau et assainissement,-6894700.0,-3447348.0,-3064458.0
KENYA,Santé et lutte contre le sida,-4219669.6595,-6335761.47721,-5066423.85228
MALI,Eau et assainissement,-18867410.7,-12787930.7,-8476809.4
MAROC,Eau et assainissement,-22800439.0,-10105630.0,-6105630.0
ROYAUME DU CAMBODGE,Infrastructures et développement urbain,-19932170.0,-12338980.0,
AFRIQUE DU SUD,Autre,-705105.32313,-6371829.74365,-14068294.0355
LIBAN,Environnement et ressources naturelles,-9529442.65628,-2722700.32187,
BOLIVIE,Eau et assainissement,-45398498.5601,-51533430.7979,-12269864.4757
EGYPTE,Environnement et ressources naturelles,-9836223.4225,-18583911.039,-7775707.26749
NAMIBIE,Infrastructures et développement urbain,-765000.0,-3697500.0,-2677500.0
JORDANIE,Eau et assainissement,-59185267.4217,-64844477.4217,-18911333.2577
EGYPTE,Santé et lutte contre le sida,-2550000.0,-3825000.0,-3825000.0
GUINEE,Infrastructures et développement urbain,-6138890.0,-6138890.0,-8972220.0
KENYA,Education,-863967.474166,-4175842.7918,-3023886.15958
GEORGIE,Hors secteurs CICID,-5100000.0,-7650000.0,-7650000.0
JORDANIE,Autre,-3525526.61565,-31859148.7182,-70341470.1776
LIBAN,Autre,-799119.366214,-7221407.0428,-15944066.5736
MEXIQUE,Autre,-2350351.0771,-21239432.4788,-46894313.4517
BANGLADESH,Infrastructures et développement urbain,-22137840.0,-15812730.0,-9487640.0
PAKISTAN,Santé et lutte contre le sida,-1664255.46332,,
NIGER,Autre,-928388.675455,-8389575.82914,-18523253.8134
CHINE,Environnement et ressources naturelles,-35373930.0,-20357771.0,-5709836.0
PAKISTAN,Autre,-4700702.1542,-42478864.9577,-93788626.9034
CHINE,Autre,-3219980.97563,-29098022.496,-64245209.4288
CAMEROUN,Autre,-3055456.40023,-27611262.2225,-60962607.4872
MALI,Autre,-3760561.72336,-33983091.9661,-75030901.5227
"DOMINICAINE,REPUBLIQUE",Education,-392420.802982,,
MOZAMBIQUE,Santé et lutte contre le sida,-3322220.0,-1277780.0,
SENEGAL,Agriculture et sécurité alimentaire,-22521043.0,-19409423.0,-15879773.0
SEYCHELLES,Infrastructures et développement urbain,-1439945.79028,-6299762.83246,-4319837.37083
GHANA,Infrastructures et développement urbain,-21288112.1633,-5048700.0,-5048700.0
TURQUIE,Agriculture et sécurité alimentaire,-5440000.0,-23800000.0,-16320000.0
ETHIOPIE,Eau et assainissement,-2981750.0,-2981750.0,-3211120.0
SEYCHELLES,Autre,-387807.927722,-3504506.35901,-7737561.71953
MAROC,Autre,-9401404.3084,-84957729.9153,-187577253.807
INDE,Infrastructures et développement urbain,-198511140.0,-89969320.0,-26114660.0
MALI,Education,-1800000.0,,
EGYPTE,Autre,-4113114.38493,-37169006.8379,-82065048.5405
TUNISIE,Education,-4250007.0,-4250007.0,-3400002.0
IRAQ,Infrastructures et développement urbain,-50000000.0,,
BENIN,Infrastructures et développement urbain,-12652869.0,-15260770.0,-11574040.0
MULTI-PAYS,Infrastructures et développement urbain,-80925706.4596,-84310572.1514,-47475420.0
CONGO,Autre,-1645245.75397,-14867602.7352,-32826019.4162
MADAGASCAR,Infrastructures et développement urbain,-9091400.0,-8507460.0,-8507460.0
MULTI-PAYS,Autre,-198445553.641,-312551612.218,-395347500.696
KENYA,Eau et assainissement,-27272330.0,-36792330.0,-23085130.0
PEROU,Infrastructures et développement urbain,-38442071.3027,-43018500.0,-10242500.0
MULTI-PAYS,Secteur productif,-63962192.5411,-30055534.474,
INDONESIE,Autre,-5875877.69275,-53098581.1971,-117235783.629
NIGERIA,Agriculture et sécurité alimentaire,-13708512.6207,-6479756.05624,-6479756.05624
VIET-NAM,Secteur productif,-2271317.0,-757107.0,
PHILIPPINES,Hors secteurs CICID,-31450000.0,-35700000.0,-8500000.0
NIGERIA,Eau et assainissement,-17341605.9631,-22631661.8668,-18654302.8968
CAP-VERT,Infrastructures et développement urbain,-4273750.0,-4273750.0,-1139670.0
OUGANDA,Infrastructures et développement urbain,-23389760.9741,-20560310.0,-19983360.0
MAURICE,Autre,-1762763.30783,-15929574.3591,-35170735.0888
NIGER,Agriculture et sécurité alimentaire,-5815790.0,-5815790.0,-5815790.0
"DOMINICAINE,REPUBLIQUE",Infrastructures et développement urbain,-2550000.0,-12325000.0,-8925000.0
ROYAUME DU CAMBODGE,Autre,-2331548.26848,-21069517.019,-46519158.9441
NIGER,Eau et assainissement,-7342487.0,-7342487.0,-7907290.0
BURKINA FASO,Infrastructures et développement urbain,-23977274.0,-14633869.0,-13194030.0
"TANZANIE, REPUBLIQUE UNIE",Eau et assainissement,-18661360.0,-23421360.0,-11681430.0
SENEGAL,Education,-6122345.0,-3076076.0,-2544826.0
BENIN,Autre,-1175175.53855,-10619716.2394,-23447156.7259
VIET-NAM,Agriculture et sécurité alimentaire,-5852660.0,-4079220.0,-1165490.0
MOZAMBIQUE,Infrastructures et développement urbain,-353081.0,,
"TANZANIE, REPUBLIQUE UNIE",Autre,-2350351.0771,-21239432.4788,-46894313.4517
VIET-NAM,Autre,-2350351.0771,-21239432.4788,-46894313.4517
COMORES,Secteur productif,-1800000.0,-450000.0,
PHILIPPINES,Autre,-2843924.80329,-25699713.2994,-56742119.2766
TUNISIE,Autre,-6063905.77892,-54797735.7954,-120987328.705
VIET-NAM,Environnement et ressources naturelles,-17787070.0,-22037070.0,-22037070.0
NIGERIA,Secteur productif,-22814187.7012,-7604717.94003,
SENEGAL,Autre,-3290491.50794,-29735205.4704,-65652038.8324
ZAMBIE,Eau et assainissement,-9631280.0,-10372150.0,-14076490.0
GABON,Eau et assainissement,-41887800.0,-25132700.0,
THAILANDE,Environnement et ressources naturelles,-2390240.0,,
EQUATEUR,Environnement et ressources naturelles,-10655598.848,-12095544.6383,-2879891.58055
CONGO,Infrastructures et développement urbain,-19232850.0,-13737750.0,
AFRIQUE DU SUD,Infrastructures et développement urbain,-77608802.1122,-51586322.9577,-14097717.0095
GUINEE,Autre,-705105.32313,-6371829.74365,-14068294.0355
PHILIPPINES,Infrastructures et développement urbain,-13093290.0,-13231910.0,-11724140.0
BURKINA FASO,Autre,-235035.10771,-2123943.24788,-4689431.34517
"DOMINICAINE,REPUBLIQUE",Eau et assainissement,-7199728.95138,-5142664.74674,
PAKISTAN,Infrastructures et développement urbain,-77012168.0,-82300310.0,-34182990.0
JORDANIE,Infrastructures et développement urbain,-17285687.7859,-10979586.6509,-2927892.59698
NIGERIA,Infrastructures et développement urbain,-95611976.9609,-72478824.3266,-41170786.041
MOZAMBIQUE,Education,-5716923.59817,-4139844.14704,-2562756.22565
INDONESIE,Infrastructures et développement urbain,-69121388.6736,-57383060.0,-14282140.0
NIGERIA,Autre,-6842794.2751,-61836322.4067,-136527748.024
LIBAN,Infrastructures et développement urbain,-4515860.0,-4064272.0,
COLOMBIE,Autre,-6376889.23881,-57626075.4115,-127231989.18
ROYAUME DU CAMBODGE,Agriculture et sécurité alimentaire,-85000.0,-127500.0,-127500.0
KENYA,Secteur productif,-12113018.804,,
KENYA,Autre,-5869511.43099,-53041051.1591,-117108763.68
MAROC,Education,-7948060.0,-9935070.0,-9935070.0
BANGLADESH,Eau et assainissement,-20872220.0,-25019910.0,-23540280.0
"TANZANIE, REPUBLIQUE UNIE",Infrastructures et développement urbain,-17420821.2988,-21185009.0,-22262130.0
JORDANIE,Hors secteurs CICID,-25140880.0,,
ANGOLA,Eau et assainissement,-43198373.7083,-21599186.8541,-7559715.39895
OUZBEKISTAN,Eau et assainissement,-9882630.0,-2353014.0,-1176505.0
TUNISIE,Agriculture et sécurité alimentaire,-13169620.0,-15719620.0,-15719620.0
BANGLADESH,Secteur productif,-4250000.0,-6375000.0,-6375000.0
OUGANDA,Autre,-4700702.1542,-42478864.9577,-93788626.9034
MULTI-PAYS,Santé et lutte contre le sida,-437143.0,-655714.0,
CAMEROUN,Education,-306000.0,-1479000.0,-1071000.0
TURQUIE,Infrastructures et développement urbain,-41319500.0,-28333340.0,
CHINE,Infrastructures et développement urbain,-37656966.0,-16316695.0,-4451924.0
INDONESIE,Environnement et ressources naturelles,-7650000.0,-11475000.0,-11475000.0
MULTI-PAYS,Environnement et ressources naturelles,-11118300.0,,
KENYA,Agriculture et sécurité alimentaire,-4250000.0,-4250000.0,-1307690.0
GABON,Santé et lutte contre le sida,-8612250.0,-4306120.0,-5167340.0
