N° du contrat,Objet du contrat,Type d'acte,Projet associé,Nature du besoin,Lieu d'exécution/de livraison,Origine du financement,Date d'entrée en vigueur,Durée (en mois),Montant maximum (€HT),Attributaires
20-SB0317,Promote entrepreneurship for Youth through Baghdad and Mosul incubators,Subvention,Yanhad,Subvention,Iraq,"MAE-Fr, Union Européenne",2020-01-02,24.0,1000000.0,The Station Foundation for entrepreneurship
20-EI0129,19SANIN871 - Appuyer le CCM-Mali sur les différentes étapes du processus d’élaboration des requêtes de financement TB/VIH et RSS pour la période 2021-2023 - CPS TeAM postes 2 & 3,Expert individuel (CPS),Appuyer le CCM-Mali aux différentes étapes du processus d’élaboration des demandes de financement TB/VIH et RSS pour la période 2021-2023,Prestations intellectuelles et expertise individuelle,Mali,MAE-Fr - Initiative 5%,2020-01-10,8.0,83385.0,TEAM TECHNICAL ASSISTANCE FOR MANAGEMENT (P-Y NORVAL)
20-EI0137,19SANIN868 Renforcer les compétences de la FEMAPH en suivi-évaluation et en gestion financière - CPS Pierre Teisseire,Marché,Renforcer les capacités de la FEMAPH et de ses partenaires en matière de suivi-évaluation,Prestations intellectuelles et expertise individuelle,Mali,MAE-Fr - Initiative 5%,2020-01-17,3.0,18492.0,TEISSEIRE PIERRE CDGPI SASU
20-EI0301,"Mission de pré-identification pour l’appui au renforcement de la qualité des soins fournis aux Comoriens, via le développement de la coopération sanitaire régionale",Expert individuel (CPS),Fonds de Préparation de Projet Composante 1 : Initiation - Génération,Prestations intellectuelles et expertise individuelle,France,Agence Française de Développement (AFD),2020-01-17,2.0,32500.0,Catherine GAUD
20-EI0154,"Appui à l’élaboration de la demande de financement et, le cas échéant, la subvention VIH/Sida du Niger 2020-2022",Expert individuel (CPS),Appui au processus de développement et de soumission de la requête de finacement VIH-SIDA,Prestations intellectuelles et expertise individuelle,Niger,MAE-Fr - Initiative 5%,2020-01-20,11.0,20633.0,Association des Jeunes Juristes du Niger
20-EI0235,"19SANIN874 - Appui à l’élaboration de la demande de financement et, le cas échéant, la subvention Paludisme du Niger 2020-2022.",Expert individuel (CPS),Appui au processus de développement et de soumission de la requête de finacement Paludisme,Prestations intellectuelles et expertise individuelle,Niger,MAE-Fr - Initiative 5%,2020-01-20,11.0,27570.0,TEAM TECHNICAL ASSISTANCE FOR MANAGEMENT (P-Y NORVAL)
20-EI0185,19SANIN869 CPS TeAM Lot 2 SANGARE,Marché,Renforcer ARCAD-SIDA pour qu’elle soit bénéficiaire principal des prochaines subventions du Fonds mondial,Prestations intellectuelles et expertise individuelle,Mali,MAE-Fr - Initiative 5%,2020-01-24,3.0,41120.0,TEAM TECHNICAL ASSISTANCE FOR MANAGEMENT (P-Y NORVAL)
20-SB0884,Avenant de partenariat avec RACHAD Association pour l’Education et la Réforme,Subvention,Projet d’appui à la prévention de la radicalisation violente en république Islamique de Mauritanie,Subvention,Mauritanie,Union Européenne,2020-01-24,11.0,74860.0,Association Er-Rachad
20-EI0265,19SANIN889_GCC,Expert individuel (CPS),Appuyer le PNLS de Côte d’Ivoire pour l’élaboration du Plan Stratégique National de Lutte contre le Sida (PSN) 2021-2025 et de la Demande de Financement 2021-2023,Prestations intellectuelles et expertise individuelle,Côte d'Ivoire,MAE-Fr - Initiative 5%,2020-01-30,13.0,170000.0,GLOBAL CHALLENGE CORPORATION - CI
20-EI0842,Contrat de Prestation de Service - Poste de Key Expert n° 1,Expert individuel (CPS),PPRD SUD III,Prestations intellectuelles et expertise individuelle,"Algérie, Egypte, Israël, Jordanie, Liban, Libye, Maroc, Palestine, Syrienne, République Arabe, Tunisie",Union Européenne,2020-02-01,12.0,110825.0,CANDELORO Alessandro
