ID projet,Titre ,Secteur CICID,Agence,Bénéficaire,Pays,Région,Latitude,Longitude,Lien vers fiche de performance,Commentaires,Autorisation de publication,point_geographique
CTD3012 / CTD1173,PASST 1 et 2,Santé et lutte contre le sida,AGENCE DE N'DJAMENA,REPUBLIQUE DU TCHAD,REPUBLIQUE DU TCHAD,Afrique Sub-saharienne,12.1248495,15.0308618,https://www.afd.fr/fr/ressources/resume-devaluation-projets-dappui-au-secteur-de-la-sante-au-tchad-passt-1-et-2-0,,,"12.1248495,15.0308618"
CKH3004,Aménagement urbain de Siem Reap / Angkor,Environnement et ressources naturelles,AGENCE DE PHNOM PENH,ROYAUME DU CAMBODGE,CAMBODGE,Asie,11.558831,104.917445,https://www.afd.fr/sites/afd/files/2018-03-12-49-25/fiche-performance-cambodge-siem-reap-afd-urbain.pdf,,OUI,"11.558831,104.917445"
CKM1067,Projet De renforcement des Services de l'Eau de l'UCEA et de l'UCEM,Eau et assainissement,AGENCE DE MORONI,UNION DES COMITES DE L'EAU D'ANJOUAN,COMORES,Afrique Sub-saharienne,-11.70046,43.0,https://www.afd.fr/sites/afd/files/2020-01-03-48-24/resume-evaluation-projet-renforcement-services-eau-ReSEAU-anjouan-moheli-CKM1067.pdf,,OUI,"-11.70046,43.0"
CKM3000,Adduction d'eau potable rurale aux Comores,Eau et assainissement,AGENCE DE MORONI,UNION DES COMORES,COMORES,Afrique Sub-saharienne,-11.70046,43.0,https://www.afd.fr/sites/afd/files/2020-01-03-52-33/resume-evaluation-projet-appui-gestion-eau-communautaire-PAGEC-anjouan-moheli-CKM3000.pdf,,OUI,"-11.70046,43.0"
CET1029,Ferme éolienne d'Ashegoda dans la région du Tigray en Ethiopie,Infrastructures et développement urbain,AGENCE D'ADDIS-ABEBA,ETHIOPIAN ELECTRIC POWER,ETHIOPIE,Afrique Sub-saharienne,9.0166005,38.7577605,https://www.afd.fr/sites/afd/files/2019-04-09-30-11/CET1029-evaluation-summary-ethiopia-wind-power.pdf,,OUI,"9.0166005,38.7577605"
CGA1134,Programme d’assainissement prioritaire de Libreville (APRIL),Eau et assainissement,AGENCE DE LIBREVILLE,REPUBLIQUE DU GABON,GABON,Afrique Sub-saharienne,0.390841,9.0,https://www.afd.fr/sites/afd/files/2020-01-03-17-59/resume-evaluation-programme-assainissement-prioritaire-libreville-APRIL-gabon-CGA1134-6000-6011.pdf,,OUI,"0.390841,9.0"
CGH1088,District Development Facility,Infrastructures et développement urbain,AGENCE D'ACCRA,REPUBLIQUE DU GHANA,GHANA,Afrique Sub-saharienne,5.0,0.0,https://www.afd.fr/sites/afd/files/2019-12-02-13-42/evaluation-summary-district-development-facility-ddf-ghana-CGH1088.pdf,,OUI,"5.0,0.0"
CLB1021,Projet AEP Liban Sud,Eau et assainissement,AGENCE DE BEYROUTH,REPUBLIQUE LIBANAISE,LIBAN,Méditerranée,33.8886289,35.0,https://www.afd.fr/sites/afd/files/2020-01-04-05-34/resume-evaluation-projet-adduction-eau-potable-liban-sud-CLB1021.pdf,,OUI,"33.8886289,35.0"
CLB3010,Evaluation Ligne de crédit concessionnel à Byblos pour le financement de prêts étudiants (universités privées),Education,AGENCE DE BEYROUTH,BYBLOS BANK SAL,LIBAN,Méditerranée,33.8886289,35.0,https://www.afd.fr/fr/ressources/resume-devaluation-ligne-de-credit-pour-des-prets-etudiants-liban,,OUI,"33.8886289,35.0"
CLB1079,FEPV,Education,AGENCE DE BEYROUTH,Institut européen de coopération et de développement,LIBAN,Méditerranée,33.8886289,35.0,https://www.afd.fr/fr/ressources/resume-devaluation-evaluation-mi-parcours-projet-formation-et-employabilite-des-populations-vulnerables-impactees-par-la-crise-syrienne-au-liban,,OUI,"33.8886289,35.0"
