Pays_Bénéficiaire_Nature du bénéficiaire_Type de garantie_Montant de la garantie en euros_Objet de la garantie
COTE D'IVOIRE;Société Générale Côte d'Ivoire;Banque;Garantie individuelle;977503.0;MPME opérant dans le secteur de la santé
COTE D'IVOIRE;Société Générale Côte d'Ivoire;Banque;Garantie individuelle;554914.0;MPME opérant dans le secteur de la santé
COTE D'IVOIRE;Société Générale Côte d'Ivoire;Banque;Garantie individuelle;907072.0;MPME opérant dans le secteur de la santé
NIGERIA;Access Bank;Banque;Garantie de portefeuille;9370578.0;MPME opérant dans le secteur de la santé
REPUBLIQUE DOMINICAINE;BANFONDESA;Banque;Garantie de portefeuille;5000000.0;Tous secteurs et type de MPME éligibles à la garantie EURIZ
MALI;Banque Nationale de Développement Agricole (BNDA);Banque;Garantie de portefeuille;3500000.0;Tous secteurs et type de MPME éligibles à la garantie EURIZ
GUINEE;Société Générale Guinée;Banque;Garantie individuelle;96067.0;MPME opérant dans le secteur du numérique
MAURITANIE;Attijari Bank Mauritanie;Banque;Garantie de portefeuille;1525877.0;Tous secteurs et type de MPME éligibles à la garantie EURIZ
NIGERIA;United Bank for Africa;Banque;Garantie de portefeuille;8409493.0;Tous secteurs et type de MPME éligibles à la garantie EURIZ
COTE D'IVOIRE;Société Générale Côte d'Ivoire;Banque;Garantie individuelle;1999826.0;MPME opérant dans le secteur agricole
REPUBLIQUE DU CONGO;Société Générale Congo;Banque;Garantie individuelle;102446.0;MPME opérant dans le secteur de la santé
