Société ,ID projet,ID Concours,Intitulé du projet,Année d'autorisation,Pays de réalisation,Région,EE/OMR,Produit Financier,Type d'intervention : ONG/PrPP/projets,Engagement brut (€),Montant Adaptation (€),Secteur Adaptation,Montant Atténuation (€),Secteur Atténuation
AFD,CAL1012,CAL101201,Projet d'amélioration du service d'eau potable de la région de Durrës,2020.0,ALBANIE,ORE,EE,Prêts aux Etats (non bonifiés),Projet,60000000.0,46800000.0,Gestion de la ressource en eau,1200000.0,Agriculture durable et préservation des ressources naturelles
AFD,CCG1179,CCG117901,Programme d'utilisation durable des terres en République du Congo (financement délégué du CAFI),2020.0,CONGO,AFR,EE,Crédits et subventions délégués,Projet,11150211.1924,1115021.11924,"Agriculture durable, préservation de l'eau, des sols et de la biodiversité",10035190.0732,Agriculture durable et préservation des ressources naturelles
AFD,CCI1683,CCI168302,Projet « Résilience des systèmes cotonniers dans le Nord de la Côte d'Ivoire »,2020.0,COTE D IVOIRE,AFR,EE,Prêts aux Etats (bonifiés),Projet,40000000.0,40000000.0,"Agriculture durable, préservation de l'eau, des sols et de la biodiversité",0.0,
AFD,CCN1103,CCN110301,Cogénération d'énergie à partir de la biomasse agricole et forestière dans la ville de Xinzhou (province du Shanxi),2020.0,CHINE,ORE,EE,Prêts aux Etats (non bonifiés),Projet,27000000.0,0.0,,27000000.0,Promotion des énergies renouvelables
AFD,CCR1006,CCR100602,"Ligne de crédit ""climat""",2020.0,COSTA RICA,AML,EE,Financements des entreprises et collectivités (non bonifiés),Projet,12326403.1556,6163201.5778,"Intermédiation financière (eau, agriculture, infrastructure)",6163201.5778,"Intermédiation financière (ENR, Efficacité energétique, agriculture)"
AFD,CHT1132,CHT113201,Fonds haïtien pour la biodiversité,2020.0,HAITI,OCN,EE,Subventions (dont ONG),Projet,11000000.0,9900000.0,"Agriculture durable, préservation de l'eau, des sols et de la biodiversité",1100000.0,Agriculture durable et préservation des ressources naturelles
AFD,CJO1105,CJO110502,Projet d'assainissement de la région de Ramtha et de Sahel Houran,2020.0,JORDANIE,ORE,EE,Prêts aux Etats (bonifiés),Projet,20000000.0,10000000.0,Gestion de la ressource en eau,10000000.0,"Autre (déchets, assainissement, éducation, renforcement de capacités)"
AFD,CKH1216,CKH121601,Programme de développement des infrastructures rurales « RID4CAM »,2020.0,CAMBODGE,ORE,EE,Prêts aux Etats (bonifiés),Projet,50000000.0,50000000.0,"Prévention et gestion des risques climatiques (inondations, montée des eaux, systèmes d'alerte)",0.0,
AFD,CLB1115,CLB111503,Structuration du service d'eau potable et d'assainissement à Ersaal et la Vallée,2020.0,LIBAN,ORE,EE,Subventions (dont ONG),Projet,13600000.0,11288000.0,Gestion de la ressource en eau,0.0,
AFD,CLB1117,CLB111701,Réduction des Risques de Catastrophes Liban,2020.0,LIBAN,ORE,EE,Subventions (dont ONG),Projet,9600000.0,9600000.0,"Prévention et gestion des risques climatiques (inondations, montée des eaux, systèmes d'alerte)",0.0,
AFD,CLB1117,CLB111702,Réduction des Risques de Catastrophes Liban,2020.0,LIBAN,ORE,EE,Subventions (dont ONG),Projet,2494475.0,2494475.0,"Prévention et gestion des risques climatiques (inondations, montée des eaux, systèmes d'alerte)",0.0,
