Etats étrangers / Outre Mer_Outils financiers_2008_2009_2010_2011_2012_2013_2014_2015
Etats étrangers;C2D;133;-;94;249;201;511;426;641
Outre Mer;Autres bailleurs;-;-;-;-;3;-;-;-
Etats étrangers;Participations;94;185;200;124;86;73;164;167
Etats étrangers;ONG;-;38;41;40;45;49;58;65
Outre Mer;Prêts Outre Mer;565;470;504;671;970;984;1 004;945
Outre Mer;Garanties;130;144;124;126;186;174;19;57
Etats étrangers;Subventions 209;222;228;182;210;220;209;207;210
Etats étrangers;Prêts souverains;1 202;1 847;2 477;2 651;3 014;2 786;2 897;3 194
Etats étrangers;Autres titres;-;10;2;14;4;-;-;-
Etats étrangers;Garanties;33;104;158;167;115;116;146;140
Outre Mer;Subventions diverses;-;-;-;-;2;2;0;0
Etats étrangers;Subventions diverses;41;37;64;61;48;39;48;23
Outre Mer;Participations;7;-;-;0;-;-;-;20
Etats étrangers;Fond climat;-;203;-;-;-;-;-;-
Outre Mer;BPI;337;359;326;310;312;346;516;547
Etats étrangers;Opérations exceptionnelles;277;98;-;-;-;-;-;-
Etats étrangers;Prêts post tsunami;15;-;-;-;-;-;-;-
Etats étrangers;Autres bailleurs;-;26;74;114;254;305;245;153
Etats étrangers;Aide Budgétaire Globale;26;45;97;70;58;89;18;20
Outre Mer;Autres titres;5;-;3;-;9;-;7;-
Etats étrangers;Non souverain concessionnel;595;635;755;451;259;515;672;830
Etats étrangers;Non souverain non concessionnel;791;1 796;1 815;1 738;1 449;1 630;1 649;1 304
