empty,Id Loi,Id SIRP,Libellé,Unité/Type,2020,2019,2018,Valeur 2017,Valeur 2016,Valeur 2015,Valeur 2014,Valeur 2013,Valeur 2012
"AGRICULTURE, DÉVELOPPEMENT RURAL, RESSOURCES NATURELLES, BIODIVERSITÉ",,EE160,Nombre de personnes dont les capacités ont été renforcées grâce à un meilleur accès aux services du secteur agricole,Nb de pers.,679624.0,129218.0,,,,,,,
"AGRICULTURE, DÉVELOPPEMENT RURAL, RESSOURCES NATURELLES, BIODIVERSITÉ",,EE171,Disponibilité additionnelle des denrées alimentaires stratégiques dans les PMA,Equivalent personne/jour,13000000.0,13000000.0,,,,,,,
"AGRICULTURE, DÉVELOPPEMENT RURAL, RESSOURCES NATURELLES, BIODIVERSITÉ",Loi 02,EE165,Superficies bénéficiant de programmes de gestion durable des ressources et/ou du foncier,Hectares,29743978.0,674060.0,,,,,,,
DEVELOPPEMENT RURAL,,EE100,Nombre d'exploitations agricoles familiales  soutenues type 2 (territoire rural transformé : population de l’ensemble de la zone concernée),TYPE 2,,,30200.0,453500.0,3160000.0,5200000.0,3800000.0,2880000.0,2900000.0
DEVELOPPEMENT RURAL,,EE48,"Surface irriguée créée, ou réhabilitée",Hectares,,,7649.0,2894.0,,,,,
DEVELOPPEMENT RURAL,,EE45,Pop bénéf proj appui filière,Nb de pers.,,,3815180.0,261252.0,,,,,
DEVELOPPEMENT URBAIN,,EE94,Nombre de personnes dont les conditions de vie en ville ont été sécurisées suite à des crises,Nb de personnes,115200.0,110500.0,544.0,,,,,,
EAU ET ASSAINISSEMENT,Loi 10,EE1,Nb pers accès pérenne eau potable,Nb de pers.,,,,416221.0,154000.0,1831000.0,490000.0,1520000.0,751170.0
EAU ET ASSAINISSEMENT,,EE5,Nb pers amélior. alim eau pot,Nb de pers.,,,,2812142.0,,,,,
EAU ET ASSAINISSEMENT,Loi 11,EE2,Nb pers accès assain. amélioré,Nb de pers.,,,,104936.0,615000.0,220000.0,375000.0,411000.0,174418.0
EAU ET ASSAINISSEMENT,,EE7,Capacité de production d'eau potable financée,m3 / jour,1485765.0,1677923.0,504522.0,120791.0,,,,,
EDUCATION,,EE70,Nombre de filles scolarisées au primaire et au collège,Nb d’élèves / an,1302515.0,1166916.0,463985.73977,,,,,,
EDUCATION,,EE26,Nb garçons scol. niv. collège,Nb élèves,534728.0,410863.0,69276.0463453,0.0,,,,,
EDUCATION,,EE22,Nb de garçons non redoublants achevant  le cycle primaire,Nb élèves / an,19920.0,19693.0,,,,,,,
EMPLOI,,EE181,Nb ETP directs non pérennes - phase Construction,Nb ETP,0.0,,,,,,,,
ENERGIE,,EE193,Nb pers bénéficiant projet Energie renouvelable,Nb de pers.,7.0,,,,,,,,
ENERGIE,,EE194,Nb pers. Bénéficiant projet efficacité énergétique,Nb de pers.,5000000.0,,,,,,,,
ENERGIE,,EE196,KM lignes transport ou distrib. construite ou réno,Km,1115.5,,,,,,,,
ENERGIE,,EE198,Mt Inv. Utilisation Eco matériaux locaux,MEuros,8863.0,,,,,,,,
GOUVERNANCE,,EE174,Nb pers formées à l'action publique,Nb de pers.,193.0,,,,,,,,
GOUVERNANCE,,EE176,Nb OSC bénéf. action renforcement capacité,Nb OSC,71.0,,,,,,,,
NUMERIQUE,,EE83,Nombre de personnes ayant accès nouveau à un service internet grâce aux financements de l'AFD,Nb de personnes,0.0,0.0,0.0,,,,,,
SANTE,,EE82,Dont nombre de femmes bénéficiant d’une meilleure protection sociale,Nb de personnes,913444.0,2126793.0,124221.0,,,,,,
