classement,Catégorie ,LIBELLE INDICATEURS LOPSI,LIBELLES INDICATEURS AFD,Données Ex post 2020,sante
1.0,"Agriculture, sécurité alimentaire",Nombre d'exploitations agricoles familiales soutenues par les programmes financés par l'AFD,Nombre d'Exploitations Familiales Agricoles dont les performances économiques ont été améliorées,339138.0,
2.0,BIODIVERSITE,"Superficies (Ha) bénéficiant de programmes de conservation, restauration ou gestion durable de la biodiversité",Superficies bénéficiant de programmes de conservation/ restauration de la biodiversité,16644914.0,
8.0,Institutions financières et appui au secteur privé,Nombre d'entreprises (PME) bénéficiaires d'appuis ou de financements de l'AFD,Nombre d’acteurs financiers bénéficiant d’un financement de l’AFD,153.0,
10.0,Eau et assainissement,Nombre de personnes gagnant un accès pérenne à une source d'eau potable améliorée,Nombre de personnes bénéficiant d'un service d’alimentation en eau potable géré en toute sécurité,3565010.0,
11.0,,,Nombre de personnes bénéficiant d'un service élémentaire d’assainissement,1672259.0,
12.0,Santé,Nombre de consultations externes de professionnels de santé par habitant et par an,Nombre de personnes dont l'accès aux soins a été amélioré,16676481.0,
14.0,Transversal (climat),Réduction des émissions de gaz à effet de serre (CO2) - indicateur ex post à prévoir mais non envisageable fin 2013.,Réduction des émissions de gaz à effet de serre (CO2),-3485700.0,
15.0,"Culture, enseignement supérieur et francophonie",Nombre d'institutions bénéficiaires d'action de renforcement de capacité,"Nombre d’infrastructures culturelles crées, réhabilitées,  soutenues",0.0,
1.0,,,Nombre d'exploitations familiales agricoles en conversion vers des systèmes agroécologiques,,
4.0,Energie durable,"Nombre de personnes raccordées au réseau de distribution d'électricité, ou gagnant accès à l'électrification",Nombre de personnes gagnant accès à des services électriques durables,2093870.0,
5.0,Education,b. Nombre d'enfants ayant achevé le cycle scolaire primaire,Nombre de filles scolarisées au primaire et au collège,1302515.0,
10.0,,,Nombre de personnes bénéficiant d'un service élémentaire d’alimentation en eau potable,3280105.0,
3.0,Transports,Nombre de passagers empruntant les transports en commun sur les tronçons financés,Nombre de passagers empruntant les transports en commun sur les tronçons financés,1009500.0,
7.0,Institutions financières et appui au secteur privé,Investissements accompagnés dans le secteur privé,Montants des Investissements accompagnés,4714878433.0,
9.0,Energie durable,Nouvelles capacités d'énergies renouvelables installées,Capacités d’énergies renouvelables installées ou réhabilitées (MW),1059.19,
6.0,Collectivités territoriales et développement urbain,Nombre d'habitants des quartiers défavorisés dont l'habitat est amélioré ou sécurisé,Nombre d'habitants et usagers des villes dont la qualité de vie a été améliorée,21227000.0,
16.0,Gouvernance démocratique,Nombre d'institutions bénéficiaires d'action de renforcement de capacité,Nombre d’institutions bénéficiant d’une action de renforcement de capacités (niveau ministériel / infra ministériel),49.0,
17.0,Société civile du Sud,Nombre de projets financés au bénéfice des sociétés civiles du Sud,"Nombre de partenaires issus de la société civile, formels ou informels, impliqués dans le projet",32.0,
2.0,,,Superficies bénéficiant de programmes de gestion durable des ressources et/ou du foncier,,
5.0,Education,a. Nombre d'enfants scolarisés au primaire et au collège,Nombre de garçons scolarisés au primaire et au collège,1428197.0,
5.0,Education,c. Nombre de jeunes accueillis dans les dispositifs de formation professionnelle initiale soutenus par l'AFD,Nombre de bénéficiaires de formations professionnelles et techniques,89067.0,
11.0,Eau et assainissement,Nombre de personnes gagnant accès à un système d'assainissement amélioré,Nombre de personnes bénéficiant d'un service d’assainissement géré en toute sécurité,506301.0,
13.0,Transversal,Nombre de projets ayant un objectif nutritionnel,Nombre de projets ayant un objectif nutritionnel,17.0,
