Date,Categorie,Nb_Cas_Cumulatif,Nb_Retablis_Cumulatif,Nb_Deces_Cumulatif_Total,Nb_Deces_Cumulatif_CH,Nb_Deces_Cumulatif_CHSLD,Nb_Deces_Cumulatif_DomInc,Nb_Deces_Cumulatif_RI,Nb_Deces_Cumulatif_RPA,Nb_Deces_Cumulatif_Autre
2021-09-29,01 - Bas-Saint-Laurent,4077.0,4002.0,54.0,3.0,7.0,29.0,4.0,11.0,0.0
2021-09-29,02 - Saguenay - Lac-Saint-Jean,11258.0,10949.0,271.0,0.0,94.0,79.0,4.0,86.0,8.0
2021-09-29,03 - Capitale-Nationale,33996.0,32649.0,1121.0,4.0,520.0,216.0,32.0,322.0,27.0
2021-09-29,04 - Mauricie et Centre-du-Québec,16900.0,16124.0,566.0,5.0,153.0,271.0,22.0,110.0,5.0
2021-09-29,05 - Estrie,16427.0,15800.0,360.0,3.0,127.0,86.0,17.0,115.0,12.0
2021-09-29,06 - Montréal,144936.0,138069.0,4801.0,208.0,2733.0,947.0,137.0,704.0,72.0
2021-09-29,07 - Outaouais,13716.0,13329.0,220.0,11.0,79.0,61.0,14.0,52.0,3.0
2021-09-29,08 - Abitibi-Témiscamingue,1233.0,1214.0,9.0,0.0,0.0,8.0,0.0,1.0,0.0
2021-09-29,09 - Côte-Nord,610.0,596.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0
2021-09-29,10 - Nord-du-Québec,136.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29,11 - Gaspésie - Îles-de-la-Madeleine,2154.0,2087.0,47.0,0.0,15.0,19.0,0.0,13.0,0.0
2021-09-29,12 - Chaudière-Appalaches,20673.0,19898.0,370.0,5.0,125.0,104.0,6.0,125.0,5.0
2021-09-29,13 - Laval,35911.0,34370.0,931.0,2.0,510.0,174.0,53.0,187.0,5.0
2021-09-29,14 - Lanaudière,26569.0,25616.0,521.0,3.0,250.0,133.0,12.0,120.0,3.0
2021-09-29,15 - Laurentides,24040.0,23042.0,517.0,64.0,177.0,127.0,53.0,82.0,14.0
2021-09-29,16 - Montérégie,56571.0,54086.0,1574.0,15.0,620.0,403.0,62.0,465.0,9.0
2021-09-29,17 - Nunavik,51.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29,18 - Terres-Cries-de-la-Baie-James,142.0,135.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0
2021-09-29,Région inconnue,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29,Hors Québec,776.0,761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-29,Ensemble du Québec,410180.0,392915.0,11371.0,323.0,5410.0,2665.0,416.0,2393.0,164.0
2021-09-29,0-9 ans,37859.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN
2021-09-29,10-19 ans,51906.0,NaN,2.0,NaN,NaN,NaN,NaN,NaN,NaN
2021-09-29,20-29 ans,66404.0,NaN,9.0,NaN,NaN,NaN,NaN,NaN,NaN
2021-09-29,30-39 ans,59801.0,NaN,23.0,NaN,NaN,NaN,NaN,NaN,NaN
2021-09-29,40-49 ans,60410.0,NaN,57.0,NaN,NaN,NaN,NaN,NaN,NaN
2021-09-29,50-59 ans,51610.0,NaN,223.0,NaN,NaN,NaN,NaN,NaN,NaN
2021-09-29,60-69 ans,31427.0,NaN,738.0,NaN,NaN,NaN,NaN,NaN,NaN
2021-09-29,70-79 ans,19513.0,NaN,2218.0,NaN,NaN,NaN,NaN,NaN,NaN
2021-09-29,80-89 ans,19677.0,NaN,4425.0,NaN,NaN,NaN,NaN,NaN,NaN
2021-09-29,90 ans et plus,11534.0,NaN,3660.0,NaN,NaN,NaN,NaN,NaN,NaN
2021-09-29,Âge inconnu,39.0,NaN,16.0,NaN,NaN,NaN,NaN,NaN,NaN
2021-09-29,Masculin,195502.0,NaN,5417.0,NaN,NaN,NaN,NaN,NaN,NaN
2021-09-29,Féminin,214544.0,NaN,5953.0,NaN,NaN,NaN,NaN,NaN,NaN
2021-09-29,Sexe inconnu,134.0,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NaN
