CASE /  ,START DATE (yyyy-mm-dd) /,LOCATION NAME /,LATITUDE (Decimal Degrees) /,LONGITUDE (Decimal Degrees) /,SPECIES NAME /,LIFE STAGE DESCRIPTION /,ETIOLOGICAL DESCRIPTION /
CAS,DATE DE DÉBUT (aaaa-mm-jj),NOM DU LIEU,LATITUDE (Degrés Décimaux),LONGITUDE (Degrés Décimaux),NOM DE L'ESPÈCE,DESCRIPTION DU STADE BIOLOGIQUE,DESCRIPTION ÉTIOLOGIQUE
980261,,NADINA RIVER            ,54.000859,-126.532768,SOCKEYE SALMON          ,SPENT ADULT,DERMOCYSTIDIUM
980261,,NADINA RIVER            ,54.000859,-126.532768,SOCKEYE SALMON          ,SPENT ADULT,ICHTHYOPHTHIRIUS SP.
980258,,FULTON RIVER HATCHERY   ,54.853338,-126.475918,SOCKEYE SALMON          ,FRY (0 - 4 MONTHS),PARASITES NOT DETECTED
580002, 1958-12-04,FORT BABINE HATCHERY,55.044622,-126.312091,CHINOOK SALMON          ,YEARLING,CYATHOCEPHALUS
650036, 1965-10-26,SKULLY CREEK HATCHERY   ,,,SOCKEYE SALMON          ,UNKNOWN,FUNGAL INFECTION
700085, 1970-08-14,ROSEWALL CREEK HATCHERY ,49.457643,-124.816229,SOCKEYE SALMON          ,YEARLING,BACTERIAL GILL DISEASE
700085, 1970-08-14,ROSEWALL CREEK HATCHERY ,49.457643,-124.816229,SOCKEYE SALMON          ,YEARLING,MYXOBACTERIAL GILL DISEASE
700085, 1970-08-14,ROSEWALL CREEK HATCHERY ,49.457643,-124.816229,SOCKEYE SALMON          ,YEARLING,PSEUDOMONAS SP.
710098, 1971-04-15,ROSEWALL CREEK HATCHERY ,49.457643,-124.816229,SOCKEYE SALMON          ,2 YR,RENIBACTERIUM SALMONINARUM
710101, 1971-05-31,BIG QUALICUM HAT. & R.  ,49.399036,-124.616359,CHUM SALMON             ,FRY (0 - 4 MONTHS),FUNGAL INFECTION
710118, 1971-09-14,CAPILANO HATCHERY & RIVER,49.344072,-123.1258,COHO SALMON             ,UNKNOWN,BACTERIA NOT IDENTIFIED
710118, 1971-09-14,CAPILANO HATCHERY & RIVER,49.344072,-123.1258,COHO SALMON             ,UNKNOWN,FUNGAL INFECTION
710126, 1971-10-21,ROSEWALL CREEK HATCHERY ,49.457643,-124.816229,SOCKEYE SALMON          ,UNDER YLG,BACTERIAL GILL DISEASE
710126, 1971-10-21,ROSEWALL CREEK HATCHERY ,49.457643,-124.816229,SOCKEYE SALMON          ,UNDER YLG,FUNGAL INFECTION
710129, 1971-12-14,ROSEWALL CREEK HATCHERY ,49.457643,-124.816229,SOCKEYE SALMON          ,3 YR,RENIBACTERIUM SALMONINARUM
720132, 1972-01-19,ROSEWALL CREEK HATCHERY ,49.457643,-124.816229,SOCKEYE SALMON          ,YEARLING,RENIBACTERIUM SALMONINARUM
720129, 1972-02-01,ROSEWALL CREEK HATCHERY ,49.457643,-124.816229,SOCKEYE SALMON          ,IMMATURE ADULT,RENIBACTERIUM SALMONINARUM
720145, 1972-07-20,ROSEWALL CREEK HATCHERY ,49.457643,-124.816229,COHO SALMON             ,FRY (0 - 4 MONTHS),FUNGAL INFECTION
720146, 1972-07-25,BIG QUALICUM HAT. & R.  ,49.399036,-124.616359,COHO SALMON             ,FRY (0 - 4 MONTHS),MYXOBACTERIAL GILL DISEASE
