Year,Ontario GHG ID,Facility Owner,Facility Name,Facility City,Facility Primary NAICS Code,Carbon dioxide (CO2) from non-biomass in CO2e (t),Carbon dioxide (CO2) from biomass in CO2e (t),Methane (CH4) in CO2e (t),Nitrous oxide (N2O) in CO2e (t),Sulphur hexafluoride (SF6) in CO2e (t),Hydrofluorocarbons (HFCs) in CO2e (t),Perfluorocarbons (PFCs) in CO2e (t),Nitrogen Trifluoride (NF3) in CO2e (t),Total CO2e from all sources in CO2e (t),Reporting Amount in CO2e (t),Verification Amount in CO2e (t),Accredited Verification Body
2010,1001,ADM Agri-Industries,ADM Windsor,Windsor,311224,69652.0,0.0,29.0,395.0,0.0,0.0,0.0,,70077,70077.0,,
2010,1002,Air Products Canada Ltd,Corunna Hydrogen Facility,Corunna,325120,389933.0,0.0,0.0,0.0,0.0,0.0,0.0,,389933,389933.0,,
2010,1003,Algonquin Power Energy From Waste Inc.,Algonquin Power  Energy from Waste Inc.,Brampton,562210,40378.0,44865.0,555.0,1113.0,0.0,0.0,0.0,,86911,42046.0,,
2010,1005,ArcelorMittal Dofasco Inc.,Dofasco Hamilton,Hamilton,331110,4923106.0,0.0,24680.0,8518.0,0.0,0.0,0.0,,4956304,4956304.0,,
2010,1006,Atlantic Packaging Products Ltd.,111 Progress,Scarborough,322130,42456.0,15218.0,18.0,231.0,0.0,0.0,0.0,,57923,42705.0,,
2010,1007,Capital Power Income L.P.,Kapuskasing Power Plant,Kapuskasing,221112,136570.0,0.0,748.0,1104.0,0.0,0.0,0.0,,138423,138423.0,,
2010,1008,Capital Power Income L.P.,Nipigon Power Plant,Nipigon,221112,105451.0,0.0,578.0,853.0,0.0,0.0,0.0,,106882,106882.0,,
2010,1009,Capital Power Income L.P.,North Bay Power Plant,North Bay,221112,133453.0,0.0,731.0,1079.0,0.0,0.0,0.0,,135264,135264.0,,
2010,1010,Capital Power Income L.P.,Tunis Power Plant,Tunis,221112,109200.0,0.0,598.0,883.0,0.0,0.0,0.0,,110682,110682.0,,
2010,1011,Brampton Brick,Brampton Brick,Brampton,327120,33703.0,0.0,0.0,0.0,0.0,0.0,0.0,,33703,33703.0,,
2010,1012,Brighton Beach Power L.P.,Brighton Beach Power,Windsor,221112,233290.0,0.0,382.0,1968.0,0.0,0.0,0.0,,235640,235640.0,,
2010,1014,Lake Superior Operations,Lake Superior Operations,Sault Ste. Marie,221112,212273.0,0.0,1163.0,1716.0,0.0,0.0,0.0,,215153,215153.0,,
2010,1015,Bruce Power Inc,Bruce Power Inc,Tiverton,221113,67661.0,0.0,57.0,746.0,0.0,0.0,0.0,,68464,68464.0,,
2010,1016,Bunge Canada,Bunge Canada - Hamilton Plant,Hamilton,311224,56151.0,0.0,0.0,0.0,0.0,0.0,0.0,,56151,56151.0,,
2010,1017,Cabot Canada Limited,Cabot Canada Limited,Sarnia,325189,213654.0,0.0,5.0,59.0,0.0,0.0,0.0,,213719,213719.0,,
