Region,Year,StatisticalArea,Section,LocationCode,LocationName,SpawnNumber,StartDate,EndDate,Longitude,Latitude,Length,Width,Method,Surface,Macrocystis,Understory
A27,1951,27,272,1311,Klaskish Inlt,1,1951-02-18,,-127.777778,50.238889,594.0,6.0,Surface,194.961156802236,,
A27,1951,27,272,1312,Klaskino Inlt,1,1951-03-24,,-127.795833,50.321667,1097.0,8.0,Surface,430.3286876428321,,
A27,1951,27,273,1318,Winter Hrbr,1,1951-03-19,,-128.020206,50.518014,731.0,5.0,Surface,141.13349734841998,,
A27,1951,27,273,1320,Leeson Hrbr,1,1951-03-19,,-128.0,50.533333,242.0,5.0,Surface,69.04088334105599,,
A27,1951,27,273,1320,Leeson Hrbr,2,1951-03-19,,-128.0,50.533333,548.0,5.0,Surface,52.296078049280005,,
A27,1951,27,273,1320,Leeson Hrbr,3,1951-03-19,,-128.0,50.533333,283.0,7.0,Surface,27.00691621888,,
A27,1951,27,273,1321,Hazard Pt,1,1951-03-19,,-128.029576,50.503681,1042.0,6.0,Surface,581.803787825288,,
A27,1951,27,273,1326,Quashtin Cr,1,1951-04-06,,-128.018889,50.51,411.0,5.0,Surface,79.35139180601999,,
A27,1951,27,273,1326,Quashtin Cr,2,1951-02-20,,-128.018889,50.51,274.0,5.0,Surface,52.90092787067999,,
A27,1951,27,273,1328,Browning Inlt,1,1951-03-19,,-128.071667,50.496111,1462.0,6.0,Surface,172.10730257839995,,
A27,1951,27,273,1330,Greenwood Pt,1,1951-02-20,,-128.026111,50.509722,366.0,9.0,Surface,154.31052714031202,,
A27,1952,27,273,1320,Leeson Hrbr,1,1952-03-08,,-128.0,50.533333,283.0,7.0,Surface,27.00691621888,,
A27,1952,27,273,1320,Leeson Hrbr,2,1952-03-21,,-128.0,50.533333,110.0,5.0,Surface,22.653438698879995,,
A27,1952,27,273,1320,Leeson Hrbr,3,1952-03-19,,-128.0,50.533333,73.0,5.0,Surface,6.966448353280001,,
A27,1952,27,273,1320,Leeson Hrbr,4,1952-04-02,,-128.0,50.533333,64.0,7.0,Surface,6.107571159040001,,
A27,1952,27,273,1320,Leeson Hrbr,5,1952-03-06,,-128.0,50.533333,804.0,5.0,Surface,293.16949064140806,,
A27,1952,27,273,1320,Leeson Hrbr,6,1952-03-22,,-128.0,50.533333,73.0,4.0,Surface,15.033645681983998,,
A27,1952,27,273,1321,Hazard Pt,1,1952-02-28,,-128.029576,50.503681,91.0,5.0,Surface,28.696500897246,,
A27,1952,27,273,1326,Quashtin Cr,1,1952-03-10,,-128.018889,50.51,101.0,6.0,Surface,19.49997706182,,
A27,1952,27,273,1330,Greenwood Pt,1,1952-02-26,,-128.026111,50.509722,274.0,5.0,Surface,65.244477707172,,
A27,1953,27,272,1311,Klaskish Inlt,1,1953-02-26,,-127.777778,50.238889,823.0,9.0,Surface,270.122949576162,,
A27,1953,27,273,1318,Winter Hrbr,1,1953-02-27,,-128.020206,50.518014,1627.0,13.0,Surface,556.18792126116,,
A27,1953,27,273,1318,Winter Hrbr,2,1953-03-06,,-128.020206,50.518014,1202.0,320.0,Surface,232.06903394364,,
A27,1953,27,273,1318,Winter Hrbr,3,1953-03-06,,-128.020206,50.518014,1293.0,18.0,Surface,442.0104377324401,,
A27,1953,27,273,1318,Winter Hrbr,4,1953-03-03,,-128.020206,50.518014,2641.0,5.0,Surface,509.89543980462,,
A27,1953,27,273,1318,Winter Hrbr,5,1953-03-06,,-128.020206,50.518014,1709.0,37.0,Surface,584.2195190137201,,
A27,1953,27,273,1319,Forward Inlt,1,1953-03-06,,-128.033611,50.486944,1206.0,11.0,Surface,508.46583533119207,,
A27,1953,27,273,1319,Forward Inlt,2,1953-03-25,,-128.033611,50.486944,1206.0,11.0,Surface,508.46583533119207,,
A27,1953,27,273,1330,Greenwood Pt,1,1953-03-03,,-128.026111,50.509722,1609.0,23.0,Surface,678.3760605703881,,
A27,1953,27,274,1323,Apple Bay,1,1953-04-18,,-127.656111,50.604167,1112.0,13.0,Surface,178.9106806332,,
A27,1953,27,274,1325,Coal Hrbr (Stephens Bay),1,1953-04-18,,-127.578293,50.596065,928.0,12.0,Surface,149.3067550608,,
