id,nom_req,domaine_intervention,site_internet,no_civique,rue,municipalite,province,code_postal,telephone_1,telephone_2,telecopieur
1535,Agence VIP,Événements,,3995.0,Rue Ouellet,Jonquière,Québec,G7X3H9,(418)547-1540,,
144,Aide-parents plus inc.,Action communautaire,www.aideparentsplus.ca,3842.0,Boulevard Harvey,Jonquière,Québec,G7X2Z4,(418)547-4792,,(418)547-3049
145,Aînés et les aînées de Jonquière inc. (Les),Action communautaire,www.centrecommunautairejonquiere.ca,3245.0,Rue des Pensées,Jonquière,Québec,G7S5T6,(418)548-6444,,(418)548-4484
149,Alliance autochtone local 37 Chicoutimi,Action communautaire,,1420.0,Rue Pilote,Chicoutimi,Québec,G7H1J4,,,
2018,Alliance chorale régionale la Gaillarde,Loisir,,2603.0,Rue des Garrots,Jonquière,Québec,G7X0L8,(418)695-0435,,
2603,Ambassade boréale,Action communautaire,https://bienvenue-au-saguenay.ca/,240.0,Rue Bossé,Chicoutimi,Québec,G7J1L9,(581)306-4013,(418)376-3884,
58,Archers de Jonquière (Les),Sport,www.archersdejonquiere.com,3953.0,Chemin de l'Église,Lac Kénogami,Québec,G7X0H9,,,
737,AREQ (CSQ) Association des retraitées et retraités de l'éducation et des autres services publics du Québec - AREQ Chicoutimi-Valin,Loisir,chicoutimi-valin.areq.lacsq.org,895.0,Bégin,Chicoutimi,Québec,G7H4P1,(418)549-8523,,
1083,AREQ (CSQ) Association des retraitées et retraités de l'éducation et des autres services publics du Québec - AREQ De-La-Jonquière (C),Loisir,delajonquiere.areq.lacsq.org,192.0,Chemin 11 Lac Brochet,Falardeau,Québec,G0V1C0,(418)673-4378,(581)306-1122,
1084,"AREQ (CSQ), Association des retraitées et retraités de l'éducation et des autres services publics du Québec - AREQ Le Fjord (B)",Loisir,areq.qc.net,2522.0,Avenue du Parc,La Baie,Québec,G7B1T8,,,
2568,Art Nomade,Art et culture,www.artnomadeperformance.ca,114.0,Rue Bossé,Saguenay,QC,G7J1L4,(418)944-5242,(418)720-3842,
260,"Association ""Loisirs Plus"" pour personnes handicapées physiques",Loisir,,797.0,1re Rue,La Baie,Québec,G7B2H4,,,
399,Association canadienne pour la santé mentale section Saguenay,Action communautaire,www.acsmsaguenay.ca,371.0,Rue Racine Est,Chicoutimi,Québec,G7H1S8,(418)549-0765,,(418)549-7568
1143,Association de la fibromyalgie (fibrosite) du Saguenay-Lac-St-Jean,Action communautaire,https://fibromyalgiesaglac.wordpress.com/,257.0,"rue Saint-Armand, bureau 304",Chicoutimi,Québec,G7G1S4,(418)602-3552,,
2038,Association de pêche blanche de Lac-Kénogami,Loisir,,4074.0,Rue Châteauguay,Jonquière,Québec,G8A1l4,(581)490-9007,(418)720-9641,
1113,Association de soutien et d'informations face à la douleur (A.S.I.D.),Action communautaire,www.asid.qc.ca,2208.0,Rue Roussel,Chicoutimi,Québec,G7G1W7,(418)549-0707,,(418)549-0707
226,Association des arthritiques du Saguenay-Lac-Saint-Jean,Action communautaire,,110.0,Rue du Vallon,Canton Tremblay,Québec,G7H5B2,(418)549-2002,,(418)549-2522
747,Association des cordes du Saguenay-Lac-St-Jean,Art et culture,https://rassemblementdescordes.wordpress.com/,202.0,Rue Jacques-Cartier Est,Chicoutimi,Québec,G7H6R8,(418)698-3505,,(418)698-3521
4,Association des judokas de Jonquière,Sport,https://clubjudokasjonquiere.ca/,3507.0,Boulevard Saint-François,Jonquière,Québec,G7X2W5,(418)547-9549 ext.1,,(418)698-3951
1914,Association des locataires de HLM de Chicoutimi,Action communautaire,Aucun,72.0,Rue Smith Ouest,Chicoutimi,Québec,G7J4H5,(418)545-1111,,
241,Association des parents d'adolescents de Chicoutimi (A.P.A.C.),Action communautaire,,508.0,Rue Saint-Augustin,Chicoutimi,Québec,G7J2J9,,,
242,Association des parents d'ados du Fjord (L'),Action communautaire,www.parentsadosdufjord.com/,482.0,Rue Albert,La Baie,Québec,G7B3L4,(418)544-4135,,
246,Association des personnes aphasiques du Saguenay,Action communautaire,,138.0,Rue Price Ouest,Chicoutimi,Québec,G7J1G8,(418)543-0398,,
2143,Association des personnes handicapées visuelles de la région 02 inc. - APHV-02 secteur Chicoutimi,Loisir,http://aphv02.com/,200.0,Rue Colbert,Chicoutimi,Québec,G7G1L5,(581)222-0142,(148)973-3162,
247,Association des personnes handicapées visuelles de la région 02 inc. - APHV-02 secteur Jonquière,Loisir,www.aphv02.qc.ca,3841.0,St-Germain,Jonquiere,Québec,G7x2V7,(418)695-2503,,
1246,"Association des personnes stomisées Saguenay-Lac-St-Jean, région 02 inc.",Action communautaire,www.aqps.org,305.0,Rue Saint-Vallier,Chicoutimi,Québec,G7H5H6,(418)549-2501,,
