reporting_period,line_number,member_name,province,role,meeting_hours,other_hours,remuneration,travel_expenses,notes_en,notes_fr,owner_org,owner_org_title
2018-2019-Q2,1,Hélène F. Fortin,QC,M-M,7.0,42.5,"$7,920.00","$1,987.95",Total remuneration includes 18 hours of travel time,La rémunération totale comprends 18 heures de voyagement,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2018-2019-Q2,2,Alan Pelman,BC,M-M,7.5,36.5,"$7,040.00","$2,176.29",Total remuneration includes 15 hours of travel time,La rémunération totale comprends 15 heures de voyagement,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2018-2019-Q2,3,Marie-Lucie Morin,ON,C-P,11.5,15.0,"$5,300.00","$1,520.33",,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2018-2019-Q3,2,Alan Pelman,BC,M-M,7.5,35.0,"$6,800.00","$2,290.24","Total remuneration includes 22.5 hours of travel time, attendance at the SBDA DAC and DAC Symposium","La rémunération totale comprends 22.5 heures de voyagement, la participation à la réunion du SBDA CMV et du Symposium CMV.",aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2018-2019-Q3,3,Marie-Lucie Morin,ON,C-P,7.5,7.5,"$3,000.00",$0.00,No travel required,Aucun frais de voyage,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2018-2019-Q3,4,Moyez Somani,AB,M-M,7.5,57.0,"$10,320.00","$3,090.86","Total remuneration includes 30 hours of travel time, attendance at the SBDA DAC and DAC Symposium","La rémunération totale comprends 30 heures de voyagement, la participation à la réunion du SBDA CMV et du Symposium CMV.",aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2018-2019-Q3,1,Hélène F. Fortin,QC,M-M,7.0,19.0,"$4,160.00",$528.70,Total remuneration includes 7 hours of travel time.,La rémunération totale comprends 7 heures de voyagement.,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2018-2019-Q4,1,Moyez Somani,AB,M-M,7.5,57.0,"$10,320.00","$3,154.70",Total remuneration includes 30 hours of travel time and 2 days of orientation for new member.,La rémunération totale comprends 30 heures de voyagement et 2 jours d'orientation pour nouveau membre.,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2018-2019-Q4,2,Alan Pelman,BC,M-M,7.5,28.0,"$5,680.00","$2,135.00",Total remuneration includes 15 hours of travel time.,La rémunération totale comprends 15 heures de voyagement.,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2018-2019-Q4,3,Deborah Stark,ON,C-P,8.0,21.9,"$5,900.00","$1,317.03",Total remuneration includes 8 hours of travel time.,La rémunération totale comprends 8 heures de voyagement.,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2018-2019-Q4,4,Hélène Fortin,QC,M-M,1.0,1.0,$320.00,$0.00,"Teleconference, no travel expense","Téléconférence, aucun frais de voyage",aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2019-2020-Q1,1,Moyez Somani,AB,M-M,15.0,18.0,"$5,280.00","$1,807.38",Total remuneration includes 15 hours of travel time ,La rémunération totale comprends 15 heures de voyagement ,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2019-2020-Q1,2,Alan Pelman,BC,M-M,15.0,22.0,"$5,920.00","$1,663.67",Total remuneration includes 15 hours of travel time.,La rémunération totale comprends 15 heures de voyagement.,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2019-2020-Q1,3,Deborah Stark,ON,C-P,15.0,17.0,"$6,400.00","$1,624.18",Total remuneration includes 10 hours of travel time.,La rémunération totale comprends 10 heures de voyagement.,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
