Food-Group-Name, Food-Group-Code,Sex,Age,Number-of-Respondents,Percentage-of-Eaters,All-Person-Consumption-Intake-g-per-person-Mean,All-Person-Consumption-Intake-g-per-person-SE-Mean,All-Person-Consumption-Intake-g-per-person-P50,All-Person-Consumption-Intake-g-per-person-SE-P50,All-Person-Consumption-Intake-g-per-person-P90,All-Person-Consumption-Intake-g-per-person-SE-P90,All-Person-Consumption-Intake-g-per-person-P95,All-Person-Consumption-Intake-g-per-person-SE-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P95,Eaters-Only-Consumption-Intake-g-per-person-Mean,Eaters-Only-Consumption-Intake-g-per-person-SE-Mean,Eaters-Only-Consumption-Intake-g-per-person-P50,Eaters-Only-Consumption-Intake-g-per-person-SE-P50,Eaters-Only-Consumption-Intake-g-per-person-P90,Eaters-Only-Consumption-Intake-g-per-person-SE-P90,Eaters-Only-Consumption-Intake-g-per-person-P95,Eaters-Only-Consumption-Intake-g-per-person-SE-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P95
DAIRY PRODUCTS - OVERALL,All,Both,All ages,33343,94.7,336.71,±3.74,245,±2.64,766.76,±10.07,1009.12,±16.63,7.18,±0.08,3.6,±0.06,16.41,±0.30,26.46,±0.46,355.55,±3.81,261.32,±3.32,786.14,±9.95,1034.46,±16.82,7.58,±0.09,3.9,±0.06,17.17,±0.25,27.23,±0.41
DAIRY PRODUCTS - OVERALL,All,Both,0 - 5 Months,48,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
DAIRY PRODUCTS - OVERALL,All,Both,6 - 11 Months,191,59,307.49 E,±61.16,F,F,1113.58 E,±212.68,F,F,33.18 E,±6.56,F,F,118.47 E,±22.51,F,F,521.19 E,±92.16,502.09 E,±146.50,1145.72,±148.85,F,F,56.25 E,±9.85,50.87 E,±15.42,121.89,±17.70,F,F
DAIRY PRODUCTS - OVERALL,All,Both,1 Year,735,89.1,583.55,±27.23,551.26,±30.06,1138.69,±66.56,1366.06,±75.67,53.32,±2.56,50.79,±2.87,104.38,±5.87,128.18,±9.40,654.74,±26.01,610,±31.33,1202.39,±65.69,1366.7,±68.04,59.82,±2.46,55.4,±2.90,108.46,±6.00,128.24,±9.09
DAIRY PRODUCTS - OVERALL,All,Both,2 - 3 Years,1453,98.8,527.72,±12.85,477.57,±20.37,991.14,±40.87,1179.93,±39.36,36.01,±0.92,31.43,±1.20,67.66,±2.50,84.72,±4.65,533.97,±12.94,487.92,±19.84,996.04,±41.08,1179.93,±39.57,36.44,±0.92,31.88,±1.20,68.47,±2.57,84.9,±4.59
DAIRY PRODUCTS - OVERALL,All,Both,4 -8 Years,3238,98.5,479.51,±10.70,415.43,±12.40,906.62,±24.37,1101.28,±67.95,21.06,±0.51,18.19,±0.48,40.08,±0.93,51.16,±2.87,486.98,±10.65,423,±12.65,910.89,±24.44,1107.98,±68.06,21.39,±0.51,18.5,±0.49,40.33,±0.91,51.44,±2.86
DAIRY PRODUCTS - OVERALL,All,Both,9 -13 Years,4060,97.1,475.59,±10.18,381.95,±11.55,989.08,±27.28,1255.01,±31.07,11.53,±0.25,9.17,±0.27,24.71,±1.03,31.05,±0.63,489.91,±10.31,396.46,±10.67,993.69,±30.37,1264.95,±32.26,11.88,±0.26,9.33,±0.23,25.34,±1.00,31.05,±0.65
DAIRY PRODUCTS - OVERALL,All,Both,14 -18 Years,4565,94.9,450.01,±11.05,340.89,±10.82,980.26,±25.12,1296.02,±47.72,7.16,±0.18,5.4,±0.16,15.99,±0.58,21.1,±0.69,474.2,±11.16,368.52,±11.73,988.57,±29.48,1319.27,±50.50,7.55,±0.18,5.67,±0.15,16.5,±0.56,21.4,±0.68
DAIRY PRODUCTS - OVERALL,All,Both,19 - 30 Years,3821,93.6,351.67,±11.63,242.6,±13.44,805.55,±23.83,1084.19,±44.69,4.99,±0.17,3.35,±0.17,11.68,±0.54,15.02,±0.68,375.76,±12.11,266.57,±10.70,827.88,±29.09,1110.02,±45.90,5.34,±0.18,3.76,±0.17,12.27,±0.60,15.56,±0.73
DAIRY PRODUCTS - OVERALL,All,Both,31 - 50 Years,5351,94.9,297.31,±7.71,218.15,±11.84,667.86,±25.10,930.07,±29.10,4.02,±0.10,2.93,±0.11,9.19,±0.31,12.29,±0.38,313.25,±8.06,243.52,±8.71,688.05,±24.51,937.13,±31.09,4.24,±0.11,3.17,±0.12,9.39,±0.33,12.29,±0.39
