NoArrond,NomArrond,NoDistrict,NomDistrict,NoSection,NbrAdrVac,NbrElectNDom,NbrElect,TotalVotes
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,1,18,2,304,147
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,2,34,1,304,141
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,3,31,1,264,138
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,4,22,0,282,145
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,5,33,0,330,135
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,6,30,0,322,171
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,7,49,1,281,147
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,8,61,1,345,151
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,9,45,2,252,132
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,10,24,2,268,134
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,11,20,1,248,127
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,12,46,2,313,133
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,13,86,3,348,141
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,14,63,1,268,141
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,15,95,2,341,104
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,16,68,2,301,116
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,17,60,2,328,151
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,18,56,1,330,132
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,19,134,0,424,161
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,20,78,1,364,149
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,21,47,1,331,144
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,22,223,0,420,112
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,23,88,0,394,139
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,24,108,0,385,148
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,25,131,0,399,116
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,26,34,3,311,139
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,27,59,0,287,130
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,28,165,0,430,101
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,29,53,4,325,136
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,30,72,2,374,141
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,31,73,1,376,155
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,32,53,3,349,123
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,33,63,1,343,152
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,34,100,4,350,178
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,35,35,0,283,138
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,36,66,1,350,147
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,37,64,2,273,120
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,38,62,3,332,153
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,39,113,2,410,183
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,40,104,1,379,156
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,41,46,1,317,159
1,01 Ahuntsic-Cartierville,11,011 Sault-au-Récollet,42,82,2,389,154
