Year,Activity,Source,Destination,Energy (MW.h),Total Value (CAN$),Price (CAN$/MW.h)
1990.0,Exports,British Columbia,Alaska,908.956,52432.0,57.68
1990.0,Exports,British Columbia,California,3192020.2,8.000766208E7,25.06
1990.0,Exports,British Columbia,Idaho,106388.0,2084993.1,19.60
1990.0,Exports,British Columbia,Montana,47054.0,877249.47,18.64
1990.0,Exports,British Columbia,Nevada,2047.0,37434.09,18.29
1990.0,Exports,British Columbia,Oregon,852459.0,1.923681854E7,22.57
1990.0,Exports,British Columbia,Total,4480927.418,1.083101268E8,24.17
1990.0,Exports,British Columbia,Washington,280050.262,6013537.52,21.47
1990.0,Exports,Manitoba,Minnesota,1741899.912,2.988665637E7,15.26
1990.0,Exports,Manitoba,North Dakota,190583.0,4005391.12,21.02
1990.0,Exports,Manitoba,Total,1932482.912,3.389204749E7,15.83
1990.0,Exports,New Brunswick,Maine,2300586.564,9.217837913E7,39.61
1990.0,Exports,New Brunswick,Massachusetts,1884793.0,1.39189376E8,73.85
1990.0,Exports,New Brunswick,Total,4185379.564,2.3136775513E8,55.03
1990.0,Exports,Ontario,Michigan,39598.76,995864.28,25.15
1990.0,Exports,Ontario,Minnesota,88.0,4303.0,48.90
1990.0,Exports,Ontario,New York,610055.771,1.905083061E7,30.95
1990.0,Exports,Ontario,Total,738114.531,2.505705391E7,31.34
1990.0,Exports,Ontario,Vermont,88372.0,5006056.02,36.79
1990.0,Exports,Québec,Maine,1277.35,80014.56,62.64
1990.0,Exports,Québec,New England-ISO,220115.0,5329044.39,24.21
1990.0,Exports,Québec,New Hampshire,19.34,1422.15,73.53
1990.0,Exports,Québec,New York,3192437.0,1.0722824627E8,30.52
1990.0,Exports,Québec,Total,5097616.69,1.8001387133E8,31.73
1990.0,Exports,Québec,Vermont,1683768.0,6.737514396E7,34.99
1990.0,Exports,Saskatchewan,North Dakota,59586.0,744807.23,12.50
1990.0,Exports,Saskatchewan,Total,59586.0,744807.23,12.50
1990.0,Exports,Total,Alaska,908.956,52432.0,57.68
1990.0,Exports,Total,California,3192020.2,8.000766208E7,25.06
1990.0,Exports,Total,Idaho,106388.0,2084993.1,19.60
1990.0,Exports,Total,Maine,2301863.914,9.225839369E7,39.62
1990.0,Exports,Total,Massachusetts,1884793.0,1.39189376E8,73.85
1990.0,Exports,Total,Michigan,39598.76,995864.28,25.15
1990.0,Exports,Total,Minnesota,1741987.912,2.989095937E7,15.26
1990.0,Exports,Total,Montana,47054.0,877249.47,18.64
1990.0,Exports,Total,Nevada,2047.0,37434.09,18.29
1990.0,Exports,Total,New England-ISO,220115.0,5329044.39,24.21
1990.0,Exports,Total,New Hampshire,19.34,1422.15,73.53
1990.0,Exports,Total,New York,3802492.771,1.2627907688E8,30.59
1990.0,Exports,Total,North Dakota,250169.0,4750198.35,18.99
1990.0,Exports,Total,Oregon,852459.0,1.923681854E7,22.57
1990.0,Exports,Total,Total,1.6494107115E7,5.7938566189E8,33.64
1990.0,Exports,Total,Vermont,1772140.0,7.238119998E7,35.08
1990.0,Exports,Total,Washington,280050.262,6013537.52,21.47
1990.0,Imports,Maine,New Brunswick,47691.6,1101149.35,23.09
1990.0,Imports,Maine,Total,47691.6,1101149.35,23.09
1990.0,Imports,Michigan,Ontario,1.09578824E7,3.9594236167E8,36.13
1990.0,Imports,Michigan,Total,1.09578824E7,3.9594236167E8,36.13
1990.0,Imports,Minnesota,Manitoba,845685.0,1.194699176E7,14.13
1990.0,Imports,Minnesota,Ontario,168594.0,5842148.76,34.65
1990.0,Imports,Minnesota,Total,1014279.0,1.778914052E7,17.54
1990.0,Imports,Montana,British Columbia,168.0,9638.55,57.37
1990.0,Imports,Montana,Total,168.0,9638.55,57.37
1990.0,Imports,New England-ISO,Québec,134580.0,5254839.19,39.05
1990.0,Imports,New England-ISO,Total,134580.0,5254839.19,39.05
1990.0,Imports,New York,Ontario,385975.0,2.063014495E7,53.45
1990.0,Imports,New York,Québec,2704257.0,1.0825855562E8,40.03
1990.0,Imports,New York,Total,3090232.0,1.2888870057E8,41.71
1990.0,Imports,North Dakota,Manitoba,194332.0,2958048.65,15.22
1990.0,Imports,North Dakota,Saskatchewan,35537.0,2072499.3,58.32
1990.0,Imports,North Dakota,Total,229869.0,5030547.95,21.88
1990.0,Imports,Total,Alberta,2727.0,116974.34,42.89
1990.0,Imports,Total,British Columbia,34358.0,324485.93,9.44
1990.0,Imports,Total,Manitoba,1040017.0,1.490504041E7,14.33
1990.0,Imports,Total,New Brunswick,47691.6,1101149.35,23.09
1990.0,Imports,Total,Ontario,1.15124514E7,4.2241465538E8,36.69
1990.0,Imports,Total,Québec,2870340.0,1.1496616609E8,40.05
1990.0,Imports,Total,Saskatchewan,35537.0,2072499.3,58.32
1990.0,Imports,Total,Total,1.5543122E7,5.559009708E8,35.77
1990.0,Imports,Vermont,Québec,31503.0,1452771.28,46.12
1990.0,Imports,Vermont,Total,31503.0,1452771.28,46.12
1990.0,Imports,Washington,Alberta,2727.0,116974.34,42.89
1990.0,Imports,Washington,British Columbia,34190.0,314847.38,9.21
1990.0,Imports,Washington,Total,36917.0,431821.72,11.70
1991.0,Exports,British Columbia,Alaska,662.52,58569.0,88.40
1991.0,Exports,British Columbia,California,3028885.0,7.471537606E7,24.67
1991.0,Exports,British Columbia,Idaho,144321.0,1840090.17,12.75
1991.0,Exports,British Columbia,Montana,25432.0,270729.25,10.65
1991.0,Exports,British Columbia,Nevada,7950.0,140080.12,17.62
1991.0,Exports,British Columbia,Oregon,1322963.0,2.41766093E7,18.27
1991.0,Exports,British Columbia,Total,5269413.258,1.1939718581E8,22.66
1991.0,Exports,British Columbia,Washington,739199.738,1.819573191E7,24.62
1991.0,Exports,Manitoba,Minnesota,3120974.948,5.541866801E7,16.44
1991.0,Exports,Manitoba,North Dakota,194897.0,4063437.84,20.85
1991.0,Exports,Manitoba,Total,3315871.948,5.948210585E7,16.70
1991.0,Exports,New Brunswick,Maine,1342559.131,5.171515577E7,37.76
1991.0,Exports,New Brunswick,Massachusetts,1743531.0,9.3429176E7,53.59
1991.0,Exports,New Brunswick,Total,3086090.131,1.4514433177E8,46.70
1991.0,Exports,Ontario,Michigan,107628.9,2346688.04,21.80
1991.0,Exports,Ontario,New York,2183376.098,6.09653792E7,26.32
1991.0,Exports,Ontario,Total,2314216.998,6.517032544E7,26.14
1991.0,Exports,Ontario,Vermont,23212.0,1858258.2,28.75
1991.0,Exports,Québec,Maine,1135.88,76565.13,67.41
1991.0,Exports,Québec,New England-ISO,3222945.0,7.20261509E7,22.33
1991.0,Exports,Québec,New Hampshire,2.02,160.28,79.35
1991.0,Exports,Québec,New York,1075447.0,3.867271276E7,26.83
1991.0,Exports,Québec,Total,5771050.9,1.6924427976E8,23.75
1991.0,Exports,Québec,Vermont,1471521.0,5.846869069E7,24.60
1991.0,Exports,Saskatchewan,North Dakota,58646.0,685417.47,11.69
1991.0,Exports,Saskatchewan,Total,58646.0,685417.47,11.69
1991.0,Exports,Total,Alaska,662.52,58569.0,88.40
1991.0,Exports,Total,California,3028885.0,7.471537606E7,24.67
1991.0,Exports,Total,Idaho,144321.0,1840090.17,12.75
1991.0,Exports,Total,Maine,1343695.011,5.17917209E7,37.79
1991.0,Exports,Total,Massachusetts,1743531.0,9.3429176E7,53.59
1991.0,Exports,Total,Michigan,107628.9,2346688.04,21.80
1991.0,Exports,Total,Minnesota,3120974.948,5.541866801E7,16.44
1991.0,Exports,Total,Montana,25432.0,270729.25,10.65
1991.0,Exports,Total,Nevada,7950.0,140080.12,17.62
1991.0,Exports,Total,New England-ISO,3222945.0,7.20261509E7,22.33
1991.0,Exports,Total,New Hampshire,2.02,160.28,79.35
1991.0,Exports,Total,New York,3258823.098,9.963809196E7,26.49
1991.0,Exports,Total,North Dakota,253543.0,4748855.31,18.73
1991.0,Exports,Total,Oregon,1322963.0,2.41766093E7,18.27
1991.0,Exports,Total,Total,1.9815289235E7,5.591236461E8,26.10
1991.0,Exports,Total,Vermont,1494733.0,6.032694889E7,24.66
1991.0,Exports,Total,Washington,739199.738,1.819573191E7,24.62
1991.0,Imports,Maine,New Brunswick,55633.0,1304068.27,23.30
1991.0,Imports,Maine,Total,55633.0,1304068.27,23.30
1991.0,Imports,Michigan,Ontario,553719.3,2.477277085E7,44.74
1991.0,Imports,Michigan,Total,553719.3,2.477277085E7,44.74
1991.0,Imports,Minnesota,Manitoba,217314.0,2810855.43,12.93
1991.0,Imports,Minnesota,Ontario,51341.0,1020188.14,19.87
1991.0,Imports,Minnesota,Total,268655.0,3831043.57,14.26
1991.0,Imports,Montana,British Columbia,196.0,10358.39,52.85
1991.0,Imports,Montana,Total,196.0,10358.39,52.85
1991.0,Imports,New England-ISO,Québec,373569.0,9526436.55,25.50
1991.0,Imports,New England-ISO,Total,373569.0,9526436.55,25.50
1991.0,Imports,New York,Ontario,109514.0,7159504.95,65.38
1991.0,Imports,New York,Québec,92207.0,1.923188894E7,140.64
