Fiscal Year,Fiscal Period,Month,Date,Branch,Service,Metric Name,Value,Metric Type
2017-2018,1,April,2017-04-30,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2017-2018,1,April,2017-04-30,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2017-2018,2,May,2017-05-31,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2017-2018,2,May,2017-05-31,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,99.98,Non Cumulative
2017-2018,3,June,2017-06-30,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2017-2018,3,June,2017-06-30,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2017-2018,4,July,2017-07-31,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2017-2018,4,July,2017-07-31,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2017-2018,5,August ,2017-08-31,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2017-2018,5,August ,2017-08-31,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2017-2018,6,September,2017-09-30,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2017-2018,6,September,2017-09-30,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2017-2018,7,October,2017-10-31,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2017-2018,7,October,2017-10-31,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2017-2018,8,November,2017-11-30,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2017-2018,8,November,2017-11-30,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2017-2018,9,December,2017-12-31,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2017-2018,9,December,2017-12-31,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2017-2018,10,January,2018-01-31,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2017-2018,10,January,2018-01-31,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2017-2018,11,February,2018-02-28,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2017-2018,11,February,2018-02-28,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2017-2018,12,March,2018-03-31,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2017-2018,12,March,2018-03-31,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2018-2019,1,April,2018-04-30,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2018-2019,1,April,2018-04-30,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2018-2019,2,May,2018-05-31,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2018-2019,2,May,2018-05-31,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2018-2019,3,June,2018-06-30,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
