Date de vérification,Numéro de référence de l’installation,Titulaire de permis ,Nom commun du site,Latitude,Longitude,Zone visée sur l'aquaculture des poissons,Espèces,Nombre de carcasses évaluées,Nombre de résultats de RCP positifs concernant le VNHI,Nombre de résultats positifs concernant le VNPI,Nombre de résultats positifs concernant le VAIS,Nombre de résultats positifs concernant le VSHV ,Nombre de résultats positifs concernant le VAS ,Nombre de résultats positifs concernant le PRSal ,Nombre de résultats positifs concernant le VMCP,Agents pathogènes bactériens isolés par culture (nombre de poissons),Confirmation histopathologique de la maladie ou de l’agent pathogène (nombre de poissons),Diagnostic vétérinaire à l’échelle de l’exploitation,Affections à considérer (nombre de poissons)
11 avr. 2011,233,Creative Salmon Company,Indian Bay,49.11916,-125.72549,Baie Clayoquot,Saumon Quinnat (Oncorhynchus tshawytcha),10,Non,Non,Non,Non,s/o,Non,s/o,,MBR avec bactérie semblable au Renibacterium (2),Syndrome de la jaunisse,
15 avr. 2011,1697,Grieg Seafood BC,Culloden,49.79595,-124.10162,Sunshine Coast,Saumon Atlantique (Salmo salar),4,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
19 avr. 2011,543,Mainstream Canada,Mussel Rock,49.25925,-125.86762,Baie Clayoquot,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,s/o,Non,s/o,,MBR avec bactérie semblable au Renibacterium (1),Aucune maladie importante présente à l’échelle de la population,
29 avr. 2011,216,Yellow Island Aquaculture,Yellow Island,50.13274,-125.33268,Passage Discovery,Saumon Quinnat (Oncorhynchus tshawytcha),5,Non,Non,Non,Non,s/o,Non,s/o,Vibrio ordalii (1),MBR avec bactérie semblable au Renibacterium (3),Maladie bactérienne du rein,
2 mai 2011,378,Marine Harvest Canada,Thurlow,50.40808,-125.34088,Passage Discovery,Saumon Atlantique (Salmo salar),1,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
26 mai 2011,306,Mainstream Canada,Venture Point,50.30241,-125.33778,Passage Discovery,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,s/o,Non,s/o,Yersinia ruckeri (4),Stomatite ulcéro-membraneuse (1); Méningite/encéphalite liée à des bacilles intralésionnels (4),Aucune maladie importante présente à l’échelle de la population,Maladie bactérienne de la bouche rouge (4); Pourriture de la bouche (1)
26 mai 2011,1863,Grieg Seafood BC,Esperanza,49.87814,-126.76145,Bras Esperanza,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,s/o,Non,s/o,,MBR avec bactérie semblable au Renibacterium (1),Aucune maladie importante présente à l’échelle de la population,
30 mai 2011,137,Marine Harvest Canada,Conville Bay,50.18057,-125.14933,Passage Discovery,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,s/o,Non,s/o,,MBR avec bactérie semblable au Renibacterium (1),Aucune maladie importante présente à l’échelle de la population,
2 juin 2011,520,Mainstream Canada,Bedwell,49.26548,-125.81247,Baie Clayoquot,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,s/o,Non,s/o,,Stomatite ulcéro-membraneuse (4),Pourriture de la bouche,
3 juin 2011,1376,Marine Harvest Canada,Cleagh Creek,50.48224,-127.73243,Baie Quatsino,Saumon Atlantique (Salmo salar),10,Non,Non,Non,Non,s/o,Non,s/o,,Stomatite ulcéro-membraneuse (3),Pourriture de la bouche,
3 juin 2011,1472,Mainstream Canada,West Side,49.27928,-125.83065,Baie Clayoquot,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,s/o,Non,s/o,,MBR avec bactérie semblable au Renibacterium (1),Aucune maladie importante présente à l’échelle de la population,
7 juin 2011,869,Mainstream Canada,Maude Island,50.85271,-126.75743,Archipel Broughton,Saumon Atlantique (Salmo salar),7,Non,Non,Non,Non,s/o,Non,s/o,,MBR avec bactérie semblable au Renibacterium (2),Maladie bactérienne du rein,
9 juin 2011,820,Marine Harvest Canada,Wicklow Point,50.78659,-126.69153,Archipel Broughton,Saumon Atlantique (Salmo salar),1,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
21 juin 2011,1198,Marine Harvest Canada,Raynor,50.89253,-127.25359,Port Hardy,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,s/o,Non,s/o,,,Pourriture de la bouche,
22 juin 2011,1580,Marine Harvest Canada,Jackson Pass,52.53727,-128.40286,Côte centrale,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,s/o,Non,s/o,,Stomatite ulcéro-membraneuse (4),Pourriture de la bouche,
7 juil. 2011,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Baie Clayoquot,Saumon Quinnat (Oncorhynchus tshawytcha),0,,,,,,,,,,"Mortalité de très bas niveau, aucun échantillon disponible ",
11 juil. 2011,1148,Mainstream Canada,Binns Island,49.34182,-125.95328,Baie Clayoquot,Saumon Atlantique (Salmo salar),8,Non,Non,Non,Non,s/o,Non,s/o,,MBR avec bactérie semblable au Renibacterium (3),Aucune maladie importante présente à l’échelle de la population,
12 juil. 2011,1537,Mainstream Canada,Bare Bluff,49.32702,-125.79902,Baie Clayoquot,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,s/o,Non,s/o,,,Aucune maladie importante présente à l’échelle de la population,
12 juil. 2011,526,Mainstream Canada,Rant Point,49.2567,-125.84153,Baie Clayoquot,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,s/o,Oui,s/o,,SRS avec la bactérie Piscirickettsia (1); Encéphalite microsporidie (1),Aucune maladie importante présente à l’échelle de la population,
21 juil. 2011,1863,Grieg Seafood BC,Esperanza,49.87814,-126.76145,Bras Esperanza,Saumon Atlantique (Salmo salar),3,Non,Non,Non,Non,s/o,Non,s/o,Aeromonas salmonicida (1),MBR avec bactérie semblable au Renibacterium (1); Lésions de type furonculose (1),Aucune maladie importante présente à l’échelle de la population,
22 juil. 2011,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,Baie Nootka,Saumon Atlantique (Salmo salar),6,Non,Non,Non,Non,s/o,Non,s/o,,Stomatite ulcéro-membraneuse (4),Pourriture de la bouche,
