CARUID,CROP,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,LATITUDE,LONGITUDE
1101,barley,59.1,55.7,68.7,50.6,54.3,75.0,52.0,53.2,53.8,60.0,62.0,65.0,51.0,65.0,47.0,66.0,52.0,58.0,62.0,47.0,53.0,49.0,51.0,56.0,58.0,62.0,63.5,58.1,63.3,66.1,66.7,65.5,46.2589989,-62.4830017
1101,canola,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,46.2589989,-62.4830017
1101,corn,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,46.2589989,-62.4830017
1101,durum_wheat,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,46.2589989,-62.4830017
1101,flaxseed,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,46.2589989,-62.4830017
1101,lentils,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,46.2589989,-62.4830017
1101,oats,62.1,58.8,73.9,62.0,56.7,82.5,60.0,61.5,57.4,75.0,72.0,61.0,73.0,75.0,46.0,88.0,70.0,70.0,70.0,64.0,68.0,70.0,58.0,69.0,68.0,71.0,71.4,64.9,70.4,74.7,65.5,64.0,46.2589989,-62.4830017
1101,peas,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,46.2589989,-62.4830017
1101,soybeans,-999.0,-999.0,-999.0,-999.0,36.6,34.6,32.0,34.7,25.9,28.9,30.0,32.0,40.0,32.0,23.0,33.0,34.0,30.0,34.0,36.0,37.0,35.0,38.0,34.0,33.0,37.0,37.7,34.5,32.4,34.0,36.0,41.0,46.2589989,-62.4830017
1101,spring_wheat,52.2,46.1,53.7,46.4,49.3,67.7,42.8,49.6,47.3,50.0,46.0,49.0,36.0,55.0,41.0,56.0,43.0,41.0,46.0,41.0,46.0,38.0,48.0,39.0,49.0,51.0,48.8,48.5,53.7,51.0,55.4,51.2,46.2589989,-62.4830017
1101,winter_wheat,52.5,57.1,48.0,48.4,52.6,47.4,38.7,50.8,48.4,48.9,49.0,49.0,40.0,45.0,43.0,50.0,48.0,32.0,44.0,43.1,48.0,49.0,35.1,45.0,53.0,55.0,48.3,48.0,46.7,58.3,59.4,66.7,46.2589989,-62.4830017
