Fiscal Year,Fiscal Period,Month,Information Date,Branch,Service,Metric Name,Value,Comments,Metric Type
2017-2018,3,June,2017-06-30,Networks Security and Digital Services,Infrastructure Security,% of time the infrastructure Security Services are available,99.908,,Non Cumulative
2017-2018,4,July,2017-07-31,Networks Security and Digital Services,Infrastructure Security,% of time the infrastructure Security Services are available,,Availability is based on the aggregate availability of the 43 Partners plus Perimeter Security minus any critical incidents for the reporting period,Non Cumulative
2017-2018,4,July,2017-07-31,Networks Security and Digital Services,Infrastructure Security,% of time the infrastructure Security Services are available,99.91,,Non Cumulative
2017-2018,5,August,2017-08-31,Networks Security and Digital Services,Infrastructure Security,% of time the infrastructure Security Services are available,,The number is based on the aggregate availability of the 43 Partners plus Perimeter Security minus any critical incidents for the month,Non Cumulative
2017-2018,5,August,2017-08-31,Networks Security and Digital Services,Infrastructure Security,% of time the infrastructure Security Services are available,99.98,,Non Cumulative
2017-2018,6,September,2017-09-30,Networks Security and Digital Services,Infrastructure Security,% of time the infrastructure Security Services are available,,The number is based on the aggregate availability of the 43 Partners plus Perimeter Security minus any critical incidents for the month,Non Cumulative
2017-2018,6,September,2017-09-30,Networks Security and Digital Services,Infrastructure Security,% of time the infrastructure Security Services are available,99.898,,Non Cumulative
2017-2018,7,October,2017-10-31,Networks Security and Digital Services,Infrastructure Security,% of time the infrastructure Security Services are available,99.939,,Non Cumulative
2017-2018,8,November ,2017-11-30,Networks Security and Digital Services,Infrastructure Security,% of time the infrastructure Security Services are available,99.949,,Non Cumulative
2017-2018,9,December ,2017-12-31,Networks Security and Digital Services,Infrastructure Security,% of time the infrastructure Security Services are available,99.966,,Non Cumulative
2017-2018,10,January,2018-01-31,Networks Security and Digital Services,Infrastructure Security,% of time the infrastructure Security Services are available,99.899,,Non Cumulative
2017-2018,11,February,2018-02-28,Networks Security and Digital Services,Infrastructure Security,% of time the infrastructure Security Services are available,99.881,,Non Cumulative
2017-2018,12,March ,2018-03-31,Networks Security and Digital Services,Infrastructure Security,% of time the infrastructure Security Services are available,99.825,,Non Cumulative
2018-2019,1,April ,2018-04-30,Networks Security and Digital Services,Infrastructure Security,% of time the infrastructure Security Services are available,100.0,,Non Cumulative
