Company,Company Website,Company Contact Page,Contact Information 
,,,
British Columbia Hydro and Power Authority,https://www.bchydro.com/index.html,https://www.bchydro.com/toolbar/contact.html,
Canadian Niagara Power Inc.,https://www.cnpower.com/,https://www.cnpower.com/contact,
Canadian Sandpoint Power Association,,,612-334-8888
Canadian Transit Company,,,313-965-1184
Cedars Rapids Transmission Company,https://www.hydroquebec.com/crt/en/,https://www.hydroquebec.com/crt/en/contact-us.html,
Windsor Detroit Borderlink Limited,https://www.windsortunnel.com/about-us,https://www.windsortunnel.com/contact-us,
Express Pipeline Ltd.,,,
FortisBC Inc.,https://www.fortisbc.com/,https://www.fortisbc.com/contact-us,
Grand Trunk Western Railroad Company,https://www.cn.ca/en/,https://www.cn.ca/en/contact-us/,
ITC Lake Erie Connector LLC,https://www.h2opower.com/,https://www.h2opower.com/contact-us/,
Hydro One Networks Inc.,https://www.hydroone.com/,https://www.hydroone.com/support/contact,
Hydro-Québec TransÉnergie,http://www.hydroquebec.com/transenergie/en/,,514-879-4174
ITC Lake Erie Connector LLC,https://www.itclakeerieconnector.com/,https://www.itclakeerieconnector.com/contact-us,
Lac La Croix Power Authority,,,
Liberty Utilities (Tinker Transmission) GP Inc. on behalf of Liberty Utilities (Tinker Transmission) LP,https://libertyutilities.com/who-we-are.html,,602-421-2138
Manitoba Hydro-Electric Board - Régie de l'hydro-électricité du Manitoba,https://www.hydro.mb.ca/corporate/,https://www.hydro.mb.ca/contact/,
MATL Canada G.P. Inc.,http://www.bhe-canada.ca/about-us/about-us.cfm,http://www.bhe-canada.ca/contact-us/contact-us.cfm,
New Brunswick Power Corporation,https://www.nbpower.com/Welcome.aspx?lang=en,https://www.nbpower.com/en/contact-us,
New Brunswick Power Transmission Corporation,https://www.nbpower.com/Welcome.aspx?lang=en,https://www.nbpower.com/en/contact-us,
Niagara Mohawk Power Corporation,https://www.nationalgridus.com/Our-Company/?dest=%2fOur-Company,https://www.nationalgridus.com/Default.aspx?r.u=%2fContact-Us%2f%3f,
Ontario Power Generation Inc.,https://www.opg.com/,https://www.opg.com/contact-us/,
Quebec Hydro - Hydro-Québec,https://www.hydroquebec.com/our-sites/,http://www.hydroquebec.com/contact-us/,
"Revenue Canada, Customs and Excise",,,
Roseau Electric Cooperative Inc,https://www.roseauelectric.coop/,https://www.roseauelectric.coop/contact,
Saskatchewan Power Corporation,https://www.saskpower.com/,https://www.saskpower.com/Footer/Were-Here-to-Help/Contact-Us,
Teck Metals Ltd.,https://www.teck.com/,https://www.teck.com/contact/,
FortisAlberta Inc.,https://www.fortisalberta.com/,https://www.fortisalberta.com/contact-us,
Twin Rivers Paper Company Inc.,https://www.twinriverspaper.com/,https://www.twinriverspaper.com/contact-us/,
West Kootenay Power Limited,,,
