Year,Product,Origin,Destination / PADD,Mode of Transportation,Volume (m3),Volume (bbl),Value (CN$),Value (US$),Price (CN cents/L),Price (US cents/gallon)
1990,Butane,Alberta,PADD II,Railway,45750.6,287762.12388,5340328.1,4602105.35385,11.672695,38.07777
1990,Butane,Alberta,PADD II,Total,45750.6,287762.12388,5340328.1,4602105.35385,11.672695,38.07777
1990,Butane,Alberta,PADD IV,Pipeline,185002.0,1163625.5796,23521737.0,20130497.87991,12.714314,41.189816
1990,Butane,Alberta,PADD IV,Railway,78891.4,496211.12772,9135017.3,7817640.68723,11.57923,37.510925
1990,Butane,Alberta,PADD IV,Total,263988.4,1660434.23832,32667346.8,27956991.58243,12.374538,40.088272
1990,Butane,Alberta,PADD IV,Truck,95.0,597.531,10592.5,8853.01529,11.15,35.276003
1990,Butane,Alberta,PADD V,Railway,143032.9,899648.33442,15637956.82,13396548.64702,10.933118,35.454284
1990,Butane,Alberta,PADD V,Total,143401.9,901969.27062,15678435.42,13431414.45774,10.933213,35.45509
1990,Butane,Alberta,PADD V,Truck,369.0,2320.9362,40478.6,34865.81072,10.96981,35.767219
1990,Butane,Alberta,Total,Pipeline,185002.0,1163625.5796,23521737.0,20130497.87991,12.714314,41.189816
1990,Butane,Alberta,Total,Railway,267674.9,1683621.58602,30113302.22,25816294.6881,11.249953,36.508839
1990,Butane,Alberta,Total,Total,453140.9,2850165.63282,53686110.32,45990511.39402,11.847553,38.419058
1990,Butane,Alberta,Total,Truck,464.0,2918.4672,51071.1,43718.82601,11.006702,35.666644
1990,Butane,British Columbia,PADD II,Railway,16116.3,101368.30374,1140167.6,977137.6525,7.074623,22.951028
1990,Butane,British Columbia,PADD II,Total,16116.3,101368.30374,1140167.6,977137.6525,7.074623,22.951028
1990,Butane,British Columbia,PADD V,Railway,236680.7,1488674.26686,30024919.54,25753750.11324,12.685833,41.189774
1990,Butane,British Columbia,PADD V,Total,248318.4,1561873.07232,30941884.08,26539204.88642,12.460568,40.456727
1990,Butane,British Columbia,PADD V,Truck,11637.7,73198.80546,916964.54,785454.77318,7.879259,25.54852
1990,Butane,British Columbia,Total,Railway,252797.0,1590042.5706,31165087.14,26730887.76574,12.328107,40.027016
1990,Butane,British Columbia,Total,Total,264434.7,1663241.37606,32082051.68,27516342.53892,12.132315,39.389824
1990,Butane,British Columbia,Total,Truck,11637.7,73198.80546,916964.54,785454.77318,7.879259,25.54852
1990,Butane,Manitoba,PADD II,Railway,185178.0,1164732.5844,24471279.1,20979029.48538,13.215003,42.885232
1990,Butane,Manitoba,PADD II,Total,185178.0,1164732.5844,24471279.1,20979029.48538,13.215003,42.885232
1990,Butane,Manitoba,PADD IV,Railway,237.0,1490.6826,25094.7,21520.01159,10.588481,34.372087
1990,Butane,Manitoba,PADD IV,Total,237.0,1490.6826,25094.7,21520.01159,10.588481,34.372087
1990,Butane,Manitoba,Total,Railway,185415.0,1166223.267,24496373.8,21000549.49697,13.211646,42.874349
1990,Butane,Manitoba,Total,Total,185415.0,1166223.267,24496373.8,21000549.49697,13.211646,42.874349
1990,Butane,Ontario,PADD I,Railway,317901.9,1999539.37062,46709970.89,39944678.70706,14.693202,47.563911
1990,Butane,Ontario,PADD I,Total,320146.0,2013654.3108,47012675.75,40206404.98873,14.684761,47.539972
1990,Butane,Ontario,PADD I,Truck,2244.1,14114.94018,302704.86,261726.28167,13.48892,44.148594
1990,Butane,Ontario,PADD II,Pipeline,438192.8,2756145.07344,54084862.74,46334189.48154,12.342709,40.026543
1990,Butane,Ontario,PADD II,Railway,738159.5,4642875.6231,103532125.8,88651435.85167,14.025712,45.461874
