CAF EE Goals,Women                     ,Unnamed: 2,Aboriginal Peoples,Unnamed: 4,Visible Minorities,Unnamed: 6,Persons with Disabilities,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,25.10%,,3.50%,,11.80%,,,,,,,,,,,,,,,,,,,,,
CAF EE Representation Rates,,,,,,,,,,,,,,,,,,,,,,,,,,
Reg F Officer,19.80%,,1.90%,,12.80%,,0.80%,,,,,,,,,,,,,,,,,,,
Reg F NCM,14.40%,,3.20%,,7.40%,,1.40%,,,,,,,,,,,,,,,,,,,
Total Reg F,15.80%,,2.90%,,8.80%,,1.30%,,"Overall Self-ID Part A
",,,,,,,,,,,,,,,"Overall Self-ID Part A
",,
PRes Officer,17.00%,,1.90%,,11.60%,,0.70%,,Regular Force,,96.4%,,,,,,,,,,,,,Regular Force,,96.40%
PRes NCM,16.70%,,2.70%,,11.30%,,1.00%,,Primary Reserve,,73.8%,,,,,,,,,,,,,Primary Reserve,,73.80%
Total PRes,16.80%,,2.60%,,11.30%,,0.90%,,Overall Part A,,89.2%,,,,,,,,,,,,,Overall Part A,,89.20%
 Reg F + PRes Officer,19.10%,,1.90%,,12.50%,,0.80%,,,,,,,,,,,,,,,,,,,
Reg F + PRes NCM,15.20%,,3.10%,,8.70%,,1.30%,,,,,,,,,,,,,,,,,,,
Total Reg F + PRes,16.10%,,2.80%,,9.60%,,1.20%,,,,,,,,,,,,,,,,,,,
Summer 2015,15.00%,,2.50%,,6.20%,,1.30%,,,,,,,,,,,,,,,,,"Self-ID Part A
",,
COATS,41.40%,,2.80%,,7.10%,,2.20%,,,,,,,,,,,,,,,,,COATS,,81.10%
Rangers,22.70%,,23.10%,,1.60%,,1.20%,,,,,,,,,,,,,,,,,Rangers,,60.60%
                 Regular Force + Primary Reserve by Distinct Environmental Uniform,,,,,,,,,"Self-ID Part A
",,,,,,,,,,,,,,,,,
Navy Officer,22.50%,,2.20%,,13.60%,,0.80%,,COATS,,81.1%,,,,,,,,,,,,,,,
Navy NCM,19.90%,,3.30%,,10.10%,,1.60%,,Rangers,,60.6%,,,,,,,,,,,,,,,
Total Navy,20.60%,,3.00%,,11.10%,,1.40%,,,,,,,,,,,,,,,,,,,
Army Officer,16.40%,,1.80%,,12.50%,,0.80%,,,,,,,,,,,,,,,,,,,
Army NCM,13.00%,,3.10%,,8.80%,,1.20%,,,,,,,,,,,,,,,,,,,
Total Army,13.60%,,2.80%,,9.50%,,1.20%,,,,,,,,,,,,,,,,,,,
Air Force Officer,21.30%,,1.80%,,11.70%,,0.70%,,,,,,,,,,,,,,,,,,,
Air Force NCM,19.30%,,2.80%,,7.60%,,1.20%,,,,,,,,,,,,,,,,,,,
Total Air Force,20.00%,,2.50%,,9.00%,,1.00%,,,,,,,,,,,,,,,,,,,
