REG_ADM,ANNEE,MOIS,TYPE,NOMBRE
00-HORS QUÉBEC,,,20 - Nombre d'établissements fréquence 'FI' ou 'BR',43
17-CENTRE-DU-QUEBEC,,,20 - Nombre d'établissements fréquence 'FI' ou 'BR',1501
02-SAGUENAY--LAC-SAINT-JEAN,,,20 - Nombre d'établissements fréquence 'FI' ou 'BR',1604
03-CAPITALE-NATIONALE,,,20 - Nombre d'établissements fréquence 'FI' ou 'BR',4148
04-MAURICIE,,,20 - Nombre d'établissements fréquence 'FI' ou 'BR',1674
05-ESTRIE,,,20 - Nombre d'établissements fréquence 'FI' ou 'BR',3115
06-MONTREAL,,,20 - Nombre d'établissements fréquence 'FI' ou 'BR',1
07-OUTAOUAIS,,,20 - Nombre d'établissements fréquence 'FI' ou 'BR',2150
08-ABITIBI-TEMISCAMINGUE,,,20 - Nombre d'établissements fréquence 'FI' ou 'BR',899
09-COTE-NORD,,,20 - Nombre d'établissements fréquence 'FI' ou 'BR',681
10-NORD-DU-QUEBEC,,,20 - Nombre d'établissements fréquence 'FI' ou 'BR',394
11-GASPESIE--ILES-DE-LA-MADELEINE,,,20 - Nombre d'établissements fréquence 'FI' ou 'BR',857
12-CHAUDIERE-APPALACHES,,,20 - Nombre d'établissements fréquence 'FI' ou 'BR',2439
13-LAVAL,,,20 - Nombre d'établissements fréquence 'FI' ou 'BR',1904
14-LANAUDIERE,,,20 - Nombre d'établissements fréquence 'FI' ou 'BR',2622
15-LAURENTIDES,,,20 - Nombre d'établissements fréquence 'FI' ou 'BR',3543
16-MONTEREGIE,,,20 - Nombre d'établissements fréquence 'FI' ou 'BR',6607
01-BAS-SAINT-LAURENT,,,20 - Nombre d'établissements fréquence 'FI' ou 'BR',1474
17-CENTRE-DU-QUEBEC,2021.0,1.0,08 - Nombre d'échantillons prélevés,23
17-CENTRE-DU-QUEBEC,2021.0,1.0,09 - Nombre d'analyses,45
17-CENTRE-DU-QUEBEC,2021.0,2.0,01 - Nombre d'inspections,69
17-CENTRE-DU-QUEBEC,2021.0,2.0,02 - Nombre d'avis de non-conformité,12
17-CENTRE-DU-QUEBEC,2021.0,2.0,03 - Nombre d'infractions constatées,23
17-CENTRE-DU-QUEBEC,2021.0,2.0,07 - Montant des amendes imposées,750
