Company,Company Website,Contact Information,Accountable Officer
Group 1,,,
,,,
Alliance Pipeline Ltd.,https://www.alliancepipeline.com/Pages/default.aspx,,Bill Yardley
Enbridge Pipelines (NW) Inc.,https://www.enbridge.com/,,Vern Yu
Enbridge Pipelines Inc.,https://www.enbridge.com/,,Vern Yu
Foothills Pipe Lines Ltd.,http://www.tccustomerexpress.com/foothills.html,,Leslie Kass
PKM Cochin ULC ,https://www.pembina.com/  ,,Harry Andersen
Maritimes & Northeast Pipeline Management Ltd.,http://www.mnpp.com/canada/,,Bill Yardley
NOVA Gas Transmission Ltd.,https://www.tcenergy.com/,,Leslie Kass
Trans Mountain Pipeline ULC,https://www.transmountain.com/,,Ian Anderson
Trans Québec and Maritimes Pipeline Inc.,http://www.gazoductqm.com/en/about.html,,Leslie Kass
TransCanada Keystone Pipeline GP Ltd.,https://www.tcenergy.com/,,Leslie Kass
TransCanada PipeLines Limited,https://www.tcenergy.com/,,Leslie Kass
Trans-Northern Pipelines Inc.,https://tnpi.ca/,,Jane Keast
Westcoast Energy Inc.,https://www.enbridge.com/,,Bill Yardley
,,,
Group 2,,,
,,,
1057533 Alberta Ltd.,https://harvestoperations.com/,,Paul VanderValk
2670568 Ontario Limited,,519-872-4880,
2193914 Canada Limited,https://www.enbridgegas.com/,,Jim Redford
6720471 Canada Ltd.,https://www.atco.com/en-ca/for-business/industrial-water.html,,Douglas Stitt
AltaGas Holdings Inc. for and on behalf of AltaGas Pipeline Partnership,https://www.altagas.ca/,,Aaron Bishop
ARC Resources Ltd.,https://www.arcresources.com/,,David Holt
Aurora Pipe Line Company Ltd.,,403-233-1313,Dean Liollio
Bonavista Energy Corporation,https://bonavistaenergy.com/,,Colin Ranger
Bow River Energy Ltd. ,http://www.bowriverenergy.com,,Daniel Belot
Caltex Resources Ltd. ,https://caltexresources.com/,,Thomas M. Bieschke
Campus Energy Partners Operations Inc.,https://www.campusenergy.ca/,,Jeremy Baines
Canada Border Services Agency,https://www.cbsa-asfc.gc.ca/,,Charles Chenard
Canadian Natural Resources Limited,https://www.cnrl.com/,,Tim McKay
Canadian-Montana Pipe Line Company,https://www.northwesternenergy.com/,,Michael R Cashell
Canlin Energy Corporation,https://canlinenergy.com/,,Kent Fawcett
Centra Transmission Holdings Inc.,https://centrapipelines.com/,,J.P. Todd Karry
Cenovus Energy Inc.,https://www.cenovus.com/,,Kendall Dilling
Champion Pipe Line Corporation Limited,https://www.energir.com/en/,,Stéphane Santerre
Chief Mountain Gas Co-op Ltd.,https://www.cmgas.com/default.cfm,,Delbert G. Beazer
Commandité gestion energy windmill DREAM Quebéc inc.,http://www.windmilldevelopments.com/,,Scott Demark
County of Vermilion River No. 24 Gas Utility,https://vermilion-river.com/,780-846-2244,Harold Northcott
Crescent Point Energy Corp.,https://www.crescentpointenergy.com/,,Craig Bryksa
Distinction Energy Corp.,http://distinctionenergy.ca/,,
DR Four Beat Energy Corp.,,,
Emera Brunswick Pipeline Company Ltd.,https://www.emeranewbrunswick.com/,,Ryan O'Hara
"Enbridge Bakken Pipeline Company Inc., on behalf of Enbridge Bakken Pipeline Limited Partnership",https://www.enbridge.com/,,Vern Yu
Enbridge Gas Inc.,https://www.enbridgegas.com/,,Jim Redford
Enbridge Southern Lights GP Inc. on behalf of Enbridge Southern Lights LP,https://www.enbridge.com/,,Vern Yu
Enercapita Energy Ltd.,https://enercapita.com/,,Duane Massé
Express Pipeline Ltd.,https://www.enbridge.com/,,Vern Yu
ExxonMobil Canada Properties,https://corporate.exxonmobil.com/,,Lazaro Cosma
Foothills Pipe Lines (South B.C.) Ltd.,http://www.tccustomerexpress.com/foothills.html,,
FortisBC Huntingdon Inc.,https://www.fortisbc.com/,,Mike Leclair
Gear Energy Ltd.,https://gearenergy.com/,,Jason Kaluski
Genesis Pipeline Canada Ltd.,https://www.novachem.com/,,John Thayer
Great Lakes Pipelines Canada,http://www.tccustomerexpress.com/glc.html,,Leslie Kass
Glenogle Energy Inc.,,403-718-0036,James S. Blair
Husky Oil Operations Limited,https://huskyenergy.com/,,Andrew Dahlin
ISH Energy Ltd.,http://ishenergy.ca/,,Veronique Giry
Kinder Morgan Utopia ULC,https://www.kindermorgan.com/pages/business/gas_pipelines/north_midstream/utopia,,Sital Mody
Kingston Midstream Westspur Limited,http://www.kingstonmidstream.com/,,Jim Hand
Leucrotta Exploration Inc.,https://www.leucrotta.ca/,,Terry Trudeau
Lignite Pipeline Canada Corp.,https://www.steelreef.ca/,,Scott Southward
LBX Pipeline Ltd.,https://huskyenergy.com/,,Duane Rae
Many Islands Pipe Lines (Canada) Limited,https://www.miplcl.com/,,Ken From 
Minell Pipeline Limited,https://www.hydro.mb.ca/,,Jay Grewal
Montreal Pipe Line Limited,http://www.pmpl.com/,,Chris Gillies
Niagara Gas Transmission Limited,https://www.enbridgegas.com/,,Jim Redford
"NorthRiver Midstream Canada Partner Limited, as general partner and on behalf of NorthRiver Midstream Canada LP",https://www.nrm.ca/,,Brandon Anderson
"NorthRiver Midstream G and P Canada Pipelines Inc., as general partner and on behalf of NorthRiver Midstream G and P Canada Pipelines Limited Partnership",https://www.nrm.ca/,,Brandon Anderson
Obsidian Energy Ltd.,https://www.obsidianenergy.com/,,Aaron Smith
"Omimex Canada, Ltd.",https://www.omimex.com/,,Bradley Ross
Ovintiv Canada ULC,https://www.ovintiv.com/,,Greg Givens
Pembina Energy Services Inc.,https://www.pembina.com/,,Harry Andersen
Pembina Prairie Facilities Ltd.,https://www.pembina.com/,,Harry Andersen
Pieridae Alberta Production Ltd,https://pieridaeenergy.com/,,Yvonne McLeod
Pine Cliff Border Pipelines Limited,http://www.pinecliffenergy.com/,,Terry McNeill
Pine Cliff Energy Ltd.,http://www.pinecliffenergy.com/,,Terry McNeill
Pipestone Energy Corp.,https://pipestonecorp.com/,,Paul Wanklyn
Plains Midstream Canada ULC ,https://www.plainsmidstream.com/,,Dean Liollio
Portal Municipal Gas Company Canada Inc.,,,
Pouce Coupé Pipe Line Ltd. as agent and general partner of the Pembina North Limited Partnership,https://www.pembina.com/,,Harry Andersen
Prospera Energy Inc.,https://prosperaenergy.com/,,
SanLing Energy Ltd,http://sanlingenergy.com/,403-303-8500,Wentao Liu
SCL Pipeline Inc.,https://www.shell.ca/,,Pauline Buitink
Shiha Energy Transmission Ltd.,http://www.paramountres.com/,,James Riddell
Souris Valley Pipeline Limited,https://www.dakotagas.com/,,Dale Johnson
Spartan Delta Corp. ,https://www.spartandeltacorp.com/,,Craig Martin
St. Clair Pipelines Management Inc.,https://www.enbridge.com/,,Jim Redford
Steel Reef Pipelines Canada Corp.,https://www.steelreef.ca/,,Scott Southward
Strategic Oil and Gas Ltd.,https://home.kpmg/ca/en/home/services/advisory/deal-advisory/creditorlinks/strategic-oil-gas-ltd-and-strategic-transmission-ltd.html,,
Sunoco Logistics Partners Operations GP LLC on behalf of Sunoco Pipeline LP,https://www.sunocologistics.com/,,Greg McIlwain
Tamarack Acquisition Corp,http://www.tamarackvalley.ca/,,Brian Schmidt
TAQA NORTH by its managing partner TAQA NORTH Ltd.,https://www.taqaglobal.com/,,Graham Richardson
Terra Energy Corp.,,,
Tidewater Midstream and Infrastructure Ltd.,http://www.tidewatermidstream.com/,,Scott McLean
Tundra Oil & Gas Limited for and on behalf of Tundra Oil & Gas Partnership,https://www.tundraoilandgas.com/,,Darren Vande Graaf
Twin Rivers Paper Company Inc.,https://www.twinriverspaper.com/,,
Vector Pipeline Limited Partnership,http://www.vector-pipeline.com/,,Peter Ciani
Veresen Energy Pipeline Inc,https://veresenmidstream.com/,,Chris Rousch
Veresen NGL Pipeline Inc.,https://www.pembina.com/,,Harry Andersen
Vermilion Energy Inc.,https://www.vermilionenergy.com/,,
Westover Express Pipeline Limited,https://www.enbridge.com/,,
Whitecap Resources Inc.,https://www.wcap.ca/,,Joel Armstrong
Yoho Resources Inc.,http://www.yohoresources.ca/index.html,,Don Parker
Yukon Pipelines Limited,,,Ryan McDermid
Zibi Community Utility,https://www.zibi.ca/zcu/,,
