CODE_REGION,REGION_ADMIN,VILLE,INTERVENANT_NOM,INTERVENANT_NUMERO,SITE_NOM,SITE_NUMERO,SITE_ADRESSE_COMPLETE,PERMIS_DATE_EMISSION,PERMIS_DATE_EXPIRATION,NO_PERMIS,CAPACITE_AUTORISE,NOMBRE_RESERVOIR_AUTORISE,DATE_PROCHAINE_VERIFICATION
15.0,Laurentides,ST-JÉROME,110765 Canada ltée,5666-2216,LES PRODUITS PÉTROLIÈRES INTERGAZ,1-2224304386,651 RUE ROLAND GODARD ST-JÉROME QC CANADA J7Y 4C5,2020-09-07,2022-09-06,1014173,115000,3,2024-09-06
16.0,Montérégie,Napierville,DÉPANNEUR CHARLES BOURGEOIS INC.,5718-5654,DÉPANNEUR CHARLES BOURGEOIS INC.,1-2224870119,170 BOULEVARD INDUSTRIEL BUREAU 100 NAPIERVILLE QC CANADA J0J 1L0,2019-12-08,2021-12-07,1015534,140000,2,2023-12-07
16.0,Montérégie,Saint-Lazare,4427629 CANADA INC.,5718-7783,HARDIL GAS STATION,1-2239993652,836 ROUTE DE LA CITÉ-DES-JEUNES SAINT-LAZARE QC CANADA J7T 2B5,2019-12-13,2021-12-12,1009338,100000,3,2023-12-12
14.0,Lanaudière,St-Esprit,Harnois Énergies inc.,5666-1994,Proxi Extra St-Esprit,1-2257709097,128 RUE ST- ISIDORE ST-ESPRIT QC CANADA J0K 2L0,2020-05-07,2022-05-06,1015582,115000,2,2024-05-06
9.0,Côte-Nord,Port-Cartier,Couche-Tard inc.,5615-0667,COUCHE TARD # 958,1-2257763865,56 BOULEVARD DU PORTAGE-DES-MOUSSES PORT-CARTIER QC CANADA G5B 1C6,2020-09-23,2022-09-22,1010470,65000,1,2022-09-22
3.0,Capitale-Nationale,Québec,Couche-Tard inc.,5615-0667,COUCHE TARD #506/ IR-5041,1-2257809008,80 RUE RACINE QUÉBEC QC CANADA G2B 1C7,2021-02-01,2023-01-31,1010103,118196,3,2023-01-31
15.0,Laurentides,Mirabel,Uniroc inc.,5780-0773,UNIROC INC.,1-2272981533,5605 ROUTE ARTHUR-SAUVÉ MIRABEL QC CANADA J7N 2W4,2021-10-01,2023-09-30,1014464,57750,3,2027-09-30
3.0,Capitale-Nationale,Québec,La Société Canadian Tire Limitée,8237-7342,Canadian Tire (Station service),1-2302362565,11095 BOULEVARD HENRI-BOURASSA QUÉBEC QC CANADA G1G 3X8,2021-07-01,2023-06-30,1011111,90800,4,2023-06-30
13.0,Laval,Laval,Sobeys Capital inc.,5772-4841,Shell (C10225),1-2302444372,595 BOULEVARD LAVAL LAVAL QC CANADA H7N 5T8,2020-06-07,2022-06-06,1016785,115000,2,2022-06-06
6.0,Montréal,Montréal-Est,9187-8157 Québec Inc.,5720-2079,Dépanneur Bo-Coin,1-2302527529,301 AVENUE BROADWAY MONTRÉAL-EST QC CANADA H1B 5A5,2021-02-01,2023-01-31,1010237,59098,3,2023-01-31
8.0,Abitibi-Témiscamingue,Belleterre,Magasin Hein inc.,5666-0160,Magasin Hein inc. (Station propane),1-49676-1300,74 2E RUE BELLETERRE QC CANADA J0Z 1L0,2020-04-01,2022-03-31,1014083,35000,1,2022-03-31
12.0,Chaudière-Appalaches,Sainte-Marguerite,André Drouin,5778-7749,André Drouin,1-49676-46836,481 ROUTE 275 SAINTE-MARGUERITE QC CANADA G0S 2X0,2019-10-12,2021-10-11,1009966,35000,1,2023-10-11
12.0,Chaudière-Appalaches,Sainte-Marguerite,André Drouin,5778-7749,André Drouin,1-49676-46836,481 ROUTE 275 SAINTE-MARGUERITE QC CANADA G0S 2X0,2021-10-12,2023-10-11,1009966,35000,1,2023-10-11
1.0,Bas-Saint-Laurent,La Trinité-des-Monts,Marché Le Nécessaire inc.,5790-7396,Marché Le Nécessaire,1-49676-46838,88 RUE PRINCIPALE OUEST LA TRINITÉ-DES-MONTS QC CANADA G0K 1B0,2020-12-11,2022-12-10,1009588,14860,1,2022-12-10
16.0,Montérégie,Saint-Paul-d'Abbotsford,Dépanneur P.H. Garneau inc.,5666-9013,Dépanneur P.H. Garneau inc.(station propane),1-49676-46839,2115 RUE PRINCIPALE EST SAINT-PAUL-D'ABBOTSFORD QC CANADA J0E 1A0,2021-09-27,2023-09-26,1011439,85000,2,2025-09-26
2.0,Saguenay--Lac-Saint-Jean,Saguenay,9003-2541 Québec inc.,5666-9088,Épicerie Boucherie Culinaire,1-49676-46844,4500 ROUTE MATHIAS SAGUENAY QC CANADA G7P 1E2,2020-09-12,2022-09-11,1014176,60000,1,2022-09-11
12.0,Chaudière-Appalaches,Cap-Saint-Ignace,Épicerie Couillard inc.,5666-9096,Épicerie Couillard inc.,1-49676-46845,560 CHEMIN BELLEVUE OUEST CAP-SAINT-IGNACE QC CANADA G0R 1H0,2020-12-01,2022-11-30,1009967,40914,2,2024-11-30
15.0,Laurentides,Blainville,2419-9382 QUÉBEC INC.,5666-0186,MÉCANIQUE GÉNÉRALE ST-LOUIS ENR. (station propane),1-49676-1302,1226 BOULEVARD DU CURÉ-LABELLE BLAINVILLE QC CANADA J7C 2N4,2020-07-24,2022-07-23,1016844,105000,1,2024-07-23
17.0,Centre-du-Québec,Bécancour,9183-9514 QUÉBEC INC.,5666-9112,ÉPICERIE MARCHÉ AMI,1-49676-46873,7805 BOULEVARD DU PARC-INDUSTRIEL BÉCANCOUR QC CANADA G9H 3N7,2021-07-01,2023-06-30,1019617,90920,4,2023-06-30
5.0,Estrie,Sherbrooke,9127-5719 Québec inc.,5695-2765,Dépanneur Dunant,1-49676-46874,1585 RUE DUNANT SHERBROOKE QC CANADA J1H 5N6,2021-06-28,2023-06-27,1011376,100000,2,2023-06-27
12.0,Chaudière-Appalaches,Beauceville,Les Placements G.L.R.M. inc.,5666-9179,Dépanneur Beauceville,1-49676-46878,559 BOULEVARD RENAULT BEAUCEVILLE QC CANADA G5X 1N3,2021-07-06,2023-07-05,1014841,60000,1,2023-07-05
6.0,Montréal,Montréal,9358-1775 Québec inc.,5742-2339,Petro Plus,1-49676-46881,13072 BOULEVARD DE PIERREFONDS MONTRÉAL QC CANADA H9A 1A5,2021-04-01,2023-03-31,1010574,125000,3,2023-03-31
1.0,Bas-Saint-Laurent,Saint-Michel-du-Squatec,Mécanique Francis Bouchard inc,5775-3931,Mécanique Francis Bouchard Inc.,1-49676-1303,65 RUE SAINT-JOSEPH SAINT-MICHEL-DU-SQUATEC QC CANADA G0L 4H0,2020-06-01,2022-05-31,1016519,24020,2,2022-05-31
15.0,Laurentides,Rivière-Rouge,9175-3947 QUÉBEC INC.,5666-9260,STATION SERVICE ET DÉPANNEUR ABL(station propane),1-49676-46913,1170 RUE L'ANNONCIATION NORD RIVIÈRE-ROUGE QC CANADA J0T 1T0,2020-07-01,2022-06-30,1009285,80400,2,2022-06-30
12.0,Chaudière-Appalaches,Thetford Mines,Harnois Énergies inc.,5666-1994,Proxi Extra Thetford,1-49676-46916,6108 BOULEVARD FRONTENAC EST THETFORD MINES QC CANADA G6H 4J8,2021-10-01,2023-09-30,1009234,112200,4,2023-09-30
14.0,Lanaudière,Terrebonne,Le Marché de la Pommeraie inc.,5660-3772,LE MARCHÉ DE LA POMMERAIE (station propane),1-49676-46944,75 CÔTE DE TERREBONNE TERREBONNE QC CANADA J6Y 1P9,2019-12-06,2021-12-05,1014863,100000,2,2023-12-05
12.0,Chaudière-Appalaches,La Durantaye,MAGAZIN E.S.P.,5666-9310,MAGAZIN E.S.P. SENC,1-49676-46945,17 ROUTE NORBERT-MORIN LA DURANTAYE QC CANADA G0R 1W0,2020-06-01,2022-05-31,1009054,55000,3,2024-05-31
16.0,Montérégie,Sorel-Tracy,102172 CANADA INC.,5666-9393,DÉPANNEUR BERNARD,1-49676-46952,4125 CHEMIN SAINT-ROCH SOREL-TRACY QC CANADA J3R 3M1,2020-10-01,2022-09-30,1009597,90800,4,2022-09-30
6.0,Montréal,Montréal,Couche-Tard inc.,5615-0667,Couche-Tard #1190,1-49676-46982,22 PLACE DU COMMERCE MONTRÉAL QC CANADA H3E 1V7,2019-12-01,2021-11-30,1011473,131835,4,2021-11-30
4.0,Mauricie,Saint-Narcisse,9188-5152 Québec inc.,5666-9468,9188-5152 Québec inc. - Halte 359(station propane),1-49676-46984,340 3E RANG SAINT-NARCISSE QC CANADA G0X 2Y0,2019-12-19,2021-12-18,1009124,70000,2,2023-12-18
16.0,Montérégie,Saint-Louis-de-Gonzague,UNIAG COOPÉRATIVE,5667-3866,Uniag Coopérative,1-49676-46985,31 RUE DU PONT SAINT-LOUIS-DE-GONZAGUE QC CANADA J0S 1T0,2021-06-10,2023-06-09,1011291,83475,2,2023-06-09
