Month,Sort,Year,Page Views
July,7.0,2003.0,4618078.0
August,8.0,2003.0,6201906.0
September,9.0,2003.0,6212629.0
October,10.0,2003.0,5623701.0
November,11.0,2003.0,4770724.0
December,12.0,2003.0,1.0635555E7
January,1.0,2004.0,8626559.0
February,2.0,2004.0,1.1362126E7
March,3.0,2004.0,1.1866809E7
April,4.0,2004.0,1.1632495E7
May,5.0,2004.0,1.2485764E7
June,6.0,2004.0,1.2762423E7
July,7.0,2004.0,1.2713265E7
August,8.0,2004.0,1.434023E7
September,9.0,2004.0,1.748159E7
October,10.0,2004.0,2.5487071E7
November,11.0,2004.0,2.1947381E7
December,12.0,2004.0,1.7548995E7
January,1.0,2005.0,2.3707171E7
February,2.0,2005.0,2.5933912E7
March,3.0,2005.0,2.9023852E7
April,4.0,2005.0,2.7185712E7
May,5.0,2005.0,2.4843292E7
June,6.0,2005.0,2.2676284E7
July,7.0,2005.0,2.1541241E7
August,8.0,2005.0,2.3454406E7
September,9.0,2005.0,3.0642864E7
October,10.0,2005.0,3.6831264E7
November,11.0,2005.0,3.5884024E7
December,12.0,2005.0,2.4344114E7
January,1.0,2006.0,3.3046267E7
February,2.0,2006.0,3.4492622E7
March,3.0,2006.0,4.1038226E7
April,4.0,2006.0,3.8570838E7
May,5.0,2006.0,3.8138628E7
June,6.0,2006.0,3.1159556E7
July,7.0,2006.0,2.9695599E7
August,8.0,2006.0,3.3455892E7
September,9.0,2006.0,3.7515912E7
October,10.0,2006.0,4.3154286E7
November,11.0,2006.0,4.1352144E7
December,12.0,2006.0,3.0734218E7
January,1.0,2007.0,4.0789088E7
February,2.0,2007.0,4.0261277E7
March,3.0,2007.0,4.0955689E7
April,4.0,2007.0,3.9914935E7
May,5.0,2007.0,3.9076247E7
June,6.0,2007.0,3.4758614E7
July,7.0,2007.0,3.4217746E7
August,8.0,2007.0,3.4615736E7
September,9.0,2007.0,3.8792059E7
October,10.0,2007.0,4.9792008E7
November,11.0,2007.0,4.4574805E7
December,12.0,2007.0,3.1675915E7
January,1.0,2008.0,4.2488833E7
February,2.0,2008.0,4.4725756E7
March,3.0,2008.0,4.474158E7
April,4.0,2008.0,4.5923617E7
May,5.0,2008.0,3.9700218E7
June,6.0,2008.0,3.5931018E7
July,7.0,2008.0,3.6109788E7
August,8.0,2008.0,3.372269E7
September,9.0,2008.0,4.04619E7
October,10.0,2008.0,4.4920543E7
November,11.0,2008.0,3.9880574E7
December,12.0,2008.0,3.2443014E7
January,1.0,2009.0,4.0081058E7
February,2.0,2009.0,4.54062E7
March,3.0,2009.0,4.6508062E7
April,4.0,2009.0,9.8247134E7
May,5.0,2009.0,9.5186955E7
June,6.0,2009.0,5.3583315E7
July,7.0,2009.0,4.9220552E7
August,8.0,2009.0,5.747954E7
September,9.0,2009.0,7.9438263E7
October,10.0,2009.0,1.04993467E8
November,11.0,2009.0,7.9202117E7
December,12.0,2009.0,5.0985229E7
January,1.0,2010.0,5.1357254E7
February,2.0,2010.0,4.8868406E7
March,3.0,2010.0,5.3120987E7
April,4.0,2010.0,4.8575516E7
May,5.0,2010.0,5.0016698E7
June,6.0,2010.0,4.5032824E7
July,7.0,2010.0,4.1109176E7
August,8.0,2010.0,4.3426807E7
September,9.0,2010.0,4.9405844E7
October,10.0,2010.0,4.8167454E7
November,11.0,2010.0,4.1764892E7
December,12.0,2010.0,3.1516324E7
January,1.0,2011.0,3.8884048E7
February,2.0,2011.0,3.9293507E7
March,3.0,2011.0,4.679874E7
April,4.0,2011.0,4.1686507E7
May,5.0,2011.0,4.814098E7
June,6.0,2011.0,4.7864043E7
July,7.0,2011.0,4.502542E7
August,8.0,2011.0,4.8751296E7
September,9.0,2011.0,5.7406433E7
October,10.0,2011.0,6.2420968E7
November,11.0,2011.0,7.393731E7
December,12.0,2011.0,7.1713502E7
January,1.0,2012.0,8.7815865E7
February,2.0,2012.0,6.4667049E7
March,3.0,2012.0,6.1073099E7
April,4.0,2012.0,6.0010264E7
May,5.0,2012.0,5.8505636E7
June,6.0,2012.0,5.2529229E7
July,7.0,2012.0,5.2039332E7
August,8.0,2012.0,5.7080018E7
September,9.0,2012.0,6.0842404E7
October,10.0,2012.0,7.4951609E7
November,11.0,2012.0,6.2788378E7
December,12.0,2012.0,5.3919433E7
January,1.0,2013.0,7.6553256E7
February,2.0,2013.0,6.3103075E7
March,3.0,2013.0,6.7808429E7
April,4.0,2013.0,6.9582514E7
May,5.0,2013.0,6.2206641E7
June,6.0,2013.0,6.0623487E7
July,7.0,2013.0,6.0502032E7
August,8.0,2013.0,6.0934848E7
September,9.0,2013.0,7.5769735E7
October,10.0,2013.0,8.0138671E7
November,11.0,2013.0,7.5244044E7
December,12.0,2013.0,6.352798E7
January,1.0,2014.0,8.0559009E7
February,2.0,2014.0,7.7595355E7
March,3.0,2014.0,8.4225073E7
April,4.0,2014.0,8.3951491E7
May,5.0,2014.0,8.1601834E7
June,6.0,2014.0,7.3107873E7
July,7.0,2014.0,7.6814806E7
August,8.0,2014.0,8.4578136E7
September,9.0,2014.0,9.5570138E7
October,10.0,2014.0,1.43925415E8
November,11.0,2014.0,8.8408415E7
December,12.0,2014.0,7.7040666E7
January,1.0,2015.0,8.4910793E7
February,2.0,2015.0,8.4709063E7
March,3.0,2015.0,8.5489321E7
April,4.0,2015.0,8.305258E7
May,5.0,2015.0,7.2511474E7
June,6.0,2015.0,7.3797639E7
July,7.0,2015.0,7.6147057E7
August,8.0,2015.0,7.9696254E7
September,9.0,2015.0,8.7652029E7
October,10.0,2015.0,8.7652029E7
November,11.0,2015.0,9.3966584E7
December,12.0,2015.0,8.4267847E7
January,1.0,2016.0,1.09453661E8
February,2.0,2016.0,1.22943253E8
March,3.0,2016.0,1.12285513E8
April,4.0,2016.0,1.2038051E8
May,5.0,2016.0,1.1467857E8
June,6.0,2016.0,1.05102248E8
July,7.0,2016.0,9.7128611E7
August,8.0,2016.0,1.09791194E8
September,9.0,2016.0,1.03315923E8
October,10.0,2016.0,1.00698261E8
November,11.0,2016.0,8.6941536E7
December,12.0,2016.0,6.7484306E7
January,1.0,2017.0,7.8551952E7
February,2.0,2017.0,7.6666751E7
March,3.0,2017.0,8.2576635E7
April,4.0,2017.0,7.1650769E7
May,5.0,2017.0,6.9614471E7
June,6.0,2017.0,6.6183568E7
July,7.0,2017.0,6.510823E7
August,8.0,2017.0,6.6530831E7
September,9.0,2017.0,7.0907131E7
October,10.0,2017.0,7.8774412E7
November,11.0,2017.0,7.4962237E7
December,12.0,2017.0,6.3277568E7
January,1.0,2018.0,8.2831947E7
February,2.0,2018.0,7.4271998E7
March,3.0,2018.0,7.3858019E7
April,4.0,2018.0,7.5436005E7
May,5.0,2018.0,6.4251978E7
June,6.0,2018.0,5.2770008E7
July,7.0,2018.0,6.3791236E7
August,8.0,2018.0,7.6608854E7
September,9.0,2018.0,7.8959308E7
October,10.0,2018.0,9.3544158E7
November,11.0,2018.0,9.1474779E7
December,12.0,2018.0,7.1598145E7
January,1.0,2019.0,8.7535934E7
February,2.0,2019.0,8.6913634E7
March,3.0,2019.0,9.9595793E7
April,4.0,2019.0,1.04579921E8
May,5.0,2019.0,9.6984149E7
June,6.0,2019.0,8.8435925E7
July,7.0,2019.0,9.0107521E7
August,8.0,2019.0,9.3671807E7
September,9.0,2019.0,1.01691816E8
October,10.0,2019.0,1.11292015E8
November,11.0,2019.0,1.10680462E8
December,12.0,2019.0,9.538965E7
January,1.0,2020.0,1.60606804E8
February,2.0,2020.0,2.59304581E8
March,3.0,2020.0,1.07559492E9
April,4.0,2020.0,4.74161614E8
May,5.0,2020.0,3.08202224E8
June,6.0,2020.0,2.50867236E8
July,7.0,2020.0,3.10159256E8
August,8.0,2020.0,2.346364E8
September,9.0,2020.0,2.02745131E8
October,10.0,2020.0,2.17881138E8
November,11.0,2020.0,2.30597388E8
December,12.0,2020.0,2.49334351E8
January,1.0,2021.0,2.92726716E8
February,2.0,2021.0,2.31261233E8
March,3.0,2021.0,3.01991892E8
April,4.0,2021.0,2.66845041E8
May,5.0,2021.0,2.24670626E8
June,6.0,2021.0,1.94919107E8
July,7.0,2021.0,2.3191877E8
August,8.0,2021.0,3.0018799E8
