Jurisdiction,Sub-Jurisdiction,Topical Area,Supplemental Act Name,Award Name,Amount
California,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,20074619
Colorado,,Public Health Workforce,American Rescue Plan Act of 2021,Crisis CoAg Workforce,34680626
Illinois,Chicago,Public Health Workforce,American Rescue Plan Act of 2021,Crisis CoAg Workforce,16756027
Illinois,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for Genomic Sequencing,6381627
Louisiana,,Public Health Workforce,American Rescue Plan Act of 2021,DIS Workforce,14362845
Mississippi,,Epi and Lab Capacity,American Rescue Plan Act of 2021,Public Health Laboratory Preparedness,142473
New Jersey,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,80258162
New Mexico,,Public Health Workforce,American Rescue Plan Act of 2021,Crisis CoAg Workforce,13263544
South Dakota,,Public Health Workforce,American Rescue Plan Act of 2021,Crisis CoAg Workforce,6174029
Tribal Awards,,Tribal Awards,"Coronavirus Aid, Relief, and Economic Security Act",Tribal Awards,145000000
Vermont,,Public Health Workforce,American Rescue Plan Act of 2021,Crisis CoAg Workforce,4649471
Virgin Islands,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 in Confinement Facilities,490000
Wisconsin,,Public Health Workforce,American Rescue Plan Act of 2021,Crisis CoAg Workforce,35053171
Kansas,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,449760
Michigan,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Infection Control Training,1786310
American Samoa,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,1487904
North Dakota,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,50000
South Dakota,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,16035589
Montana,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,50000
Puerto Rico,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Epi & Lab Capacity,0
Pennsylvania,Philadelphia,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 in Confinement Facilities,1610000
Maryland,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness,4438515
North Dakota,,Vaccine Preparedness,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",COVID-19 Vaccine Preparedness/2,6885880
Texas,Austin,Addressing Health Disparities,"Coronavirus Aid, Relief, and Economic Security Act/5",Community Health Workers for COVID Response and Resilient Communities (CCR),1432565
Oklahoma,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC Strengthening Healthcare Associated Infections and Antibiotic Resistance Programs,5922875
Iowa,,Data Modernization,"Coronavirus Aid, Relief, and Economic Security Act",ELC Accelerating Data Modernization in Jurisdictions,2428272
Montana,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,449760
Oregon,,Epi and Lab Capacity,Paycheck Protection Program and Health Care Enhancement Act,ELC Epi & Lab Capacity for HHS,86954065
Florida,,Epi and Lab Capacity,American Rescue Plan Act of 2021,ELC Detection & Mitigation of COVID-19 Among People Experiencing Homelessness,2968416
Ohio,Columbus,Addressing Health Disparities,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021","National Initiative to Address COVID-19 Health Disparities Among Populations at High-Risk and Underserved, Including Racial and Ethnic Minority Populations and Rural Communities",3396978
Arkansas,,All Other,"Coronavirus Aid, Relief, and Economic Security Act",All Other STLT Awards,665352
Utah,,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC State-based Nursing Home and Long Term Care Strike Teams,3813744
New Mexico,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness/3,24601924
New Jersey,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,1750000
Maine,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #3,0
Arizona,,School Testing,American Rescue Plan Act of 2021,ELC Epi & Lab Capacity for School Testing,219231387
Oregon,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",COVID-19 Vaccine Preparedness,2459498
Wisconsin,,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Epi & Lab Capacity,500000
South Carolina,,Vaccine Preparedness,American Rescue Plan Act of 2021,COVID-19 Vaccine Preparedness,3779996
Texas,San Antonio,Epi and Lab Capacity,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",ELC Epi & Lab Capacity,0
West Virginia,,Emergency Response,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Crisis CoAg Award #1,0
Hawaii,,Vaccine Preparedness,"Coronavirus Aid, Relief, and Economic Security Act",Influenza Season Early Preparedness,558492
Pennsylvania,,Vaccine Preparedness,"Coronavirus Response and Relief Supplemental Appropriations Act, 2021",COVID-19 Vaccine Preparedness/2,101363520
Nevada,,All Other,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",Emerging Infections Program Award,0
District of Columbia,,Epi and Lab Capacity,"Coronavirus Aid, Relief, and Economic Security Act",ELC Epi & Lab Capacity Reopen America,6831442
Texas,Houston,Infection Prevention and Control,American Rescue Plan Act of 2021,ELC Strengthening Healthcare Associated Infections and Antibiotic Resistance Programs,4163190
