Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Connecticut,06/21/2021,54360.0,54360.0
Maine,06/21/2021,21420.0,21420.0
Massachusetts,06/21/2021,104580.0,104580.0
New Hampshire,06/21/2021,21420.0,21420.0
Rhode Island,06/21/2021,17280.0,17280.0
Vermont,06/21/2021,11070.0,11070.0
New Jersey,06/21/2021,132210.0,132210.0
New York,06/21/2021,167670.0,167670.0
New York City,06/21/2021,128070.0,128070.0
Puerto Rico,06/21/2021,52290.0,52290.0
U.S. Virgin Islands,06/21/2021,3240.0,3240.0
Delaware,06/21/2021,15210.0,15210.0
District of Columbia,06/21/2021,11520.0,11520.0
Maryland,06/21/2021,89370.0,89370.0
Pennsylvania,06/21/2021,170460.0,170460.0
Philadelphia,06/21/2021,24660.0,24660.0
Virginia,06/21/2021,126000.0,126000.0
West Virginia,06/21/2021,28800.0,28800.0
Alabama,06/21/2021,72090.0,72090.0
Florida,06/21/2021,314640.0,314640.0
Georgia,06/21/2021,149490.0,149490.0
Kentucky,06/21/2021,65880.0,65880.0
Mississippi,06/21/2021,44460.0,44460.0
North Carolina,06/21/2021,149940.0,149940.0
South Carolina,06/21/2021,74160.0,74160.0
Tennessee,06/21/2021,98820.0,98820.0
Chicago,06/21/2021,40770.0,40770.0
Illinois,06/21/2021,149490.0,149490.0
Indiana,06/21/2021,97200.0,97200.0
Michigan,06/21/2021,147870.0,147870.0
Minnesota,06/21/2021,81540.0,81540.0
Ohio,06/21/2021,172530.0,172530.0
Wisconsin,06/21/2021,85680.0,85680.0
Arkansas,06/21/2021,44460.0,44460.0
Louisiana,06/21/2021,69120.0,69120.0
New Mexico,06/21/2021,32490.0,32490.0
Oklahoma,06/21/2021,57600.0,57600.0
Texas,06/21/2021,393660.0,393660.0
Iowa,06/21/2021,46530.0,46530.0
Kansas,06/21/2021,42390.0,42390.0
Missouri,06/21/2021,89820.0,89820.0
Nebraska,06/21/2021,28800.0,28800.0
Colorado,06/21/2021,82710.0,82710.0
Montana,06/21/2021,16830.0,16830.0
North Dakota,06/21/2021,11520.0,11520.0
South Dakota,06/21/2021,13140.0,13140.0
Utah,06/21/2021,41220.0,41220.0
Wyoming,06/21/2021,9450.0,9450.0
Arizona,06/21/2021,102510.0,102510.0
California,06/21/2021,575640.0,575640.0
Hawaii,06/21/2021,22590.0,22590.0
Nevada,06/21/2021,42840.0,42840.0
American Samoa,06/21/2021,0.0,0.0
Guam,06/21/2021,0.0,0.0
Marshall Islands,06/21/2021,0.0,0.0
Micronesia,06/21/2021,0.0,0.0
Mariana Islands,06/21/2021,0.0,0.0
Palau,06/21/2021,0.0,0.0
Alaska,06/21/2021,16830.0,16830.0
Idaho,06/21/2021,25110.0,25110.0
Oregon,06/21/2021,62190.0,62190.0
Washington,06/21/2021,109170.0,109170.0
Federal Entities,06/21/2021,219060.0,219060.0
Connecticut,06/14/2021,54360.0,54360.0
Maine,06/14/2021,21420.0,21420.0
Massachusetts,06/14/2021,104580.0,104580.0
New Hampshire,06/14/2021,21420.0,21420.0
Rhode Island,06/14/2021,17280.0,17280.0
Vermont,06/14/2021,11070.0,11070.0
New Jersey,06/14/2021,132210.0,132210.0
New York,06/14/2021,167670.0,167670.0
New York City,06/14/2021,128070.0,128070.0
Puerto Rico,06/14/2021,52290.0,52290.0
U.S. Virgin Islands,06/14/2021,3240.0,3240.0
Delaware,06/14/2021,15210.0,15210.0
District of Columbia,06/14/2021,11520.0,11520.0
Maryland,06/14/2021,89370.0,89370.0
Pennsylvania,06/14/2021,170460.0,170460.0
Philadelphia,06/14/2021,24660.0,24660.0
Virginia,06/14/2021,126000.0,126000.0
West Virginia,06/14/2021,28800.0,28800.0
Alabama,06/14/2021,72090.0,72090.0
Florida,06/14/2021,314640.0,314640.0
Georgia,06/14/2021,149490.0,149490.0
Kentucky,06/14/2021,65880.0,65880.0
Mississippi,06/14/2021,44460.0,44460.0
North Carolina,06/14/2021,149940.0,149940.0
South Carolina,06/14/2021,74160.0,74160.0
Tennessee,06/14/2021,98820.0,98820.0
Chicago,06/14/2021,40770.0,40770.0
Illinois,06/14/2021,149490.0,149490.0
Indiana,06/14/2021,97200.0,97200.0
Michigan,06/14/2021,147870.0,147870.0
Minnesota,06/14/2021,81540.0,81540.0
Ohio,06/14/2021,172530.0,172530.0
Wisconsin,06/14/2021,85680.0,85680.0
Arkansas,06/14/2021,44460.0,44460.0
Louisiana,06/14/2021,69120.0,69120.0
New Mexico,06/14/2021,32490.0,32490.0
Oklahoma,06/14/2021,57600.0,57600.0
Texas,06/14/2021,393660.0,393660.0
Iowa,06/14/2021,46530.0,46530.0
Kansas,06/14/2021,42390.0,42390.0
Missouri,06/14/2021,89820.0,89820.0
Nebraska,06/14/2021,28800.0,28800.0
Colorado,06/14/2021,82710.0,82710.0
Montana,06/14/2021,16830.0,16830.0
North Dakota,06/14/2021,11520.0,11520.0
South Dakota,06/14/2021,13140.0,13140.0
Utah,06/14/2021,41220.0,41220.0
Wyoming,06/14/2021,9450.0,9450.0
Arizona,06/14/2021,102510.0,102510.0
California,06/14/2021,575640.0,575640.0
Hawaii,06/14/2021,22590.0,22590.0
Nevada,06/14/2021,42840.0,42840.0
American Samoa,06/14/2021,0.0,0.0
Guam,06/14/2021,0.0,0.0
Marshall Islands,06/14/2021,0.0,0.0
Micronesia,06/14/2021,0.0,0.0
Mariana Islands,06/14/2021,0.0,0.0
Palau,06/14/2021,0.0,0.0
Alaska,06/14/2021,16830.0,16830.0
Idaho,06/14/2021,25110.0,25110.0
Oregon,06/14/2021,62190.0,62190.0
Washington,06/14/2021,109170.0,109170.0
Federal Entities,06/14/2021,219060.0,219060.0
Connecticut,06/07/2021,54360.0,54360.0
Maine,06/07/2021,21420.0,21420.0
Massachusetts,06/07/2021,104580.0,104580.0
New Hampshire,06/07/2021,21420.0,21420.0
Rhode Island,06/07/2021,17280.0,17280.0
Vermont,06/07/2021,11070.0,11070.0
New Jersey,06/07/2021,132210.0,132210.0
New York,06/07/2021,167670.0,167670.0
New York City,06/07/2021,128070.0,128070.0
Puerto Rico,06/07/2021,52290.0,52290.0
U.S. Virgin Islands,06/07/2021,3240.0,3240.0
Delaware,06/07/2021,15210.0,15210.0
District of Columbia,06/07/2021,11520.0,11520.0
Maryland,06/07/2021,89370.0,89370.0
Pennsylvania,06/07/2021,170460.0,170460.0
Philadelphia,06/07/2021,24660.0,24660.0
Virginia,06/07/2021,126000.0,126000.0
West Virginia,06/07/2021,28800.0,28800.0
Alabama,06/07/2021,72090.0,72090.0
Florida,06/07/2021,314640.0,314640.0
Georgia,06/07/2021,149490.0,149490.0
Kentucky,06/07/2021,65880.0,65880.0
Mississippi,06/07/2021,44460.0,44460.0
North Carolina,06/07/2021,149940.0,149940.0
South Carolina,06/07/2021,74160.0,74160.0
Tennessee,06/07/2021,98820.0,98820.0
Chicago,06/07/2021,40770.0,40770.0
Illinois,06/07/2021,149490.0,149490.0
Indiana,06/07/2021,97200.0,97200.0
Michigan,06/07/2021,147870.0,147870.0
Minnesota,06/07/2021,81540.0,81540.0
Ohio,06/07/2021,172530.0,172530.0
Wisconsin,06/07/2021,85680.0,85680.0
Arkansas,06/07/2021,44460.0,44460.0
Louisiana,06/07/2021,69120.0,69120.0
New Mexico,06/07/2021,32490.0,32490.0
Oklahoma,06/07/2021,57600.0,57600.0
Texas,06/07/2021,393660.0,393660.0
Iowa,06/07/2021,46530.0,46530.0
Kansas,06/07/2021,42390.0,42390.0
Missouri,06/07/2021,89820.0,89820.0
Nebraska,06/07/2021,28800.0,28800.0
Colorado,06/07/2021,82710.0,82710.0
Montana,06/07/2021,16830.0,16830.0
North Dakota,06/07/2021,11520.0,11520.0
South Dakota,06/07/2021,13140.0,13140.0
Utah,06/07/2021,41220.0,41220.0
Wyoming,06/07/2021,9450.0,9450.0
Arizona,06/07/2021,102510.0,102510.0
California,06/07/2021,575640.0,575640.0
Hawaii,06/07/2021,22590.0,22590.0
Nevada,06/07/2021,42840.0,42840.0
American Samoa,06/07/2021,0.0,0.0
Guam,06/07/2021,0.0,0.0
Marshall Islands,06/07/2021,0.0,0.0
Micronesia,06/07/2021,0.0,0.0
Mariana Islands,06/07/2021,0.0,0.0
Palau,06/07/2021,0.0,0.0
Alaska,06/07/2021,16830.0,16830.0
Idaho,06/07/2021,25110.0,25110.0
Oregon,06/07/2021,62190.0,62190.0
Washington,06/07/2021,109170.0,109170.0
Federal Entities,06/07/2021,219060.0,219060.0
Connecticut,05/31/2021,54360.0,54360.0
Maine,05/31/2021,21420.0,21420.0
Massachusetts,05/31/2021,104580.0,104580.0
New Hampshire,05/31/2021,21420.0,21420.0
