Year,LocationAbbr,LocationDesc,DataSource,Category,Indicator,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Number,WeightedNumber,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,CategoryID,IndicatorID,LocationID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
2019,NV,Nevada,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,,,*,Data suppressed,,,,,Disability Type,Self-care Disability,,,DISEST,AGEIND,32,AGE01,PREV,DISTYPE,SELFDIS,,
2019,ND,North Dakota,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,,,*,Data suppressed,,,,,Disability Type,Self-care Disability,,,DISEST,AGEIND,38,AGE01,PREV,DISTYPE,SELFDIS,,
2019,HHS7,HHS Region 7,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,8.9,8.9,,,8.4,9.5,2507.0,509599.0,Disability Type,Hearing Disability,,,DISEST,SEXIND,86,SEX01,AGEADJPREV,DISTYPE,HEARDIS,,
2019,AR,Arkansas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Asian, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Status,No Disability,,,DISEST,RACEIND,5,RACE05,AGEADJPREV,DISSTAT,NODIS,,
2019,MO,Missouri,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,34.8,34.8,,,26.2,44.5,50.0,51627.0,Disability Status,Any Disability,,,DISEST,RACEIND,29,RACE03,AGEADJPREV,DISSTAT,DISABL,,
2019,NM,New Mexico,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Asian, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Status,Any Disability,,,DISEST,RACEIND,35,RACE05,AGEADJPREV,DISSTAT,DISABL,,
2019,OK,Oklahoma,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Asian, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Status,Any Disability,,,DISEST,RACEIND,40,RACE05,AGEADJPREV,DISSTAT,DISABL,,
2019,AR,Arkansas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Hearing Disability,,,DISEST,RACEIND,5,RACE03,AGEADJPREV,DISTYPE,HEARDIS,,
2019,LA,Louisiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Hearing Disability,,,DISEST,RACEIND,22,RACE03,AGEADJPREV,DISTYPE,HEARDIS,,
2019,MO,Missouri,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Hearing Disability,,,DISEST,RACEIND,29,RACE03,AGEADJPREV,DISTYPE,HEARDIS,,
2019,TX,Texas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,5.8,5.8,,,4.4,7.7,206.0,377806.0,Disability Type,Hearing Disability,,,DISEST,RACEIND,48,RACE03,AGEADJPREV,DISTYPE,HEARDIS,,
2019,MD,Maryland,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Asian, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Vision Disability,,,DISEST,RACEIND,24,RACE05,AGEADJPREV,DISTYPE,VISDIS,,
2019,NM,New Mexico,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Asian, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Vision Disability,,,DISEST,RACEIND,35,RACE05,AGEADJPREV,DISTYPE,VISDIS,,
2019,RI,Rhode Island,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,10.7,10.7,,,7.2,15.7,35.0,8672.0,Disability Type,Vision Disability,,,DISEST,RACEIND,44,RACE03,AGEADJPREV,DISTYPE,VISDIS,,
2019,AZ,Arizona,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Asian, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Cognitive Disability,,,DISEST,RACEIND,4,RACE05,AGEADJPREV,DISTYPE,COGDIS,,
2019,HHS10,HHS Region 10,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"White, non-Hispanic",%,Age-adjusted Prevalence,10.1,10.1,,,9.6,10.6,3141.0,949234.0,Disability Type,Mobility Disability,,,DISEST,RACEIND,89,RACE01,AGEADJPREV,DISTYPE,MOBDIS,,
2019,VA,Virginia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Asian, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Mobility Disability,,,DISEST,RACEIND,51,RACE05,AGEADJPREV,DISTYPE,MOBDIS,,
2019,HI,Hawaii,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Black, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Self-care Disability,,,DISEST,RACEIND,15,RACE02,AGEADJPREV,DISTYPE,SELFDIS,,
2019,KY,Kentucky,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Self-care Disability,,,DISEST,RACEIND,21,RACE03,AGEADJPREV,DISTYPE,SELFDIS,,
2019,OH,Ohio,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Self-care Disability,,,DISEST,RACEIND,39,RACE03,AGEADJPREV,DISTYPE,SELFDIS,,
2019,HHS7,HHS Region 7,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Asian, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Independent Living Disability,,,DISEST,RACEIND,86,RACE05,AGEADJPREV,DISTYPE,INDDIS,,
2019,GU,Guam,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Independent Living Disability,,,DISEST,RACEIND,66,RACE03,AGEADJPREV,DISTYPE,INDDIS,,
2019,ID,Idaho,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,67.0,67.0,,,57.7,75.1,388.0,91949.0,Disability Status,No Disability,,,DISEST,VETIND,16,VET1,AGEADJPREV,DISSTAT,NODIS,,
2019,MO,Missouri,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Female,%,Age-adjusted Prevalence,68.9,68.9,,,66.7,71.0,2408.0,1577591.0,Disability Status,No Disability,,,DISEST,SEXIND,29,SEX02,AGEADJPREV,DISSTAT,NODIS,,
2019,ID,Idaho,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,79.7,79.7,,,76.8,82.3,1345.0,491148.0,Disability Status,No Disability,,,DISEST,AGEIND,16,AGE01,PREV,DISSTAT,NODIS,,
2019,HHS4,HHS Region 4,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,6.8,6.8,,,6.3,7.4,1661.0,1136592.0,Disability Type,Hearing Disability,,,DISEST,AGEIND,83,AGE02,PREV,DISTYPE,HEARDIS,,
2019,HI,Hawaii,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,13.2,13.2,,,10.1,17.1,77.0,11230.0,Disability Type,Mobility Disability,,,DISEST,RACEIND,15,RACE03,AGEADJPREV,DISTYPE,MOBDIS,,
2019,FL,Florida,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"White, non-Hispanic",%,Age-adjusted Prevalence,3.1,3.1,,,2.6,3.7,589.0,344010.0,Disability Type,Self-care Disability,,,DISEST,RACEIND,12,RACE01,AGEADJPREV,DISTYPE,SELFDIS,,
2019,MI,Michigan,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,4.3,4.3,,,3.8,4.9,434.0,318218.0,Disability Type,Self-care Disability,,,DISEST,VETIND,26,VET2,AGEADJPREV,DISTYPE,SELFDIS,,
2019,GU,Guam,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,17.1,17.1,,,11.6,24.4,40.0,1419.0,Disability Type,Mobility Disability,,,DISEST,RACEIND,66,RACE04,AGEADJPREV,DISTYPE,MOBDIS,,
2019,OH,Ohio,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Female,%,Age-adjusted Prevalence,71.4,71.4,,,69.7,73.1,4697.0,3144540.0,Disability Status,No Disability,,,DISEST,SEXIND,39,SEX02,AGEADJPREV,DISSTAT,NODIS,,
2019,GU,Guam,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Female,%,Age-adjusted Prevalence,11.7,11.7,,,8.2,16.3,105.0,5701.0,Disability Type,Independent Living Disability,,,DISEST,SEXIND,66,SEX02,AGEADJPREV,DISTYPE,INDDIS,,
2019,LA,Louisiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Native Hawaiian or Other Pacific Islander, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Mobility Disability,,,DISEST,RACEIND,22,RACE06,AGEADJPREV,DISTYPE,MOBDIS,,
2019,FL,Florida,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,10.9,10.9,,,9.5,12.6,758.0,475316.0,Disability Type,Cognitive Disability,,,DISEST,AGEIND,12,AGE03,PREV,DISTYPE,COGDIS,,
2019,HHS10,HHS Region 10,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,1.9,1.9,,,1.5,2.3,158.0,92817.0,Disability Type,Self-care Disability,,,DISEST,AGEIND,89,AGE01,PREV,DISTYPE,SELFDIS,,
2019,NH,New Hampshire,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"White, non-Hispanic",%,Age-adjusted Prevalence,9.3,9.3,,,8.4,10.3,791.0,104225.0,Disability Type,Mobility Disability,,,DISEST,RACEIND,33,RACE01,AGEADJPREV,DISTYPE,MOBDIS,,
