Year,Birth Number,General Fertility Rate,Crude Birth Rate
1909.0,2718000.0,126.8,30.0
1910.0,2777000.0,126.8,30.1
1911.0,2809000.0,126.3,29.9
1912.0,2840000.0,125.8,29.8
1913.0,2869000.0,124.7,29.5
1914.0,2986000.0,126.6,29.9
1915.0,2965000.0,125.0,29.5
1916.0,2964000.0,123.4,29.1
1917.0,2944000.0,121.0,28.5
1918.0,2948000.0,119.8,28.2
1919.0,2740000.0,111.2,26.1
1920.0,2950000.0,117.9,27.7
1921.0,3055000.0,119.8,28.1
1922.0,2882000.0,111.2,26.2
1923.0,2910000.0,110.5,26.0
1924.0,2979000.0,110.9,26.1
1925.0,2909000.0,106.6,25.1
1926.0,2839000.0,102.6,24.2
1927.0,2802000.0,99.8,23.5
1928.0,2674000.0,93.8,22.2
1929.0,2582000.0,89.3,21.2
1930.0,2618000.0,89.2,21.3
1931.0,2506000.0,84.6,20.2
1932.0,2440000.0,81.7,19.5
1933.0,2307000.0,76.3,18.4
1934.0,2396000.0,78.5,19.0
1935.0,2377000.0,77.2,18.7
1936.0,2355000.0,75.8,18.4
1937.0,2413000.0,77.1,18.7
1938.0,2496000.0,79.1,19.2
1939.0,2466000.0,77.6,18.8
1940.0,2559000.0,79.9,19.4
1941.0,2703000.0,83.4,20.3
1942.0,2989000.0,91.5,22.2
1943.0,3104000.0,94.3,22.7
1944.0,2939000.0,88.8,21.2
1945.0,2858000.0,85.9,20.4
1946.0,3411000.0,101.9,24.1
1947.0,3817000.0,113.3,26.6
1948.0,3637000.0,107.3,24.9
1949.0,3649000.0,107.1,24.5
1950.0,3632000.0,106.2,24.1
1951.0,3820000.0,111.5,24.9
1952.0,3909000.0,113.9,25.1
1953.0,3959000.0,115.2,25.1
1954.0,4071000.0,118.1,25.3
1955.0,4097000.0,118.3,25.0
1956.0,4210000.0,121.2,25.2
1957.0,4300000.0,122.9,25.3
1958.0,4246000.0,120.2,24.6
1959.0,4244796.0,118.8,24.0
1960.0,4257850.0,118.0,23.7
1961.0,4268326.0,117.1,23.3
1962.0,4167362.0,112.0,22.4
1963.0,4098020.0,108.3,21.7
1964.0,4027490.0,104.7,21.1
1965.0,3760358.0,96.3,19.4
1966.0,3606274.0,90.8,18.4
1967.0,3520959.0,87.2,17.8
1968.0,3501564.0,85.2,17.6
1969.0,3600206.0,86.1,17.9
1970.0,3731386.0,87.9,18.4
1971.0,3555970.0,81.6,17.2
1972.0,3258411.0,73.1,15.6
1973.0,3136965.0,68.8,14.8
1974.0,3159958.0,67.8,14.8
1975.0,3144198.0,66.0,14.6
1976.0,3167788.0,65.0,14.6
1977.0,3326632.0,66.8,15.1
1978.0,3333279.0,65.5,15.0
1979.0,3494398.0,67.2,15.6
1980.0,3612258.0,68.4,15.9
1981.0,3629238.0,67.3,15.8
1982.0,3680537.0,67.3,15.9
1983.0,3638933.0,65.7,15.6
1984.0,3669141.0,65.5,15.6
1985.0,3760561.0,66.3,15.8
1986.0,3756547.0,65.4,15.6
1987.0,3809394.0,65.8,15.7
1988.0,3909510.0,67.3,16.0
1989.0,4040958.0,69.2,16.4
1990.0,4158212.0,70.9,16.7
1991.0,4110907.0,69.3,16.2
1992.0,4065014.0,68.4,15.8
1993.0,4000240.0,67.0,15.4
1994.0,3952767.0,65.9,15.0
1995.0,3899589.0,64.6,14.6
1996.0,3891494.0,64.1,14.4
1997.0,3880894.0,63.6,14.2
1998.0,3941553.0,64.3,14.3
1999.0,3959417.0,64.4,14.2
2000.0,4058814.0,65.9,14.4
2001.0,4025933.0,65.1,14.1
2002.0,4021726.0,65.0,14.0
2003.0,4089950.0,66.1,14.1
2004.0,4112052.0,66.4,14.0
2005.0,4138349.0,66.7,14.0
2006.0,4265555.0,68.6,14.3
2007.0,4316233.0,69.3,14.3
2008.0,4247694.0,68.1,14.0
2009.0,4130665.0,66.2,13.5
2010.0,3999386.0,64.1,13.0
2011.0,3953590.0,63.2,12.7
2012.0,3952841.0,63.0,12.6
2013.0,3932181.0,62.5,12.4
2014.0,3988076.0,62.9,12.5
2015.0,3978497.0,62.5,12.4
2016.0,3945875.0,62.0,12.2
2017.0,3855500.0,60.3,11.8
2018.0,3791712.0,59.1,11.6
