Disease,MMWR year,MMWR week,Current week,Current week_ flag,Cum 2017,Cum 2017_ flag,5-year weekly average§,5-year weekly average§_ flag,Total cases reported  2016,Total cases reported  2016_ flag,Total cases reported 2015,Total cases reported 2015_ flag,Total cases reported 2014,Total cases reported 2014_ flag,Total cases reported 2013,Total cases reported 2013_ flag,Total cases reported 2012,Total cases reported 2012_ flag,States reporting cases during current week (No.) 
Anthrax,2017.0,1.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,1.0,,-,,-,6.0,,167.0,,896.0,,,NN,,NN,,NN,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,1.0,,-,,-,0.0,,6.0,,6.0,,8.0,,8.0,,15.0,,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,1.0,,-,,-,,-,4.0,,11.0,,11.0,,22.0,,2.0,,
"Arboviral diseases¶,** La Crosse virus disease",2017.0,1.0,,-,,-,,-,34.0,,55.0,,80.0,,85.0,,78.0,,
"Arboviral diseases¶,** Powassan virus disease",2017.0,1.0,,-,,-,,-,13.0,,7.0,,8.0,,12.0,,7.0,,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,1.0,,-,,-,,-,9.0,,23.0,,10.0,,1.0,,3.0,,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,1.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2017.0,1.0,,-,,-,3.0,,177.0,,195.0,,161.0,,152.0,,168.0,,
"Botulism, foodborne",2017.0,1.0,,-,,-,0.0,,33.0,,37.0,,15.0,,4.0,,27.0,,
"Botulism, infant",2017.0,1.0,,-,,-,2.0,,121.0,,138.0,,127.0,,136.0,,123.0,,
"Botulism, other (wound and unspecified)",2017.0,1.0,,-,,-,0.0,,23.0,,20.0,,19.0,,12.0,,18.0,,
Brucellosis,2017.0,1.0,,-,,-,2.0,,116.0,,126.0,,92.0,,99.0,,114.0,,
Chancroid,2017.0,1.0,,-,,-,0.0,,10.0,,11.0,,,-,,-,15.0,,
Cholera,2017.0,1.0,,-,,-,0.0,,14.0,,5.0,,5.0,,14.0,,17.0,,
Cyclosporiasis**,2017.0,1.0,,-,,-,2.0,,490.0,,645.0,,388.0,,784.0,,123.0,,
Diphtheria,2017.0,1.0,,-,,-,,-,,-,,-,1.0,,,-,1.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,1.0,,-,,-,1.0,,22.0,,29.0,,40.0,,31.0,,30.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,1.0,,-,,-,5.0,,142.0,,175.0,,128.0,,141.0,,115.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,1.0,1.0,,1.0,,2.0,,123.0,,135.0,,266.0,,233.0,,263.0,,NE (1 )
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,1.0,3.0,,3.0,,5.0,,227.0,,167.0,,39.0,,34.0,,37.0,,"OH (1 ), DE (1 ), CO (1 )"
Hansen's disease**,2017.0,1.0,,-,,-,2.0,,41.0,,89.0,,88.0,,81.0,,82.0,,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,1.0,,-,,-,,-,3.0,,3.0,,,NN,,NN,,NN,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,1.0,,-,,-,0.0,,19.0,,21.0,,32.0,,21.0,,30.0,,
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,1.0,,-,,-,3.0,,258.0,,274.0,,250.0,,329.0,,274.0,,
"Hepatitis B, perinatal virus infection§§",2017.0,1.0,,-,,-,1.0,,25.0,,37.0,,47.0,,48.0,,40.0,,
"Influenza-associated pediatric mortality**,¶¶",2017.0,1.0,3.0,,3.0,,4.0,,74.0,,130.0,,141.0,,160.0,,52.0,,"KS (1 ), FL (1 ), OK (1 )"
Leptospirosis**,2017.0,1.0,,-,,-,0.0,,58.0,,40.0,,38.0,,,NN,,NN,
Listeriosis,2017.0,1.0,5.0,,5.0,,12.0,,670.0,,768.0,,769.0,,735.0,,727.0,,"NYC (2 ), FL (1 ), TN (1 ), CO (1 )"
Measles***,2017.0,1.0,1.0,,1.0,,6.0,,72.0,,188.0,,667.0,,187.0,,55.0,,CO (1 )
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,1.0,,-,,-,4.0,,93.0,,120.0,,123.0,,142.0,,161.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,1.0,,-,,-,2.0,,72.0,,111.0,,89.0,,99.0,,110.0,,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,1.0,,-,,-,0.0,,14.0,,21.0,,25.0,,17.0,,20.0,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,1.0,3.0,,3.0,,5.0,,169.0,,120.0,,196.0,,298.0,,260.0,,"FL (1 ), OR (2 )"
Novel influenza A virus infections§§§,2017.0,1.0,,-,,-,0.0,,23.0,,7.0,,3.0,,21.0,,313.0,,
Plague,2017.0,1.0,,-,,-,,-,4.0,,16.0,,10.0,,4.0,,4.0,,
"Poliomyelitis, paralytic",2017.0,1.0,,-,,-,,-,,-,,-,,-,1.0,,,-,
"Polio virus Infection, nonparalytic**",2017.0,1.0,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis**,2017.0,1.0,,-,,-,0.0,,9.0,,4.0,,8.0,,6.0,,2.0,,
"Q fever, total**",2017.0,1.0,,-,,-,2.0,,136.0,,156.0,,168.0,,170.0,,135.0,,
"Q fever, acute**",2017.0,1.0,,-,,-,2.0,,108.0,,122.0,,132.0,,137.0,,113.0,,
"Q fever, chronic**",2017.0,1.0,,-,,-,0.0,,28.0,,34.0,,36.0,,33.0,,22.0,,
"Rabies, human",2017.0,1.0,,-,,-,,-,,-,2.0,,1.0,,2.0,,1.0,,
SARS-CoV,2017.0,1.0,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox,2017.0,1.0,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome**,2017.0,1.0,,-,,-,6.0,,236.0,,335.0,,259.0,,224.0,,194.0,,
"Syphilis, congenital¶¶¶",2017.0,1.0,,-,,-,8.0,,438.0,,493.0,,458.0,,348.0,,322.0,,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,1.0,,-,,-,1.0,,28.0,,64.0,,59.0,,71.0,,65.0,,
Trichinellosis**,2017.0,1.0,,-,,-,0.0,,20.0,,14.0,,14.0,,22.0,,18.0,,
Tularemia,2017.0,1.0,,-,,-,1.0,,199.0,,314.0,,180.0,,203.0,,149.0,,
Typhoid fever (caused by Salmonella typhi),2017.0,1.0,,-,,-,7.0,,312.0,,367.0,,349.0,,338.0,,354.0,,
Vancomycin-intermediate Staphylococcus aureus**,2017.0,1.0,,-,,-,3.0,,98.0,,183.0,,212.0,,248.0,,134.0,,
Vancomycin-resistant Staphylococcus aureus**,2017.0,1.0,,-,,-,,-,1.0,,3.0,,,-,,-,2.0,,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,1.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,1.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,1.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,1.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Lassa fever",2017.0,1.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
"Viral hemorrhagic fever****, Lujo virus",2017.0,1.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,1.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Marburg fever",2017.0,1.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,1.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Yellow fever,2017.0,1.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Zika virus disease, non-congenital††††  ",2017.0,1.0,1.0,,1.0,,8.0,,4796.0,,,NN,,NN,,NN,,NN,OH (1 )
Anthrax,2017.0,2.0,,-,,-,,-,,-,,-,,-,,-,,-,
Diphtheria,2017.0,2.0,,-,,-,,-,,-,,-,1.0,,,-,1.0,,
Cholera,2017.0,2.0,,-,,-,0.0,,4.0,,5.0,,5.0,,14.0,,17.0,,
Novel influenza A virus infections§§§,2017.0,2.0,,-,,-,0.0,,23.0,,7.0,,3.0,,21.0,,313.0,,
"Poliomyelitis, paralytic",2017.0,2.0,,-,,-,,-,,-,,-,,-,1.0,,,-,
Trichinellosis**,2017.0,2.0,,-,,-,0.0,,20.0,,14.0,,14.0,,22.0,,18.0,,
