Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked,Location 1
2008,Nationwide (States and DC),13.4,4.9,25.2,55.4,
2000,Nationwide (States and DC),17.7,5.1,24.3,52.3,
2005,Nationwide (States and DC),15.3,5.3,24.8,54.0,
2010,Nationwide (States and DC),12.4,4.8,25.1,56.6,
1996,Nationwide (States and DC),19.6,4.0,24.0,52.0,
2003,Nationwide (States and DC),16.9,5.1,25.2,52.0,
2002,Nationwide (States and DC),17.8,5.0,24.7,52.0,
2007,Nationwide (States and DC),14.5,5.2,24.6,54.8,
1999,Nationwide (States and DC),18.0,4.8,24.0,52.4,
2009,Nationwide (States and DC),12.8,5.0,25.5,55.3,
2004,Nationwide (States and DC),15.8,5.4,24.1,54.6,
1997,Nationwide (States and DC),19.1,4.3,24.3,51.9,
1998,Nationwide (States and DC),18.5,4.5,24.3,52.0,
2001,Nationwide (States and DC),17.4,5.7,24.7,51.3,
2006,Nationwide (States and DC),14.9,5.1,24.7,54.3,
1995,Nationwide (States and DC),19.9,2.6,25.3,51.6,
