State,Prevalence_ 2012,Prevalence_ 2014,Location
United States,1.9,1.7,
Kansas,2.1,1.4,"Kansas
(38.345528, -98.201847)"
Colorado,1.9,1.9,"Colorado
(38.841772, -106.132562)"
Oklahoma,1.8,0.9,"Oklahoma
(35.468494, -97.521264)"
North Dakota,3.3,3.4,"North Dakota
(47.475879, -100.121011)"
Kentucky,1.5,1.4,"Kentucky
(37.64591, -84.774043)"
Hawaii,2.9,2.1,"Hawaii
(21.30992, -157.858158)"
Michigan,1.9,2.2,"Michigan
(44.66399, -84.711206)"
Washington,2.1,1.9,"Washington
(47.517368, -120.467672)"
New Hampshire,1.4,1.3,"New Hampshire
(43.657736, -71.500736)"
Maine,1.2,1.7,"Maine
(45.252223, -68.986647)"
Arkansas,1.0,1.4,"Arkansas
(34.748745, -92.275105)"
Tennessee,1.1,1.1,"Tennessee
(35.681402, -85.774444)"
Idaho,1.2,1.6,"Idaho
(43.680635, -114.364237)"
Virginia,1.4,1.5,"Virginia
(37.542699, -78.45822)"
Mississippi,1.2,1.6,"Mississippi
(32.738663, -89.537312)"
Connecticut,2.1,1.9,"Connecticut
(41.544654, -72.651713)"
Oregon,1.4,1.6,"Oregon
(44.567912, -120.156945)"
Montana,3.4,2.4,"Montana
(47.062617, -109.430168)"
South Dakota,2.5,2.2,"South Dakota
(44.35371, -100.373709)"
Louisiana,2.5,2.2,"Louisiana
(31.2931, -92.463284)"
Indiana,1.6,1.6,"Indiana
(39.76845, -86.156212)"
North Carolina,1.4,1.2,"North Carolina
(35.47995, -79.180571)"
Florida,2.1,1.7,"Florida
(28.915325, -81.922409)"
New York,1.4,1.0,"New York
(42.826892, -75.544286)"
South Carolina,1.6,1.6,"South Carolina
(34.009286, -81.037094)"
Arizona,1.7,1.6,"Arizona
(34.869712, -111.760902)"
Massachusetts,2.2,2.0,"Massachusetts
(42.268546, -72.085064)"
Nebraska,3.4,2.5,"Nebraska
(41.640503, -99.367122)"
New Mexico,1.2,1.1,"New Mexico
(34.520396, -106.244402)"
Wisconsin,3.1,2.2,"Wisconsin
(44.395526, -89.834513)"
Minnesota,2.4,1.9,"Minnesota
(46.357661, -94.793397)"
Iowa,3.1,2.8,"Iowa
(42.46942, -93.815856)"
Ohio,2.2,2.0,"Ohio
(40.056807, -82.405897)"
West Virginia,0.7,0.5,"West Virginia
(38.668501, -80.709421)"
California,1.8,1.9,"California
(37.640735, -121.002435)"
Wyoming,2.2,1.4,"Wyoming
(43.23558, -108.110518)"
Rhode Island,2.4,2.5,"Rhode Island
(41.707447, -71.522488)"
Missouri,1.8,1.3,"Missouri
(38.636168, -92.566292)"
Georgia,1.4,0.7,"Georgia
(32.836038, -83.631709)"
District of Columbia,1.8,1.9,"District of Columbia
(38.892062, -77.019912)"
Utah,0.7,0.8,"Utah
(39.359772, -111.584173)"
Illinois,2.2,1.8,"Illinois
(40.477092, -88.993221)"
New Jersey,1.5,1.4,"New Jersey
(40.104655, -74.386686)"
Alabama,1.7,1.3,"Alabama
(32.839182, -86.631125)"
Nevada,1.8,2.2,"Nevada
(39.491833, -117.070159)"
Vermont,1.8,1.8,"Vermont
(43.622479, -72.51927)"
Alaska,1.2,1.6,"Alaska
(64.836661, -147.738891)"
Texas,2.1,1.8,"Texas
(31.827233, -99.423022)"
Delaware,2.7,1.7,"Delaware
(39.008676, -75.574561)"
Maryland,2.1,1.8,"Maryland
(39.290443, -76.612333)"
Pennsylvania,1.8,1.8,"Pennsylvania
(40.789676, -77.858055)"
