Vaccine,Geography Type,Geography,Survey Year/Influenza Season,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
"Any Influenza Vaccination, Seasonal or H1N1",States,Arkansas,2009-10,Age,≥18 Years,56.3,52.3 to 60.3,1051.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Colorado,2009-10,Age,≥18 Years,66.9,63.2 to 70.6,1267.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Florida,2009-10,Age,≥18 Years,38.9,35.1 to 42.7,904.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Georgia,2009-10,Age,≥18 Years,40.1,34.0 to 46.2,602.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Hawaii,2009-10,Age,≥18 Years,61.5,57.6 to 65.4,967.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Illinois,2009-10,Age,≥18 Years,56.4,53.1 to 59.7,1042.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Louisiana,2009-10,Age,≥18 Years,48.3,43.0 to 53.6,534.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Maine,2009-10,Age,≥18 Years,74.8,71.1 to 78.5,696.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Maryland,2009-10,Age,≥18 Years,60.2,55.7 to 64.7,1069.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Massachusetts,2009-10,Age,≥18 Years,78.7,75.2 to 82.2,979.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Michigan,2009-10,Age,≥18 Years,54.6,51.0 to 58.2,972.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Minnesota,2009-10,Age,≥18 Years,75.2,72.1 to 78.3,883.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Mississippi,2009-10,Age,≥18 Years,41.9,37.8 to 46.0,855.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Missouri,2009-10,Age,≥18 Years,57.0,53.2 to 60.8,946.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Nebraska,2009-10,Age,≥18 Years,78.0,75.2 to 80.8,1188.0
"Any Influenza Vaccination, Seasonal or H1N1",States,New Jersey,2009-10,Age,≥18 Years,48.6,45.3 to 51.9,1042.0
"Any Influenza Vaccination, Seasonal or H1N1",States,New York,2009-10,Age,≥18 Years,59.3,56.2 to 62.4,1576.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Ohio,2009-10,Age,≥18 Years,57.3,52.8 to 61.8,804.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Oklahoma,2009-10,Age,≥18 Years,59.7,55.4 to 64.0,1418.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Rhode Island,2009-10,Age,≥18 Years,80.2,76.9 to 83.5,797.0
"Any Influenza Vaccination, Seasonal or H1N1",States,South Carolina,2009-10,Age,≥18 Years,61.6,55.2 to 68.0,665.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Tennessee,2009-10,Age,≥18 Years,49.6,44.4 to 54.8,640.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Texas,2009-10,Age,≥18 Years,58.4,54.4 to 62.4,878.0
"Any Influenza Vaccination, Seasonal or H1N1",National,U.S. Median,2009-10,Age,≥18 Years,59.3,,946.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Utah,2009-10,Age,≥18 Years,68.9,65.9 to 71.9,1117.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Vermont,2009-10,Age,≥18 Years,79.6,76.7 to 82.5,739.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Virginia,2009-10,Age,≥18 Years,58.9,51.6 to 66.2,308.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Washington,2009-10,Age,≥18 Years,67.8,63.9 to 71.7,1023.0
"Any Influenza Vaccination, Seasonal or H1N1",States,West Virginia,2009-10,Age,≥18 Years,56.5,52.9 to 60.1,1117.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Wyoming,2009-10,Age,≥18 Years,69.8,65.5 to 74.1,616.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Arkansas,2009-10,Age,18-24 Years,55.4,48.9 to 61.6,443.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Colorado,2009-10,Age,18-24 Years,60.6,52.6 to 68.0,355.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Florida,2009-10,Age,18-24 Years,30.5,24.1 to 37.6,250.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Georgia,2009-10,Age,18-24 Years,32.9,23.0 to 44.7,199.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Hawaii,2009-10,Age,18-24 Years,60.2,52.6 to 67.4,275.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Illinois,2009-10,Age,18-24 Years,49.3,43.1 to 55.5,288.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Louisiana,2009-10,Age,18-24 Years,34.6,26.6 to 43.6,190.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Maine,2009-10,Age,18-24 Years,75.9,68.9 to 81.8,227.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Maryland,2009-10,Age,18-24 Years,48.9,37.9 to 60.1,150.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Massachusetts,2009-10,Age,18-24 Years,74.4,65.4 to 81.6,209.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Michigan,2009-10,Age,18-24 Years,48.4,41.9 to 54.9,334.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Minnesota,2009-10,Age,18-24 Years,66.5,59.1 to 73.3,232.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Mississippi,2009-10,Age,18-24 Years,38.4,32.5 to 44.7,374.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Missouri,2009-10,Age,18-24 Years,46.0,39.6 to 52.5,336.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Nebraska,2009-10,Age,18-24 Years,72.0,65.8 to 77.4,352.0
"Any Influenza Vaccination, Seasonal or H1N1",States,New Jersey,2009-10,Age,18-24 Years,39.0,31.7 to 46.7,204.0
"Any Influenza Vaccination, Seasonal or H1N1",States,New York,2009-10,Age,18-24 Years,57.2,50.2 to 63.9,323.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Ohio,2009-10,Age,18-24 Years,51.6,43.4 to 59.6,281.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Oklahoma,2009-10,Age,18-24 Years,58.6,51.3 to 65.5,502.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Rhode Island,2009-10,Age,18-24 Years,76.5,68.9 to 82.7,197.0
"Any Influenza Vaccination, Seasonal or H1N1",States,South Carolina,2009-10,Age,18-24 Years,58.5,47.4 to 68.8,224.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Tennessee,2009-10,Age,18-24 Years,37.5,29.4 to 46.5,221.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Texas,2009-10,Age,18-24 Years,53.3,46.0 to 60.5,294.0
"Any Influenza Vaccination, Seasonal or H1N1",National,U.S. Median,2009-10,Age,18-24 Years,56.6,,275.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Utah,2009-10,Age,18-24 Years,61.9,56.0 to 67.4,337.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Vermont,2009-10,Age,18-24 Years,77.3,70.3 to 83.0,170.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Virginia,2009-10,Age,18-24 Years,56.6,42.2 to 70.0,88.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Washington,2009-10,Age,18-24 Years,68.8,61.4 to 75.4,304.0
"Any Influenza Vaccination, Seasonal or H1N1",States,West Virginia,2009-10,Age,18-24 Years,47.6,42.0 to 53.2,486.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Wyoming,2009-10,Age,18-24 Years,65.5,57.3 to 72.9,208.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Arkansas,2009-10,Age,25-34 Years,56.4,50.6 to 62.1,493.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Colorado,2009-10,Age,25-34 Years,67.7,62.8 to 72.3,676.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Florida,2009-10,Age,25-34 Years,43.4,38.2 to 48.7,476.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Georgia,2009-10,Age,25-34 Years,41.9,34.1 to 50.2,314.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Hawaii,2009-10,Age,25-34 Years,63.3,57.8 to 68.5,504.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Illinois,2009-10,Age,25-34 Years,60.4,55.9 to 64.7,548.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Louisiana,2009-10,Age,25-34 Years,55.2,47.7 to 62.5,258.0
"Any Influenza Vaccination, Seasonal or H1N1",States,Maine,2009-10,Age,25-34 Years,75.5,70.2 to 80.1,376.0
