Vaccine/Exemption,Dose,Geography Type,Geography,School Year,Estimate (%),Population Size,Percent Surveyed,Footnotes,Number of Exemptions,Survey Type
MMR,,States,Alabama,2009-10,94.0,75358.0,100.0,≥. *. **,,Census
MMR,,States,Alaska,2009-10,,9641.0,76.4,,,Voluntary response
MMR,,States,Arizona,2009-10,95.0,89287.0,93.9,,,Census
MMR,,States,Arkansas,2009-10,98.3,34733.0,100.0,*,,Census
MMR,,States,California,2009-10,93.6,507191.0,100.0,*,,Census
MMR,,States,Colorado,2009-10,,,,,,Not conducted
MMR,,States,Connecticut,2009-10,98.5,46158.0,100.0,*,,Census
MMR,,States,Delaware,2009-10,89.7,11327.0,9.2,,,Random sample
MMR,,States,District of Columbia,2009-10,,6092.0,100.0,*,,Census
MMR,,States,Florida,2009-10,91.3,218630.0,100.0,≥. * .§,,Census
MMR,,States,Georgia,2009-10,99.6,141949.0,1.2,,,Random sample
MMR,,States,Hawaii,2009-10,,18427.0,6.4,,,Random sample
MMR,,States,Idaho,2009-10,87.0,22624.0,100.0,*,,Census
MMR,,States,Illinois,2009-10,94.5,165845.0,100.0,,,Census
MMR,,States,Indiana,2009-10,92.8,84390.0,94.7,,,Census
MMR,,States,Iowa,2009-10,84.5,42698.0,100.0,≥,,Census
MMR,,States,Kansas,2009-10,90.9,39073.0,39.1,†,,Stratified 1-stage sample  (Public);  Census (Private)
MMR,,States,Kentucky,2009-10,92.2,56526.0,92.9,,,Census
MMR,,States,Louisiana,2009-10,96.9,53846.0,100.0,*,,Census
MMR,,States,Maine,2009-10,95.5,14162.0,75.3,,,Voluntary response
MMR,,States,Maryland,2009-10,98.9,75061.0,75.0,,,Voluntary response
MMR,,States,Massachusetts,2009-10,93.0,74476.0,100.0,*,,Census
MMR,,States,Michigan,2009-10,95.3,129810.0,100.0,*,,Census
MMR,,States,Minnesota,2009-10,95.1,70653.0,100.0,*,,Census
MMR,,States,Mississippi,2009-10,99.7,46922.0,100.0,≥. *,,Census
MMR,,States,Missouri,2009-10,97.3,75958.0,3.0,,,Random sample
MMR,,States,Montana,2009-10,95.5,12335.0,98.8,,,Census
MMR,,States,Nebraska,2009-10,97.5,29607.0,96.4,,,Census
MMR,,States,Nevada,2009-10,94.5,35209.0,5.6,,,Random sample
MMR,,States,New Hampshire,2009-10,,,,,,Not conducted
MMR,,States,New Jersey,2009-10,,118347.0,95.1,,,Census
MMR,,States,New Mexico,2009-10,97.6,26318.0,2.2,,,Random sample
MMR,,States,New York,2009-10,97.6,229273.0,100.0,*,,Census
MMR,,States,North Carolina,2009-10,,116087.0,96.0,,,Census
MMR,,States,North Dakota,2009-10,92.2,8323.0,6.0,¶,,Random sample
MMR,,States,Ohio,2009-10,88.6,131137.0,100.0,*,,Census
MMR,,States,Oklahoma,2009-10,97.3,51128.0,88.9,,,Voluntary response
MMR,,States,Oregon,2009-10,94.4,44676.0,100.0,*,,Census
MMR,,States,Pennsylvania,2009-10,86.9,149656.0,100.0,*,,Census
MMR,,National,United States,2009-10,94.4,,,,,
MMR,,States,Rhode Island,2009-10,92.1,11818.0,11.6,,,Random sample
MMR,,States,South Carolina,2009-10,87.2,53725.0,10.2,,,Random sample
MMR,,States,South Dakota,2009-10,96.8,11499.0,100.0,*,,Census
MMR,,States,Tennessee,2009-10,97.4,90811.0,88.1,≥,,Voluntary response
MMR,,States,Texas,2009-10,98.1,381425.0,98.3,,,Census
MMR,,National,U.S. Median,2009-10,94.5,,,,,
MMR,,States,Utah,2009-10,97.7,49957.0,100.0,*,,Census
MMR,,States,Vermont,2009-10,91.8,6713.0,100.0,*,,Census
MMR,,States,Virginia,2009-10,92.1,100891.0,4.4,,,Random sample
MMR,,States,Washington,2009-10,91.7,81511.0,93.3,,,Census
MMR,,States,West Virginia,2009-10,91.2,22730.0,86.7,,,Voluntary response
MMR,,States,Wisconsin,2009-10,94.2,61095.0,2.3,¶,,Random sample
MMR,,States,Wyoming,2009-10,,,,,,Not conducted
MMR,,States,Alabama,2010-11,,,,,,
MMR,,States,Alaska,2010-11,,,,,,
MMR,,States,Arizona,2010-11,,,,,,
MMR,,States,Arkansas,2010-11,,,,,,
MMR,,States,California,2010-11,,,,,,
MMR,,States,Colorado,2010-11,,,,,,
MMR,,States,Connecticut,2010-11,,,,,,
MMR,,States,Delaware,2010-11,,,,,,
MMR,,States,District of Columbia,2010-11,,,,,,
MMR,,States,Florida,2010-11,,,,,,
MMR,,States,Georgia,2010-11,,,,,,
MMR,,States,Hawaii,2010-11,,,,,,
MMR,,States,Idaho,2010-11,,,,,,
MMR,,States,Illinois,2010-11,,,,,,
MMR,,States,Indiana,2010-11,,,,,,
MMR,,States,Iowa,2010-11,,,,,,
MMR,,States,Kansas,2010-11,,,,,,
MMR,,States,Kentucky,2010-11,,,,,,
MMR,,States,Louisiana,2010-11,,,,,,
MMR,,States,Maine,2010-11,,,,,,
MMR,,States,Maryland,2010-11,,,,,,
MMR,,States,Massachusetts,2010-11,,,,,,
MMR,,States,Michigan,2010-11,,,,,,
MMR,,States,Minnesota,2010-11,,,,,,
MMR,,States,Mississippi,2010-11,,,,,,
MMR,,States,Missouri,2010-11,,,,,,
MMR,,States,Montana,2010-11,,,,,,
