geo_point_2d,geo_shape,gml_id,nom_du_projet,gid,fiche_diffusable,type,quartier,nombre_de_logements,lien_vers_la_page_internet,annee_de_livraison,etat,maitrise_d_ouvrage,maitrise_d_oeuvre,description_du_projet,description_resumee,image_pour_infobulle_gp,programmes_d_actions
"47.2815702775,-2.233109195","{""type"": ""Point"", ""coordinates"": [-2.233109194999409, 47.281570277513424]}",_515b5a38-5002-11eb-9f5c-cb34563f85d6.,Désenclavement du Petit-Caporal,74,1,Equipement / Aménagement,Nord,,https://bit.ly/386gZuh,2021,Travaux en cours,Ville de Saint-Nazaire,Myrtille Fakhreddine,Acquisition de l'ancienne ferme du petit caporal afin de désenclaver le quartier et de créer des équipements.,"La Ville a acheté l'ancienne ferme du Petit Caporal afin de créer une voirie entre les rues Piccard et Gutenberg. Le projet prévoit également la création de cheminements et d'une placette. Les bâtiments seront réhabilités pour accueillir des activités, notamment dans le domaine de la santé.",https://www.saintnazaire.fr/fileadmin/_processed_/3/9/csm_projet_desenclavement_f3014d0929.jpg,PRIR
"47.2690262771,-2.24373729175","{""type"": ""Point"", ""coordinates"": [-2.243737291752856, 47.269026277144114]}",_515b5a38-5002-11eb-9f5c-cb34563f85d6.,Reton,68,1,Habitat,Quartier ouest,51.0,https://bit.ly/3gC5Iam,2024,A l'étude,SILENE,,"Sur ce site, la collectivité a décidé de mobiliser une partie du foncier au profit de l’office public de l’habitat Silène, afin de créer un quartier mixte. Il est prévu de réaliser une cinquantaine de logements dont une quarantaine en logement locatif social et le reste en lot libre et en accession aidée. L'opération prévoit également l'aménagement et la valorisation des espaces paysagers et des liaisons douces existantes sur le site.",,https://www.saintnazaire.fr/fileadmin/images/BD-Bayet_Escurat_et_Reton_-_vue_aerienne_perimetres_des_operations.jpg,
"47.2803766315,-2.21696486002","{""type"": ""Point"", ""coordinates"": [-2.216964860016339, 47.28037663153442]}",_515b5a38-5002-11eb-9f5c-cb34563f85d6.,Le Fanal,26,1,Habitat,centre-ville,43.0,https://bit.ly/3balOom,2021,Travaux en cours,SONADEV - SILENE,Menguy Architecte - G. Sevin Paysage,"Sur le site de l’ancien cinéma Le Fanal à proximité de la médiathèque, la Ville de Saint-Nazaire a confié à la Sonadev le soin de réaliser une opération d’aménagement en vue d’y construire 43 nouveaux logements. Cette opération comprendra pour moitié des logements locatifs sociaux construits par Silène et pour l’autre moitié des maisons de ville.","A proximité de la médiathèque, cette opération d'aménagement prévoit 43 logements (collectifs et individuels).",https://www.saintnazaire.fr/fileadmin/Saint-Nazaire/02.Vie_municipale/Competences/Projets_urbains/Habitat/vue_operation_SILENE.png,Action coeur de ville
"47.2557868361,-2.26046738962","{""type"": ""Point"", ""coordinates"": [-2.26046738962382, 47.25578683608444]}",_515b5a38-5002-11eb-9f5c-cb34563f85d6.,Vecquerie,48,1,Habitat,Saint-Marc-sur-mer,500.0,https://bit.ly/30cEqxW,2024,Travaux en cours,ADI - SILENE,,Création d'environ 500 logements entre la route de Saint-Marc et la route de la Vecquerie.,"Entre les routes de Saint-Marc et de la Vecquerie, face au bois de Porcé, ce projet prévoit la construction d'environ 500 logements.",https://www.saintnazaire.fr/fileadmin/Saint-Nazaire/02.Vie_municipale/Competences/Projets_urbains/Habitat/Vecquerie1.jpg,
"47.2759680771,-2.20335960388","{""type"": ""Point"", ""coordinates"": [-2.203359603881831, 47.27596807711781]}",_515b5a38-5002-11eb-9f5c-cb34563f85d6.,Tête de l'alvéole 12,138,1,Equipement / Aménagement,centre-ville,,https://bit.ly/3e6heZi,2022,A l'étude,,,"Il s’agit d’un appel à candidature place à prendre ""Ambition Maritime"". Les candidats sont amenés à proposer différentes activités : animations ludiques et pédagogiques, bar et restauration, hébergements touristiques…",,https://www.saintnazaire.fr/fileadmin/_processed_/c/8/csm_SNAG_0185938_17_99af504ab0.jpg,Ambition maritime
"47.2601385014,-2.25629124859","{""type"": ""Point"", ""coordinates"": [-2.256291248590395, 47.26013850136134]}",_515b5a38-5002-11eb-9f5c-cb34563f85d6.,Boncour,47,1,Habitat,Quartier ouest,25.0,https://bit.ly/3sJ0ufG,2021,Travaux en cours,SONADEV,La ville est belle,25 lots pour la construction de logements individuels,"Dans le quartier de la Bouletterie, proche des commerces de la place Nadia Boulanger et de l'école, ce projet prévoit 25 lots pour des construction de logements individuels.",https://www.saintnazaire.fr/fileadmin/_processed_/7/1/csm_Boncour_ab991e65f9.jpg,
"47.2725127532,-2.21095440813","{""type"": ""Point"", ""coordinates"": [-2.210954408128288, 47.27251275321335]}",_515b5a38-5002-11eb-9f5c-cb34563f85d6.,Ilot Maudes,31,1,Habitat,centre-ville,55.0,https://bit.ly/2MMKf1Y,2023,Travaux en cours,ADI,BARRE LAMBOT Architecte,Création de 55 logements en plein cœur de ville dont 5 maisons de ville,"Situé en centre-ville et à proximité immédiate du front de mer, ce projet prévoit la construction de 55 logements (dont 5 maisons de ville) et le réaménagent du cœur d'ilot.",https://www.saintnazaire.fr/fileadmin/_processed_/7/b/csm_Le_Jardin_de_Maudes_-_Vue_aerienne_c10eecad9f.jpg,Action coeur de ville
"47.2931695997,-2.19084978104","{""type"": ""Point"", ""coordinates"": [-2.190849781036376, 47.2931695997061]}",_515b5a38-5002-11eb-9f5c-cb34563f85d6.,Parc de Méan,83,1,Equipement / Aménagement,Méan-Penhoët,,https://bit.ly/3e5a1tj,2021,Travaux en cours,CARENE,Lalu Tica,,"Suite à la réalisation du Boulevard des Apprentis, ce parc a pour objectif d'aménager des espaces publics de qualité pour faciliter la cohabitation entre les activités industrielles et les habitations.",https://www.saintnazaire.fr/fileadmin/images/Au_carrefour_des_rues_Emile-Combe_Clement-Ader_et_rue_de_Trignac__le_parking_est_transforme_en_aire_de_jeux_Sous_la_place_4_000_m3_de_retention_d_eaux_pluviales.jpg,
"47.2874611657,-2.2004880537","{""type"": ""Point"", ""coordinates"": [-2.200488053701794, 47.28746116571217]}",_515b5a38-5002-11eb-9f5c-cb34563f85d6.,Boulevard Leferme,41,1,Equipement / Aménagement,Méan-Penhoët,,https://bit.ly/3bcxZBf,2021,Livré,Ville de Saint-Nazaire et CARENE,BEAU,"Dans le cadre de la requalification de l'entrée de ville Est, le boulevard Leferme va être totalement réaménagé avec la création de large trottoirs, de pistes cyclables dans un environnement fortement végétalisé.","Dans le cadre de la requalification de l'entrée de ville Est, le boulevard Leferme va être totalement réaménagé avec la création de large trottoirs, de pistes cyclables dans un environnement fortement végétalisé.",https://www.saintnazaire.fr/fileadmin/_processed_/6/7/csm_Bd_Leferme_5_6cbac5cdca.jpg,
"47.2642909996,-2.23880767822","{""type"": ""Point"", ""coordinates"": [-2.238807678222654, 47.26429099958166]}",_515b5a38-5002-11eb-9f5c-cb34563f85d6.,Galicheraie,116,1,Habitat,Quartier ouest,258.0,https://bit.ly/3f6qPkp,2024,A l'étude,Silène,In Situ,"Dans le cadre du PRIR, Silène prévoit la réhabilitation et la résidentialisation des résidences Galicherais. Les espaces verts vont être réaménager, notamment pour accueillir un bassin de rétention des eaux pluviales.","Dans le cadre du PRIR, Silène prévoit la réhabilitation et la résidentialisation des résidences Galicherais. Les espaces verts vont être réaménager, notamment pour accueillir un bassin de rétention des eaux pluviales.",https://www.saintnazaire.fr/fileadmin/_processed_/1/9/csm_BD_Offenbach_arriere__c__IN_SITU_ARCHITECTURE__CULTURE_S__et_VILLE__fbb51e3996.jpg,PRIR
