geo_point_2d,geo_shape,nom_wc,lien_image,gc_key,nb_cabines,code_com,date_maj,type_wc,en_service,acces_pmr
"47.2443833793,-2.27819374182","{""type"": ""Point"", ""coordinates"": [-2.278193741824317, 47.24438337925896]}",WC PUBLICS AVENUE DE SAINT-NAZAIRE (BOULODROME),B0147.jpg,1768059,2,44184,2018-08-21,Toilette traditionnelle,1983,NON
"47.2635572827,-2.23453147708","{""type"": ""Point"", ""coordinates"": [-2.234531477080155, 47.26355728270464]}",WC PUBLICS PLACE PIERRE BOURDAN (PERTUISCHAUD),B0852.jpg,1768066,1,44184,2018-08-21,Cabine automatique,2015,OUI
"47.2934900178,-2.19129349407","{""type"": ""Point"", ""coordinates"": [-2.191293494067379, 47.29349001775437]}",WC PUBLICS SQUARE DES AVIATEURS (MEAN),B5074.jpg,1768074,1,44184,2018-08-21,Cabine automatique,2013,OUI
"47.2702645598,-2.21581319115","{""type"": ""Point"", ""coordinates"": [-2.215813191153337, 47.27026455983771, 0.0]}",WC PUBLICS AVENUE DE BÉARN (JARDIN DES PLANTES),B5089.jpg,1768058,1,44184,2018-08-21,Cabine automatique,2013,OUI
"47.2534088497,-2.25404656447","{""type"": ""Point"", ""coordinates"": [-2.25404656447403, 47.253408849658435, 0.0]}",WC PUBLICS PLAGE DE PORCE,B5071.jpg,1768056,1,44184,2018-08-21,Cabine automatique,2012,OUI
"47.2381112703,-2.28029952686","{""type"": ""Point"", ""coordinates"": [-2.280299526859672, 47.238111270261165, 0.0]}",WC PUBLICS POSTE DE SECOURS PLAGE DE M. HULOT,B0592.jpg,997,3,44184,2018-08-21,Toilette traditionnelle,2015,OUI
"47.2383417265,-2.28115214164","{""type"": ""Point"", ""coordinates"": [-2.281152141640685, 47.23834172652661, 0.0]}",WC PUBLICS RUE CHARCOT (SAINT MARC),B5336.jpg,996,1,44184,2018-08-21,Cabine automatique,2018,OUI
"47.2790017182,-2.21695073144","{""type"": ""Point"", ""coordinates"": [-2.216950731438444, 47.279001718162704]}",WC PUBLICS PLACE MARCEL PAUL,B5200.jpg,1768055,1,44184,2018-08-21,Cabine automatique,2007,OUI
"47.2863812883,-2.23584640909","{""type"": ""Point"", ""coordinates"": [-2.235846409085732, 47.28638128832034, 0.0]}",WC PUBLICS CHEMIN DE LA PRÉVAUTÉ (ETANG GUINDREFF),B5088.jpg,1768062,1,44184,2018-08-21,Cabine automatique,2013,OUI
"47.2798693397,-2.25984434154","{""type"": ""Point"", ""coordinates"": [-2.259844341541812, 47.27986933970106]}",WC PUBLICS DU BOIS-JOALLAND,B1553.jpg,1768054,2,44184,2018-08-21,Cabine automatique,2011,OUI
