diffuseur,gestionnaire,title,description,theme,keyword,license,language,modified,data_processed,metadata_processed,publisher,references,records_count,dcat_created,dcat_issued,dcat_creator,dcat_contributor,dcat_accrualperiodicity,dcat_spatial,dcat_temporal,datasetid0,cycle,periodicity,license_url,metadata_languages,timezone,modified_updates_on_metadata_change,modified_updates_on_data_change,geographic_reference,geographic_reference_auto,territory,shared_catalog,federated,dcat_publisher_type,dcat_conforms_to,dcat_ap_it_publisher_id
Région des Pays de la Loire,Région des Pays de la Loire,Population par commune d'Angers Loire Métropole,"<p><strong>Nombre d'habitants par commune d'Angers Loire Métropole </strong><strong>en 1990, 1999, 2007 et 2012.&nbsp;</strong>Ce jeu de données est un outil de travail de l'<a href=""http://www.aurangevine.org/"" target=""_blank"">Agence d'urbanisme de la région angevine</a>.</p>
<div><strong>Libellés des champs de ce jeu de données :</strong></div>
<div><p>D90_POP : nombre d'habitants par commune en 1990 ; P99_POP :  nombre d'habitants par commune en 1999 ; P07_POP nombre d'habitants par commune en 2007 ; P12_POP nombre d'habitants par commune en 2012</p></div>",Santé / Social,"population,recensement",Licence Ouverte (Etalab),fr,2016-07-28T10:54:26+02:00,2019-05-27,2021-08-31T03:11:51+02:00,INSEE,http://www.insee.fr/fr/themes/theme.asp?theme=2,34,,,,,,,,aura_pop_90_99_07_12csv,Finalisé,,https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf,fr,,,,fr_70_244900015,False,CU Angers Loire Métropole,,True,,,
Région des Pays de la Loire,Région des Pays de la Loire,Elections régionales 2015 2nd tour à Angers,"<p>Les données fournissent les résultats du second tour des élections régionales sur la commune d'Angers qui se sont déroulées le dimanche 13 décembre 2015.</p><p>Les résultats sont fournis par bureau de vote à Angers. Pour les autres communes du canton, le total est fourni à l'échelle de la commune. Les résultats donnent le nombre de voix obtenues par chaque candidat. Sont également fournis : le nombre d'électeurs inscrits, le nombre de votants, de procurations, de bulletins nuls et de bulletins exprimés.</p>",Citoyenneté / Institution,"élection,élection locale,régionale,région,institutions publiques",Open Database License (ODbL),fr,2016-07-28T10:55:31+02:00,2019-05-27,2021-08-31T03:11:31+02:00,Ville d'Angers,,84,,,,,,,,201_alm_vilan_2nd15regangerscsv,Finalisé,,http://opendatacommons.org/licenses/odbl/,fr,,,,fr_80_49007,False,Angers,,True,,,
Région des Pays de la Loire,Région des Pays de la Loire,Elections départementales 2015 1er tour canton Angers 3,"<p>Les données fournissent les résultats du premier tour des élections départemenale du canton Angers 3, qui se sont déroulées le dimanche 22 mars 2015.</p><p>Les résultats sont fournis par bureau de vote à Angers. Pour les autres communes du canton, le total est fourni à l'échelle de la commune. Les résultats donnent le nombre de voix obtenues par chaque candidat. Sont également fournis : le nombre d'électeurs inscrits, le nombre de votants, de procurations, de bulletins nuls et de bulletins exprimés.</p>",Citoyenneté / Institution,"élection,élection locale,départementale,canton,institutions publiques",Open Database License (ODbL),fr,2016-07-28T10:55:39+02:00,2019-05-27,2021-08-31T03:13:13+02:00,Ville d'Angers,http://www.angers.fr/vie-pratique/vie-quotidienne/vos-droits-et-demarches/elections/resultats-des-scrutins-precedents/index.html,20,,,,,,,,49007_201_1er15ccanto_ang3csv,Finalisé,,http://opendatacommons.org/licenses/odbl/,fr,,,,fr_80_49007,False,Angers,,True,,,
Région des Pays de la Loire,Région des Pays de la Loire,Elections départementales 2015 2nd tour canton Angers 4,"<p>Les données fournissent les résultats du second tour des élections départementales à Angers qui se sont déroulées le dimanche 29 mars 2015.</p><p>Les résultats sont fournis par bureau de vote à Angers. Pour les autres communes du canton, le total est fourni à l'échelle de la commune. Les résultats donnent le nombre de voix obtenues par chaque candidat. Sont également fournis : le nombre d'électeurs inscrits, le nombre de votants, de procurations, de bulletins nuls et de bulletins exprimés.</p>",Citoyenneté / Institution,"élection,élection locale,départementale,canton,institutions locales",Open Database License (ODbL),fr,2016-07-28T10:55:54+02:00,2019-05-27,2021-08-31T03:13:51+02:00,Ville d'Angers,http://www.angers.fr/vie-pratique/vie-quotidienne/vos-droits-et-demarches/elections/resultats-des-scrutins-precedents/index.html,11,,,,,,,,49007_201_2nd15ccanto_ang4csv,Finalisé,,http://opendatacommons.org/licenses/odbl/,fr,,,,fr_80_49007,False,Angers,,True,,,
Région des Pays de la Loire,Ville d'Angers,Elections municipales 2014 2nd tour à Angers,"<p>Les données fournissent les résultats du second tour des élections municipales à Angers qui se sont déroulées le  dimanche 30 mars 2014.</p><p>Les résultats sont fournis par bureau de  vote : ils donnent le nombre de voix obtenues par chaque candidat. Sont  également fournis : le nombre d'électeurs inscrits, le nombre de  votants, de procurations, de bulletins nuls et de bulletins exprimés.</p>",Citoyenneté / Institution,"élection,élection locale,municipales",Open Database License (ODbL),fr,2017-03-03T12:02:56+01:00,2019-05-27,2021-08-31T03:15:59+02:00,Ville d'Angers,,83,,,,,,,,201_alm_vilan_2nd14munip,Finalisé,,http://opendatacommons.org/licenses/odbl/,fr,,False,False,fr_80_49007,False,Angers,,True,,,
Région des Pays de la Loire,Ville d'Angers,Budget Primitif - 2017 - Ville Angers,"<p>Ce jeu de données contient le budget primitif 2017 de la Ville d'Angers.</p><br/><div>dépenses et recettes de fonctionnement en euros (par fonctions, chapitres et articles)</div>
 <div>dépenses et recettes d'investissement en euros (par fonctions, chapitres et articles)</div>
 <br/><div>Ce jeu de données respecte la nomenclature de l'instruction M14 (<a href=""http://www.collectivites-locales.gouv.fr/la-comptabilite-m14"">détails</a>)</div>",Citoyenneté / Institution,"budget,budget primitif,finances,finances locales,finances publiques",Open Database License (ODbL),fr,2017-03-29T17:05:36+02:00,2019-05-27,2021-08-31T03:12:04+02:00,Ville d'Angers,http://www.collectivites-locales.gouv.fr/la-comptabilite-m14,1976,,,,,,,,bp-2017-angers,Finalisé,,http://opendatacommons.org/licenses/odbl/,fr,,,,fr_80_49007,False,Angers,,True,,,
Région des Pays de la Loire,Région des Pays de la Loire,Election présidentielle 2017 1er tour Angers,"<p>Les données fournissent les résultats du premier tour des élections présidentielles à Angers, qui se sont déroulées le dimanche 23 avril 2017.</p><p>Les résultats sont fournis par bureau de vote à Angers. </p><p>Les résultats donnent le nombre de voix obtenues par chaque candidat. Sont également fournis : le nombre d'électeurs inscrits, le nombre de votants, de procurations, de bulletins nuls et de bulletins exprimés.</p>",Citoyenneté / Institution,"election,institution publique,presidentielle",Open Database License (ODbL),fr,2017-04-24T14:14:20+02:00,2019-05-27,2021-08-31T03:11:00+02:00,Ville d'Angers,,83,,,,,,,,1er_tour_presidentielles_2017_angers,Finalisé,,http://opendatacommons.org/licenses/odbl/,fr,,,,fr_80_49007,False,Angers,,True,,,
Région des Pays de la Loire,Région des Pays de la Loire,Statistiques Immatriculations d'entreprises en Pays de la Loire - 2018,"<p>
<strong>RCS - Statistiques des immatriculations en 2018.</strong></p><hr/><p>Liste des immatriculation de société en 2018 après des greffes de Tribunaux de commerce en Pays de la Loire.</p>",Économie / Europe,"greffes,statistiques,immatriculations",Licence ouverte / Open Licence,fr,2018-01-29T14:35:45+01:00,2021-08-25,2021-08-31T03:16:11+02:00,Infogreffe,"Statistiques du Conseil National des Greffiers, Registre du commerce et des sociétés",72,,,,,,,,234400034_statistiques-immatriculations-en-2018,Finalisé,,https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf,fr,,False,True,fr_40_52,False,Pays de la Loire,,True,,,
Région des Pays de la Loire,Air Pays de la Loire,Qualité de l'air - Inventaire des émissions de polluants en Pays de la Loire - 2011 à 2016,"<p>Service de mise à disposition des données d'émissions d'Air Pays de la Loire. Le flux regroupe, par année, les polluants atmosphériques principaux (SO2 - NOx - CO - PM10 - PM2,5 - COVNM - C6H6 - NH3 - As - Cd - Ni - Pb - BaP) et tous les secteurs d'activités confondus (total SECTEN) dans chaque EPCI de la région Pays de la Loire.</p>",Environnement,,Open Database License (ODbL),fr,2018-10-25T15:56:00+02:00,2021-07-31,2021-08-01T00:13:12+02:00,Air Pays de la Loire,,648,,,,,,,,234400034_qualite-de-lair-inventaire-des-emissions-de-polluants-en-pays-de-la-lo,Finalisé,Quotidienne,http://opendatacommons.org/licenses/odbl/,fr,,False,False,fr_40_52,False,Pays de la Loire,,False,,,
Région des Pays de la Loire,Région des Pays de la Loire,Parc régional annuel de production éolien et solaire (2001 à 2020),"<p>
	Parc de production éolien et solaire (MW) au 31 décembre en région des Pays de la Loire, depuis 2001.</p><hr/>
<p><em><br/></em></p>",Territoires,"EnR,Bilan annuel,Parc de production",Licence Ouverte v2.0 (Etalab),fr,2018-11-28T09:21:30+01:00,2021-02-25,2021-08-31T03:14:55+02:00,RTE,,20,,,,,,,,234400034_parc-regional-annuel-de-production-eolien-et-solaire-2001-a-2017,Finalisé,,https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf,fr,,False,False,fr_40_52,False,Pays de la Loire,,True,,,
