numero,type,procedure,date_notification,titulaire,code_postal,objet,montant_ht
505,Travaux,MAPA,2013-08-26,SAGELEC,44154.0,Boulodrome du Bêle - rénovation de santaire PMR,49295.82
263,Travaux,MAPA,2013-05-17,COREVA,35538.0,GS du 1er degré - programme 2013 de travaux d'entretien durable - réfection des sols,52613.37
539,Travaux,AOO,2013-10-11,VOLUME et COULEURS,44800.0,Construction d'un bâtiment partagé - Le Pont  Supérieur - Conservatoire de Nantes LOT 13,80488.54
344,Travaux,MAPA,2013-06-17,ATLANTIC ENVIRONNEMENT,44640.0,Stade Pascal Laporte - séparation des réseaux EFS (eau froide sanitaire) et gaz LOT 1,155373.5
559,Travaux,MAPA,2013-10-23,BOISSEAU,49110.0,Stade Michel Lecointre - construction de locaux sports et SEVE LOT 3,158000.0
77,Fournitures,AOO,2013-02-27,POMONA FROID,44471.0,Fourniture de denrées alimentaires et plats cuisinés pour les écoles publiques et centres de loisirs de la Ville de Nantes LOT 1,21552.08
631,Services,MAPA,2013-12-12,TMO REGIONS,35007.0,Mission d'évaluation du Museum d'Histoire Naturelle,25075.0
620,Services,AOO,2013-12-24,NAS,44300.0,Prestations de nettoyage de vitres pour les bâtiments de la VDN et du CCAS LOT 4,28266.6
460,Services,MAPA,2013-08-05,Cabinet ARESS,33400.0,Mission d'évaluation sur l'offre d'accueil de loisirs enfants/adolescents deleguee a l'ACCOORD,35652.5
9,Services,AOO,2013-01-11,CLERSOL NANT'NET,44100.0,Nettoyage du conservatoire - Marché subséquent n° 8,112620.27
447,Travaux,MAPA,2013-05-07,REVET SOLS,44610.0,Plaine de jeux des Bernardières - rénovation des vestiaires - sanitaires LOT 6,24882.5
289,Travaux,MAPA,2013-05-22,SIB,44800.0,GS du 1er degré  - programme 2013 de travaux d'entretien durable - désamiantage et remise en état LOT 1,30478.0
59,Travaux,MAPA,2013-02-26,EDELWEIS,49460.0,Square de l'Embellie - aménagements paysagers - jeux,36307.45
585,Travaux,MAPA,2013-11-15,AMEX LOIRE,44690.0,Bellevue - Rue des Sables d'Olonne - aménagement d'un terrain multisports LOT 1,36346.5
384,Travaux,MAPA,2013-06-20,ATLANTIQUE OUVERTURES,44360.0,Quartier Nantes nord - restructuration de l'école élémentaire du Baut LOT 5,95002.01
218,Travaux,MAPA,2013-04-16,ATLANTIC ENVIRONNEMENT,44640.0,GS du 1er degré - programme 2013 de travaux d'entretien durable - école primaire Grand Carcouët - réfection de cours,103789.0
536,Travaux,AOO,2013-10-11,CHEZINE BATIMENT,44806.0,Construction d'un bâtiment partagé - Le Pont  Supérieur - Conservatoire de Nantes LOT 10,115163.99
21,Travaux,MAPA,2013-04-10,LA FORGE DU ROY,49220.0,Restauration de la portes Saint Pierre du jardin archéologique et du square Coutant LOT 4,116672.17
60,Travaux,MAPA,2013-02-22,ADI,44800.0,"Ile de Nantes - Pole de services publics - création et aménagement d'un multi-accueil, d'une mairie annexe et de bureaux LOT 1",134345.84
93,Fournitures,MAPA,2013-02-27,MONTEL INC,,Acquisition de grilles de tableaux pour les réserves muséales,47078.0
95,Services,MAPA,2013-03-05,SPORTEST,44310.0,Location et maintenance d'une solution logicielle nomade et d'un matériel adapté pour le contrôle des aires de jeux,20000.0
30,Services,MAPA,2013-02-04,FRANCOIS BRAY ARCHITECTE,77000.0,Mission de programmation et d'assistance en maîtrise d'ouvrage pour l'aménagement d'un pôle d'archives sur le site de la Morrhonnière,56503.0
606,Services,MAPA,2013-12-18,BAUDOUIN Jacques,44000.0,Mission de conseil en architecture et urbanisme,58397.5
326,Travaux,MAPA,2013-05-22,SAGELEC,44154.0,Travaux d'aménagement d'une cabine sanitaire intégrée dans le bâtiment du square Vertais LOT 2,28664.1
520,Travaux,MAPA,2013-10-04,MOBIPLAY ATLANTIQUE,44310.0,Aménagement des squares Réné Guy Cadou et Bergson LOT 2,30814.01
341,Travaux,MAPA,2013-06-11,OUEST COUVERTURE ENERGIE,44334.0,GS du 1er degré - équipements associatifs et pole santé - programme 2013 de travaux d'entretien durable réfection des étanchéités LOT 2,67416.61
