NOM,DATE_ARRETE,PROPRIETE,DETAILS,NOTICE_MERIMEE,XCOORD_L93,YCOORD_L93
Tour Solidor et ouvrages avancés,12/07/1886,Etat,"Les enceintes, ponts et dépendances sont également classés.",PA00090871,"329898,3172","6848876,851"
"Château, comprenant enceinte, intérieurs des tours et grand donjon",20/08/1913,Commune de Saint-Malo,Le château abrite aujourd'hui des services municipaux.,PA00090801,"330267,0466","6850799,987"
Fort National et son enceinte,20/08/1913,Personne privée,"Anciennement Fort Royal, le bâtiment est classé en mai 1906, suivi par les murs d'enceinte en 1913.",PA00090810,"330246,1836","6851174,733"
Fort du Petit Bé,29/10/1921,Commune de Saint-Malo,"Conçu à partir de 1689 par l'ingénieur militaire Garangeau, sur les plans de Vauban, le fort est démilitarisé en 1885 et cédé à la commune.",PA00090811,"329108,0667","6850990,543"
Tombeau de Chateaubriand et ensemble de l'ilot du Grand Bé,24/11/1954,Commune de Saint-Malo,"Le célèbre écrivain y est enterré, à sa demande, depuis 1848. Le site est inscrit depuis le 08/08/1945. Seul le tombeau est classé depuis 1954.",PA00090870,"329501,8729","6851002,991"
Hôtel de la Gicquelais (maison natale de Chateaubriand),23/03/1964,Personne privée,"Dans l'ancienne rue des Juifs, aujourd'hui rue Chateaubriand",PA00090815,"330141,4586","6850774,778"
"Hôtel Magon de la Lande, dit Hôtel d'Asfeld",25/02/2000,Personne privée,"Hôtel particulier construit en 1725 par un armateur et corsaire malouin, il a été épargné par les bombardements de 1944.",PA00090813,"330126,5647","6850299,042"
Ancien hôtel André Désilles,14/10/1946,Commune de Saint-Malo,Le bâtiment abrite aujourd'hui des services municipaux.,PA00090812,"329998,273","6850386,138"
Château de la Chipaudière,02/02/1982,Personne privée,Sont classées les façades et toitures du manoir et des communs.,PA00090803,"334986,0421","6848852,978"
Phare du Grand Jardin,03/10/2012,Etat,"Conçu par les architectes Henry Auffret et Joël Hardion et allumé en 1949, il remplace un phare mis en service en 1868 et détruit par les Allemands en août 1944. Automatisé en 1982, il est toujours opérationnel.",PA35000043,"325975,4825","6853139,16"
Fort de la Conchée,13/09/1984,Personne privée,"Conçu à partir de 1689 par l'ingénieur militaire Garangeau, sur les plans de Vauban, le fort est démilitarisé en 1901 et cédé à la commune. En 1989, la Compagnie du Fort de la Conchée en fait l'acquisition dans l'intention de le restaurer.",PA00090809,"328915,3254","6854478,306"
"Fortifications (remparts, depuis la pointe du château jusqu'au môle des Noires)",02/09/1921,Commune de Saint-Malo,"Classements successifs en 1886, 1913 et 1921.",PA00090801,"330165,3594","6850525,771"
Ancienne cathédrale Saint-Vincent,26/10/1910,Commune de Saint-Malo,"Toute la cathédrale est classée, à l'exclusion du clocher.",PA00090798,"330041,1629","6850591,378"
Peinture murale située dans l'ancien couvent Notre-Dame-des-Victoires,24/03/1962,Etat,La peinture représente L'Annonce aux Bergers.,PA00090804,"329999,4017","6850743,349"
