Alias du bureau,Code du bureau,Nom de la circonscription,Nom du canton,Nom du lieu de vote,Nom de la commune (UGLE),Nombre d'électeurs,Nom du tour de scrutin,Emargements à 10:00,Emargements à 12:00,Emargements à 14:00,Emargements à 16:00,Emargements à 18:00,Emargements à 19:00,Nombre d'enveloppes et bulletins,Nombre de bulletins blancs,Nombre de bulletins nuls,Nombre de suffrages exprimés,Nombre d'enveloppes,Nombre de bulletins sans enveloppe,Nombre d'inscrits,Nombre d'émargements,Nombre de procurations,Nombre de centaines possibles,Voix pour M. BRANCHE  Romain et Mme. PELLOUX-GERVAIS Isabelle,Voix pour Mme. ROMERA Sophie et M. TROCME Benjamin,Voix pour Mme. DESPLANQUES Axelle et M. TISSOT Grégory,Voix pour Mme. CARRIERE Louve et M. COEUR Alain,Voix pour M. DUPONT-FERRIER Stéphane et Mme. SPINI ALIM Dominique,Voix pour Mme. POSTEL Sylviane et M. VIRETTE Jean-Louis,Voix pour M. CUCAROLLO Jérôme et Mme. KAZAZIAN-BALESTAS Eléonore,Voix pour Mme. PEREZ Kathy et M. PERIER François-Marie,Voix pour M. LAVAL Sylvain et Mme. SEGHIER Sabrina,Voix pour M. BILLOUET Simon et Mme. COUVENT Pauline,Voix pour Mme. HAMEDI Sandra et M. THIRIET Adam,Voix pour Mme. BACHA Néjia et M. EDWIGE Romain,Voix pour Mme. GAUVIN Valérie et M. OROSCO Damien,Voix pour Mme. DUPRE Christel et M. VIRONE Joseph,Voix pour Mme. GERMAIN Amandine et M. TCHETCHE Pierre Didier,Voix pour M. CHAPPET Clément et Mme. MANSOURI Hanane,Voix pour M. BIJU-DUVAL Bertrand et Mme. MOKONDJIMOBE Leila Angela
SIMONE LAGRANGE 1er bureau,1,38-03,Grenoble-1,SIMONE LAGRANGE,Grenoble,648,Grenoble Elections départementales 2021 Tour 1,64.0,64.0,91.0,119.0,156.0,173.0,187,4,2,181,187.0,0.0,648,187,4.0,2,24.0,107.0,22.0,28.0,,,,,,,,,,,,,
SIMONE LAGRANGE 2ème bureau,2,38-03,Grenoble-1,SIMONE LAGRANGE,Grenoble,858,Grenoble Elections départementales 2021 Tour 1,130.0,130.0,170.0,223.0,280.0,311.0,318,3,7,308,,,858,318,8.0,4,59.0,165.0,36.0,48.0,,,,,,,,,,,,,
BERRIAT 1er bureau,3,38-01,Grenoble-1,BERRIAT,Grenoble,1157,Grenoble Elections départementales 2021 Tour 1,159.0,159.0,196.0,253.0,327.0,369.0,383,7,2,374,383.0,0.0,1157,383,20.0,4,58.0,207.0,33.0,76.0,,,,,,,,,,,,,
BERRIAT 2ème bureau,4,38-01,Grenoble-1,BERRIAT,Grenoble,967,Grenoble Elections départementales 2021 Tour 1,117.0,117.0,157.0,199.0,265.0,290.0,312,5,1,306,,,967,312,10.0,4,22.0,208.0,25.0,51.0,,,,,,,,,,,,,
BUFFON 1er bureau,5,38-03,Grenoble-1,BUFFON,Grenoble,1257,Grenoble Elections départementales 2021 Tour 1,165.0,165.0,217.0,268.0,378.0,432.0,471,11,1,459,471.0,0.0,1257,471,25.0,5,44.0,332.0,24.0,59.0,,,,,,,,,,,,,
BUFFON 2ème bureau,6,38-03,Grenoble-1,BUFFON,Grenoble,1175,Grenoble Elections départementales 2021 Tour 1,144.0,144.0,197.0,244.0,337.0,359.0,387,7,4,376,387.0,0.0,1175,387,23.0,4,33.0,278.0,20.0,45.0,,,,,,,,,,,,,
DIDEROT 1er bureau,7,38-03,Grenoble-1,DIDEROT,Grenoble,1134,Grenoble Elections départementales 2021 Tour 1,170.0,170.0,226.0,280.0,381.0,414.0,446,10,3,433,446.0,0.0,1134,446,27.0,5,33.0,301.0,46.0,53.0,,,,,,,,,,,,,
AMPERE 1er bureau,8,38-03,Grenoble-1,AMPERE,Grenoble,1213,Grenoble Elections départementales 2021 Tour 1,149.0,149.0,195.0,255.0,370.0,431.0,459,8,6,445,459.0,0.0,1213,459,13.0,5,44.0,329.0,34.0,38.0,,,,,,,,,,,,,
AMPERE 2ème bureau,9,38-03,Grenoble-1,AMPERE,Grenoble,1336,Grenoble Elections départementales 2021 Tour 1,176.0,176.0,232.0,303.0,412.0,472.0,508,6,14,488,,,1336,508,23.0,6,29.0,368.0,36.0,55.0,,,,,,,,,,,,,
JOSEPH VALLIER 1er bureau,10,38-03,Grenoble-1,JOSEPH VALLIER,Grenoble,1275,Grenoble Elections départementales 2021 Tour 1,170.0,170.0,221.0,280.0,384.0,410.0,434,5,2,427,,,1275,434,22.0,5,36.0,262.0,38.0,91.0,,,,,,,,,,,,,
JOSEPH VALLIER 2ème bureau,11,38-03,Grenoble-1,JOSEPH VALLIER,Grenoble,1201,Grenoble Elections départementales 2021 Tour 1,125.0,125.0,178.0,217.0,276.0,313.0,333,7,3,323,333.0,0.0,1201,333,6.0,4,48.0,177.0,34.0,64.0,,,,,,,,,,,,,
EAUX CLAIRES 1er bureau,12,38-03,Grenoble-1,EAUX CLAIRES,Grenoble,965,Grenoble Elections départementales 2021 Tour 1,103.0,103.0,136.0,157.0,193.0,198.0,240,1,2,237,240.0,0.0,965,240,5.0,3,44.0,101.0,49.0,43.0,,,,,,,,,,,,,
EAUX CLAIRES 2ème bureau,13,38-03,Grenoble-1,EAUX CLAIRES,Grenoble,993,Grenoble Elections départementales 2021 Tour 1,129.0,129.0,177.0,234.0,288.0,317.0,349,14,4,331,349.0,0.0,993,349,15.0,4,46.0,166.0,50.0,69.0,,,,,,,,,,,,,
EAUX CLAIRES 3ème bureau,14,38-03,Grenoble-1,EAUX CLAIRES,Grenoble,1260,Grenoble Elections départementales 2021 Tour 1,135.0,135.0,179.0,242.0,344.0,362.0,389,5,1,383,389.0,0.0,1260,389,9.0,4,51.0,202.0,62.0,68.0,,,,,,,,,,,,,
EAUX CLAIRES 4ème bureau,15,38-03,Grenoble-1,EAUX CLAIRES,Grenoble,1170,Grenoble Elections départementales 2021 Tour 1,130.0,130.0,160.0,200.0,290.0,321.0,343,2,4,337,343.0,0.0,1170,343,7.0,4,42.0,220.0,26.0,49.0,,,,,,,,,,,,,
EAUX CLAIRES 5ème bureau,16,38-03,Grenoble-1,EAUX CLAIRES,Grenoble,726,Grenoble Elections départementales 2021 Tour 1,86.0,86.0,106.0,126.0,170.0,183.0,188,5,6,177,188.0,0.0,726,188,2.0,2,24.0,89.0,37.0,27.0,,,,,,,,,,,,,
ANATOLE France 1er bureau,17,38-03,Grenoble-1,ANATOLE FRANCE,Grenoble,825,Grenoble Elections départementales 2021 Tour 1,31.0,31.0,39.0,45.0,53.0,54.0,54,4,2,48,54.0,0.0,825,54,0.0,1,5.0,27.0,8.0,8.0,,,,,,,,,,,,,
ANATOLE France 2ème bureau,18,38-03,Grenoble-1,ANATOLE FRANCE,Grenoble,1060,Grenoble Elections départementales 2021 Tour 1,128.0,128.0,181.0,216.0,248.0,275.0,280,3,2,275,280.0,0.0,1060,280,10.0,3,64.0,90.0,63.0,58.0,,,,,,,,,,,,,
HOUILLE BLANCHE 1er bureau,19,38-03,Grenoble-1,HOUILLE BLANCHE,Grenoble,1195,Grenoble Elections départementales 2021 Tour 1,85.0,85.0,188.0,236.0,303.0,324.0,342,10,2,330,342.0,0.0,1195,341,10.0,4,52.0,147.0,50.0,81.0,,,,,,,,,,,,,
HOUILLE BLANCHE 2ème bureau,20,38-03,Grenoble-1,HOUILLE BLANCHE,Grenoble,1094,Grenoble Elections départementales 2021 Tour 1,71.0,71.0,176.0,212.0,270.0,293.0,312,11,4,297,312.0,0.0,1094,312,10.0,4,51.0,136.0,45.0,65.0,,,,,,,,,,,,,
EUROPOLE 1er bureau,21,38-03,Grenoble-1,EUROPOLE,Grenoble,583,Grenoble Elections départementales 2021 Tour 1,88.0,88.0,114.0,129.0,158.0,174.0,190,3,0,187,190.0,0.0,583,190,10.0,2,28.0,97.0,28.0,34.0,,,,,,,,,,,,,
EUROPOLE 2ème bureau,22,38-03,Grenoble-1,EUROPOLE,Grenoble,914,Grenoble Elections départementales 2021 Tour 1,70.0,70.0,150.0,197.0,253.0,294.0,307,6,3,298,307.0,0.0,914,307,7.0,4,47.0,155.0,36.0,60.0,,,,,,,,,,,,,
EUROPOLE 3ème bureau,23,38-03,Grenoble-1,EUROPOLE,Grenoble,994,Grenoble Elections départementales 2021 Tour 1,61.0,61.0,174.0,231.0,300.0,343.0,364,9,2,353,364.0,0.0,994,364,16.0,4,54.0,216.0,31.0,52.0,,,,,,,,,,,,,
SAINT LAURENT 1er bureau,24,38-01,Grenoble-2,SAINT LAURENT,Grenoble,563,Grenoble Elections départementales 2021 Tour 1,73.0,73.0,100.0,122.0,156.0,176.0,205,2,0,203,205.0,0.0,563,205,,3,,,,,24.0,10.0,134.0,6.0,29.0,,,,,,,,
BERLIOZ 1er bureau,25,38-01,Grenoble-2,BERLIOZ,Grenoble,1330,Grenoble Elections départementales 2021 Tour 1,204.0,204.0,270.0,330.0,429.0,489.0,504,6,0,498,504.0,0.0,1330,504,29.0,6,,,,,178.0,24.0,201.0,10.0,85.0,,,,,,,,
BERLIOZ 2ème bureau,26,38-01,Grenoble-2,BERLIOZ,Grenoble,1230,Grenoble Elections départementales 2021 Tour 1,204.0,204.0,260.0,305.0,415.0,445.0,470,6,4,460,470.0,0.0,1230,470,41.0,5,,,,,95.0,21.0,272.0,10.0,62.0,,,,,,,,
