Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,,Répertoire du Parc Locatif Social (RPLS) au 1er janvier 2014 - Données redressées -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"*** Nom de la requête :Extraction tout public pour une commune ***

    Année de collecte : 2014
    Code commune INSEE : 94058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Code région INSEE,Libellé région,Code département INSEE,Libellé département,Code EPCI INSEE,Libellé EPCI,Identifiant logement dans SI bailleur,Identifiant logement dans Répertoire RPLS,Code type de droit immobilier,Code commune INSEE,Code postal,Numéro de voirie,Indice de répétition,Type de voie,Nom de voie,Complément d’identification du logement : N° appartement,Complément d'identification du logement: N° boîte aux lettres,Complément d'identification du logement: N° escalier,Complément d'identification du logement: Couloir,Complément d’identification du logement : Etage,Complément d’identification du bâtiment autre,Complément d’identification du bâtiment : Entrée,Complément d’identification du bâtiment : Bâtiment,Complément d’identification du bâtiment : Immeuble,Complément d’identification du logement autre,Lieu dit,Code logement situé en Zone Urbaine Sensible,Code type de construction,Code nombre de pièces,Surface habitable (m²) - pour calcul,Année d'achèvement de la construction,Année de première mise en location,Année d'entrée du logement dans patrimoine locatif du bailleur,Code origine du patrimoine,Code financement initial,Code conventionnement,Numéro de la convention,Année d'expiration de la convention,Date de prise d'effet de la convention,Date de réalisation du DPE,Classe DPE - consommation d'énergie,Classe DPE - impact sur effet de serre,Code Alinéa SRU,Code financement au titre de la CUS
,11,Ile-de-France,94,VAL DE MARNE,249400078,CA Vallée de la Marne,000032/010401,0047027025,1,94058,94170,10,,RUE,TANNENBOURG,,,,,,,,,,,,2,C,2,44,1999,2000,1999,3,11,1,94 1 08 1999 781307 1 1411,2032,23/08/1999,non renseigné,non renseigné,non renseigné,2,0
,11,Ile-de-France,94,VAL DE MARNE,249400078,CA Vallée de la Marne,01000714010001,0007048780,4,94058,94170,,,,2 RUE DE L'EMBARCADÈRE,0001,,,,0,,,,,,ZAC du Canal,2,C,3,63,2009,2009,2009,1,14,1,94 1 04 2009 99864 094036 2066,non renseigné,10/04/2009,05/2010,Consommation d¿énergie B,Impact sur l¿effet de serre C,0,0
,11,Ile-de-France,94,VAL DE MARNE,249400078,CA Vallée de la Marne,01000714010002,0007048798,4,94058,94170,,,,2 RUE DE L'EMBARCADÈRE,0002,,,,0,,,,,,ZAC du Canal,2,C,3,63,2009,2009,2009,1,14,1,94 1 04 2009 99864 094036 2066,non renseigné,10/04/2009,05/2010,Consommation d¿énergie B,Impact sur l¿effet de serre C,0,0
,11,Ile-de-France,94,VAL DE MARNE,249400078,CA Vallée de la Marne,01000714010003,0007048805,4,94058,94170,,,,2 RUE DE L'EMBARCADÈRE,0003,,,,0,,,,,,ZAC du Canal,2,C,4,97,2009,2009,2009,1,14,1,94 1 04 2009 99864 094036 2066,non renseigné,10/04/2009,05/2010,Consommation d¿énergie B,Impact sur l¿effet de serre C,0,0
,11,Ile-de-France,94,VAL DE MARNE,249400078,CA Vallée de la Marne,01000714010004,0007048813,4,94058,94170,,,,2 RUE DE L'EMBARCADÈRE,0004,,,,0,,,,,,ZAC du Canal,2,C,3,61,2009,2009,2009,1,14,1,94 1 04 2009 99864 094036 2066,non renseigné,10/04/2009,05/2010,Consommation d¿énergie B,Impact sur l¿effet de serre C,0,0
