COLL_NOM,COLL_SIRET,COLL_TYPE,ACTE_REF,CONV_DAT,ATTRIB_SIRET,ATTRIB_NOM,Type bénéficiaire,SUB_OBJET,Montant décidé mouvement
Département de la Savoie,"2,273E+13",DEP,2017-006,31/03/2017,"7,76504E+13",ABBAYE D' HAUTECOMBE FONDATION ,Personne morale de droit privé,Restauration toitures Phase 5 TC1,208371
Département de la Savoie,"2,273E+13",DEP,2017-007,14/04/2017,"7,76613E+13",AEC VACANCES DON BOSCO ,Personne morale de droit privé,mise aux normes et modernisation du grand fourchon à Valmeinier,120000
Département de la Savoie,"2,273E+13",DEP,2017-006,31/03/2017,"3,09421E+13",AGENCE ALPINE DES TERRITOIRES ,Personne morale de droit privé,Fonctionnement 2017,617182
Département de la Savoie,"2,273E+13",DEP,2017-013,20/10/2017,"3,09421E+13",AGENCE ALPINE DES TERRITOIRES ,Personne morale de droit privé,Acompte 25 % sur subvention 2018,200728
Département de la Savoie,"2,273E+13",DEP,2017-013,20/10/2017,"3,09421E+13",AGENCE ALPINE DES TERRITOIRES ,Personne morale de droit privé,remboursement investissements déménagement,75000
Département de la Savoie,"2,273E+13",DEP,2017-006,31/03/2017,"3,51405E+13",AGENCE ECONOMIQUE DE LA SAVOIE ,Personne morale de droit privé,Soutien 2017 attente création AER,745000
Département de la Savoie,"2,273E+13",DEP,2017-006,31/03/2017,"7,76466E+13",AGENCE TOURISTIQUE DEPARTEMENTALE DE SAVOIE ,Personne morale de droit privé,Fonctionnement de l'ATD pour 2017,449857
Département de la Savoie,"2,273E+13",DEP,2017-013,20/10/2017,"7,76466E+13",AGENCE TOURISTIQUE DEPARTEMENTALE DE SAVOIE ,Personne morale de droit privé,fonctionnement ATD 2018 avance,153750
Département de la Savoie,"2,273E+13",DEP,2017-006,31/03/2017,"3,10337E+13",AMIS JEUNESSE ET SPORTS ,Personne morale de droit privé,Sub financement journées 2017,44000
Département de la Savoie,"2,273E+13",DEP,2017-006,31/03/2017,"3,10337E+13",AMIS JEUNESSE ET SPORTS ,Personne morale de droit privé,Sub fonctionnement 2017,34000
Département de la Savoie,"2,273E+13",DEP,2017-006,31/03/2017,"3,10337E+13",AMIS JEUNESSE ET SPORTS ,Personne morale de droit privé,Sub PSJ nordique 2017,30000
