X,Y,OBJECTID,TYPE_PLACE,COMMUNE,IDENTIFIANT,ADRESSE,TYPE_POSITION,NB_PLACES,MEMO,DATE_CREATION,DATE_MAJ
799322.011399999,6874263.4464,1,PMR,Châlons-en-Champagne,PMR_1,Rue du Docteur Auger N°04,Parking,1,,2016/06/28 09:30:51+00,2019/10/23 15:15:52+00
800935.972000003,6871863.241,2,PMR,Châlons-en-Champagne,PMR_2,Rue Jacques Duclos - Parking Stade Saché,Parking,1,,2016/06/28 09:30:51+00,2019/11/22 13:20:53+00
800382.096699998,6873711.2568,3,PMR,Châlons-en-Champagne,PMR_3,Rue de l'Arsenal N°05 - Conservatoire J.P Rameau,Parking,1,,2016/06/28 09:30:51+00,2019/10/23 15:16:23+00
800348.0713,6872451.7053,4,PMR,Châlons-en-Champagne,PMR_4,Rue Georges Barbier - Parking Supermarché Match,Sur trottoir,1,,2016/06/28 09:30:51+00,2019/07/26 13:19:29+00
799256.296800002,6873077.8595,5,PMR,Châlons-en-Champagne,PMR_5,Chemin du Barrage - entrée Jard Anglais,Parking,1,,2016/06/28 09:30:51+00,2016/06/28 10:10:55+00
799866.065800004,6874345.7146,6,PMR,Châlons-en-Champagne,PMR_6,Rue Pierre Bayen N°41,Rue,1,,2016/06/28 09:30:51+00,2019/10/23 15:16:35+00
800068.218000002,6874232.6182,9,PMR,Châlons-en-Champagne,PMR_9,Rue Léon Bourgeois N°74 - Parking B.M.V.R.,Parking,1,,2016/06/28 09:30:51+00,2019/10/23 15:17:01+00
799950.752800003,6874085.6582,10,PMR,Châlons-en-Champagne,PMR_10,Rue Léon Bourgeois N°20,Rue,1,,2016/06/28 09:30:51+00,2019/10/23 15:17:15+00
798548.9859,6873000.0172,11,PMR,Châlons-en-Champagne,PMR_11,Chemin des Bourgs - face Maternelle H. Dunant,Parking,1,,2016/06/28 09:30:51+00,2019/10/23 12:45:04+00
798673.374499999,6873497.97,12,PMR,Châlons-en-Champagne,PMR_12,Rue des Brasseries N°10,Parking,1,,2016/06/28 09:30:51+00,2019/10/23 15:17:25+00
799787.203100003,6873346.0696,13,PMR,Châlons-en-Champagne,PMR_13,Boulevard Aristide Briand N°27,Parking,1,,2016/06/28 09:30:51+00,2019/10/23 15:17:58+00
798424.294299997,6873032.4656,14,PMR,Châlons-en-Champagne,PMR_14,Rue du Docteur Calmette - Parking côté édifice,Parking,1,,2016/06/28 09:30:51+00,2019/10/23 12:38:40+00
798321.548100002,6872444.0341,15,PMR,Châlons-en-Champagne,PMR_15,Rue de Cancale N°20,Rue,1,modifié juin 2016,2016/06/28 09:30:51+00,2019/10/23 15:18:09+00
800550.756300002,6873930.7545,16,PMR,Châlons-en-Champagne,PMR_16,Rue de la Charrière - Cité Administrative Tirlet,Parking,1,,2016/06/28 09:30:51+00,2019/07/26 13:53:03+00
799959.1954,6873580.2056,17,PMR,Châlons-en-Champagne,PMR_17,Ruelle du Canal N°13,Parking,1,,2016/06/28 09:30:51+00,2019/10/23 15:18:19+00
799822.495399997,6873198.111,19,PMR,Châlons-en-Champagne,PMR_20,Rue du Cirque N°04,Rue,1,,2016/06/28 09:30:51+00,2019/10/23 15:18:31+00
799201.748599999,6873443.9259,20,PMR,Châlons-en-Champagne,PMR_21,Rue Clamart N°22 - proximité accès résidence,Rue,1,,2016/06/28 09:30:51+00,2019/10/23 15:18:42+00
800298.1259,6873943.9802,21,PMR,Châlons-en-Champagne,PMR_22,Rue de la Congrégation - à gauche sortie collège et en face du n°14,Rue,1,modifié en nov 2016( securité des écoles),2016/06/28 09:30:51+00,2016/11/29 11:17:59+00
799608.489399999,6873651.0158,22,PMR,Châlons-en-Champagne,PMR_23,Rue des Cordeliers N°12,Rue,1,,2016/06/28 09:30:51+00,2019/10/23 15:18:54+00
