sousDomaine,domaine,departement,nbOffres,nbElevesAyantInteragi,nbElevesInteresses,nbCandidatures,nbConfirmes
matieres-premieres-fabrication-industriesagroalimentaire,matieres-premieres-fabrication-industries,95,1,1,0,0,0
arts-culture-artisanatarts-plastiques,arts-culture-artisanat,95,4,1,0,0,0
commerce-marketing-ventemarketing-vente,commerce-marketing-vente,95,24,17,3,0,0
,informatique-internet,95,145,77,12,1,0
,sante-social-sport,95,29,4,1,0,0
informatique-internetinformatique-de-gestion,informatique-internet,95,124,85,39,9,0
informatique-internetsystemes-et-reseaux,informatique-internet,95,124,85,39,9,0
informatique-internetinformatique-generalites,informatique-internet,95,124,85,39,9,0
informatique-internetbases-de-donnees,informatique-internet,95,124,85,39,9,0
information-communication-audiovisuelcommunication,information-communication-audiovisuel,95,10,50,44,11,0
banque-assurances-immobilierbanque,banque-assurances-immobilier,95,16,204,200,59,2
banque-assurances-immobilierassurances,banque-assurances-immobilier,95,16,204,200,59,2
sante-social-sportsante-generalites,sante-social-sport,95,13,40,39,14,2
lettres-langues-enseignementenseignement,lettres-langues-enseignement,95,1,38,38,14,2
gestion-des-entreprises-comptabilitecomptabilite,gestion-des-entreprises-comptabilite,95,4,13,12,1,0
commerce-marketing-ventecommerce-international,commerce-marketing-vente,95,40,217,211,61,2
sante-social-sportmedical,sante-social-sport,94,23,11,0,0,0
,sante-social-sport,94,35,14,0,0,0
arts-culture-artisanatarts-plastiques,arts-culture-artisanat,94,53,9,1,0,0
arts-culture-artisanatarts-graphiques,arts-culture-artisanat,94,53,9,1,0,0
,environnement-energies-proprete,94,74,20,4,0,0
sante-social-sporttravail-social,sante-social-sport,95,13,40,39,14,2
,informatique-internet,94,153,59,18,0,0
construction-architecture-travaux-publicstravaux-publics,construction-architecture-travaux-publics,94,1,6,6,2,1
construction-architecture-travaux-publicsbureau-detudes-btp,construction-architecture-travaux-publics,94,1,6,6,2,1
construction-architecture-travaux-publicsequipement-technique,construction-architecture-travaux-publics,94,1,6,6,2,1
commerce-marketing-ventemarketing-vente,commerce-marketing-vente,94,9,57,55,13,0
information-communication-audiovisuelmultimedia,information-communication-audiovisuel,94,2,109,108,15,2
information-communication-audiovisuelaudiovisuel,information-communication-audiovisuel,94,1,109,108,15,2
economie-droit-politiqueactivite-judiciaire,economie-droit-politique,94,6,69,68,10,1
economie-droit-politiquedroit-prive,economie-droit-politique,94,6,69,68,10,1
economie-droit-politiquedroit-international,economie-droit-politique,94,6,69,68,10,1
economie-droit-politiquedroit-social,economie-droit-politique,94,6,69,68,10,1
economie-droit-politiquedroit-applique,economie-droit-politique,94,6,69,68,10,1
economie-droit-politiquedroit-public,economie-droit-politique,94,6,69,68,10,1
matieres-premieres-fabrication-industriesmaintenance-qualite,matieres-premieres-fabrication-industries,94,1,57,57,11,0
informatique-internetinformatique-generalites,informatique-internet,94,115,157,125,24,0
informatique-internetinformatique-pour-la-recherche,informatique-internet,94,115,157,125,24,0
informatique-internetinformatique-industrielle-et-technologique,informatique-internet,94,115,157,125,24,0
informatique-internetbases-de-donnees,informatique-internet,94,115,157,125,24,0
arts-culture-artisanatarts-appliques,arts-culture-artisanat,94,55,44,35,3,0
commerce-marketing-ventecommerce-international,commerce-marketing-vente,94,13,106,104,13,2
commerce-marketing-ventegrande-distribution-et-petits-commerces,commerce-marketing-vente,94,13,106,104,13,2
banque-assurances-immobilierbanque,banque-assurances-immobilier,94,8,59,58,9,1
banque-assurances-immobilierassurances,banque-assurances-immobilier,94,8,59,58,9,1
