Indiquez votre genre :,Quel est votre pays de résidence ?,Quelle est votre année de naissance ?,Vous suivez ce MOOC en qualité de :,Vous êtes lycéen : [La discipline ou le secteur professionnel présenté dans ce MOOC correspond à un de vos projets d’études ],Vous êtes lycéen : [Vous connaissez mal la discipline ou le secteur professionnel présenté dans ce MOOC et vous voulez en savoir plus],Vous êtes lycéen : [Le MOOC présente une voie d’accès aux études supérieures (IUT_ classes prépa_ apprentissage) que vous envisagez de prendre_ et vous voulez en savoir plus],Vous êtes lycéen : [Le MOOC présente une voie d’accès aux études supérieures (IUT_ classes prépa_ apprentissage) à laquelle vous n’aviez pas pensé_ et vous voulez en savoir plus],Vous êtes lycéen : [Vous voulez mieux comprendre le fonctionnement des études à l’université],Vous êtes lycéen : [Le MOOC vous a été recommandé par votre lycée],Vous êtes lycéen : [Le MOOC vous a été recommandé par votre famille],Vous êtes lycéen : [Le MOOC fait partie des activités d’aide à l’orientation mises en place dans votre lycée],Vers quel bac vous dirigez-vous ?,Vous êtes en :,Dans quel domaine suivez-vous des études ?,Vous suivez ce MOOC pour : [Pour vous réorienter l'an prochain],Pourquoi suivez-vous ce MOOC ?,Dans quelle classe est-il ?,Vous suivez ce MOOC en même temps que votre enfant :,Vous êtes :,Dans quel type d'établissement travaillez-vous ? [Lycée d’enseignement général et technologique],Dans quel type d'établissement travaillez-vous ? [Lycée professionnel],Dans quel type d'établissement travaillez-vous ? [Lycée en zone d’éducation prioritaire],Dans quel type d'établissement travaillez-vous ? [Lycée français à l’étranger],Vous suivez ce MOOC :,Avez-vous recommandé à vos élèves de le suivre ?,Comptez-vous réutiliser des informations de ce MOOC dans votre lycée ?,Envisagez-vous d’intégrer le MOOC dans les actions d’accompagnement à l’orientation mises en place dans votre lycée ?,Connaissez-vous la démarche d’atelier autour des MOOC d’orientation que FUN propose aux équipes éducatives des lycées ?  https://www.mooc-orientation.fr/ ,Pourquoi suivez-vous ce MOOC ?.1
Féminin, France,2002,Lycéen,Oui,Non,Non,Non,Non,Oui,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, Maroc,2003,Lycéen,Oui,Non,Non,Non,Non,Oui,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, Togo,1996,Etudiant / élève post bac,,,,,,,,,,L1,Sciences du vivant et géosciences,Non,,,,,,,,,,,,,,
Féminin, Maroc,1997,Etudiant / élève post bac,,,,,,,,,,Autre,Sciences du vivant et géosciences,Non,,,,,,,,,,,,,,
Féminin, France,2003,Lycéen,Oui,Non,Oui,Non,Non,Non,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,2005,Autre,,,,,,,,,,,,,,,,,,,,,,,,,,
Féminin, France,2002,Lycéen,Oui,Non,Oui,Non,Non,Oui,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,2002,Lycéen,Oui,Non,Non,Non,Non,Non,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, Belgique,2002,Lycéen,Oui,Non,Oui,Non,Oui,Non,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,1990,"Salarié ou sans emploi, en projet de reconversion",,,,,,,,,,,,,,,,,,,,,,,,,,Vous envisagez une reprise d’études
Féminin, France,2004,Lycéen,Oui,Non,Oui,Non,Non,Non,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,2004,Lycéen,Oui,Non,Oui,Non,Non,Non,Non,Non,bac général,,,,,,,,,,,,,,,,,
Féminin, France,1998,Etudiant / élève post bac,,,,,,,,,,L3,Sciences économiques et de gestion,Oui,,,,,,,,,,,,,,
Féminin, France,1995,Autre,,,,,,,,,,,,,,,,,,,,,,,,,,
Féminin, France,2000,Etudiant / élève post bac,,,,,,,,,,L2,Sciences du vivant et géosciences,Non,,,,,,,,,,,,,,
Féminin, France,2005,Autre,,,,,,,,,,,,,,,,,,,,,,,,,,
