$Code Evamed$,$Motif de demande$,$Code CIS$,$Code CIP$,$Dénomination spécialité$,$Date avis définitif$,$ASMR$,$Valeur ASMR$,$Libellé ASMR$
$CT-18141$,$Inscription (CT)$,$67271457$,$3400955067993|3400955068013|3400955068006$,$CISATRACURIUM KALCEKS 2 mg/ml$,$20/11/2019$,$ASMR$,$V$,"$La spécialité CISATRACURIUM KALCEKS 2 mg/ml, solution injectable/pour perfusion n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport au princeps NIMBEX 2 mg/ml, solution injectable/pour perfusion.$"
$CT-18136$,$Inscription (CT)$,$63558577$,$3400955001690|3400955001782|3400955001775|3400955001768|3400955001751|3400955001744|3400955001720|3400955001713|3400955001706$,"$PROPOFOL BAXTER10 mg/mL, émulsion pour perfusion$",$23/10/2019$,$ASMR$,$V$,$Les spécialités PROPOFOL BAXTER n’apportent pas d’amélioration du service médical rendu (ASMR V) par rapport au princeps DIPRIVAN.$
$CT-18127$,$Inscription (CT)$,$63017696$,$3400930186510|3400955067771$,"$MITOMYCINE SUBSTIPHARM 20 mg, poudre pour solution injectable$",$06/11/2019$,$ASMR$,$V$,$La spécialité MITOMYCINE SUBSTIPHARM 20 mg n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport au princeps AMETYCINE.$
$CT-18123$,$Inscription (CT)$,$64936439$,$3400930187210$,"$GLIVEC 100 mg,$",$06/11/2019$,$ASMR$,$V$,$Cette présentation n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport aux présentations déjà inscrites.$
$CT-18121$,$Inscription (CT)$,$64211572$,$3400930189443$,"$POSACONAZOLE OHRE PHARMA 40 mg/mL, suspension buvable$",$23/10/2019$,$ASMR$,$V$,"$Cette spécialité est un générique qui n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport au princeps NOXAFIL 40 mg/ml, suspension buvable.$"
$CT-18114$,$Inscription (CT)$,$63053030$,$3400955068228$,"$CLOFARABINE ACCORD 1 mg/ml, solution à diluer pour perfusion$",$06/11/2019$,$ASMR$,$V$,"$Cette spécialité n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport à la spécialité de référence EVOLTRA 1 mg/mL, solution à diluer pour perfusion, déjà inscrite.$"
$CT-18099$,$Inscription (CT)$,$66499002$,$3400930187364$,$CROMOPTIC 2 % collyre en solution$,$06/11/2019$,$ASMR$,$V$,"$La spécialité CROMOPTIC 2 %, collyre en solution en flacon de 10 ml avec compte-goutte  n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport aux autres présentations de CROMOPTIC 2 %, collyre en solution déjà inscrites.$"
$CT-18095$,$Inscription (CT)$,$60886501$,$3400930153529$,"$BORTEZOMIB OHRE PHARMA 3,5mg$",$23/10/2019$,$ASMR$,$V$,"$Les spécialités BORTEZOMIB OHRE 1mg, poudre pour solution injectable et BORTEZOMIB OHRE 3,5 mg, poudre pour solution injectable, n’apportent pas d’amélioration du service médical rendu (ASMR V) par rapport aux spécialités VELCADE 1 mg, poudre pour solution injectable, et VELCADE 3,5 mg, poudre pour solution injectable, déjà inscrites.$"
$CT-18095$,$Inscription (CT)$,$69794641$,$3400930153512$,"$BORTEZOMIB OHRE PHARMA, poudre pour solution injectable$",$23/10/2019$,$ASMR$,$V$,"$Les spécialités BORTEZOMIB OHRE 1mg, poudre pour solution injectable et BORTEZOMIB OHRE 3,5 mg, poudre pour solution injectable, n’apportent pas d’amélioration du service médical rendu (ASMR V) par rapport aux spécialités VELCADE 1 mg, poudre pour solution injectable, et VELCADE 3,5 mg, poudre pour solution injectable, déjà inscrites.$"
$CT-18093$,$Inscription (CT)$,$66752509$,$3400955052579|3400955052609|3400955052586$,$PEMETREXED OHRE PHARMA 25 mg/ml$,$06/11/2019$,$ASMR$,$V$,$Les spécialités PEMETREXED OHRE PHARMA n’apportent pas d’amélioration du service médical rendu (ASMR V) par rapport aux spécialités ALIMTA déjà inscrites.$
$CT-18090$,$Inscription (CT)$,$64512668$,$3400930186817|3400930186831$,$POSACONAZOLE ACCORD 100 mg$,$23/10/2019$,$ASMR$,$V$,"$Cette spécialité est un générique qui n’apporte pas d’amélioration du service médical rendu (ASMR V) par rapport au princeps NOXAFIL 100 mg, comprimé gastro-résistant.$"
$CT-18089$,$Extension d'indication$,$60534795$,$3400957702632|3400957703172|3400957703004|3400957702922|3400957702861$,"$FLEBOGAMMA DIF 50 mg/ml, solution pour perfusion$",$23/10/2019$,$ASMR$,$V$,$La Commission considère que FLEBOGAMMA DIF n’apporte pas d’amélioration du service médical rendu (ASMR V) dans la prise en charge des PIDC ou NMM par rapport aux autres immunoglobulines humaines normales administrées par voie sous-cutanée ou intraveineuse et ayant les mêmes indications.$
$CT-18089$,$Extension d'indication$,$64181442$,$3400957981556|3400957981785|3400957981617$,"$FLEBOGAMMA DIF 100 mg/ml, solution pour perfusion$",$23/10/2019$,$ASMR$,$V$,$La Commission considère que FLEBOGAMMA DIF n’apporte pas d’amélioration du service médical rendu (ASMR V) dans la prise en charge des PIDC ou NMM par rapport aux autres immunoglobulines humaines normales administrées par voie sous-cutanée ou intraveineuse et ayant les mêmes indications.$
$CT-18084$,$Inscription (CT)$,$67470459$,$3400930187845|3400930187869$,$OPTIJECT 300$,$23/10/2019$,$ASMR$,$V$,$Ces présentations sont des compléments de gamme qui n’apportent pas d’amélioration du service médical rendu (ASMR V) par rapport aux présentations déjà inscrites.$
$CT-18084$,$Inscription (CT)$,$62823503$,$3400930187876|3400930187883$,$OPTIJECT 350$,$23/10/2019$,$ASMR$,$V$,$Ces présentations sont des compléments de gamme qui n’apportent pas d’amélioration du service médical rendu (ASMR V) par rapport aux présentations déjà inscrites.$
$CT-18081$,$Inscription (CT)$,$66112441$,$3400930132951$,"$URAPIDIL STRAGEN 25 mg/5 ml, solution injectable$",$06/11/2019$,$ASMR$,$V$,"$Les spécialités URAPIDIL STRAGEN 25 mg/5 ml, 50 mg/10 ml et 100 mg/20 ml, solution injectable sont des génériques qui n’apportent pas d’amélioration du service médical rendu (ASMR V) par rapport aux princeps EUPRESSYL 25 mg/5 ml, 50 mg/10 ml et 100 mg/20 ml, solution injectable.$"
$CT-18081$,$Inscription (CT)$,$65287548$,$3400930132975$,"$URAPIDIL STRAGEN 100 mg/20 ml, solution injectable$",$06/11/2019$,$ASMR$,$V$,"$Les spécialités URAPIDIL STRAGEN 25 mg/5 ml, 50 mg/10 ml et 100 mg/20 ml, solution injectable sont des génériques qui n’apportent pas d’amélioration du service médical rendu (ASMR V) par rapport aux princeps EUPRESSYL 25 mg/5 ml, 50 mg/10 ml et 100 mg/20 ml, solution injectable.$"
$CT-18081$,$Inscription (CT)$,$67538433$,$3400930132968$,"$URAPIDIL STRAGEN 50 mg/10 ml, solution injectable$",$06/11/2019$,$ASMR$,$V$,"$Les spécialités URAPIDIL STRAGEN 25 mg/5 ml, 50 mg/10 ml et 100 mg/20 ml, solution injectable sont des génériques qui n’apportent pas d’amélioration du service médical rendu (ASMR V) par rapport aux princeps EUPRESSYL 25 mg/5 ml, 50 mg/10 ml et 100 mg/20 ml, solution injectable.$"
