critere,question,reponse,type_territoire,resultat
"Vous, l'établissement et ses caractéristiques",Q4A. Combien y a-t-il d'élèves dans votre établissement ?,De 0 à moins de 50,URBAIN,2
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,"Q11.2. Si Oui, comment sera financée l'acquisition de votre prochain ordinateur ? (Plusieurs réponses possibles)","Autres, précisez :",URBAIN,7
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16b. L’établissement utilise-t-il…-Une plate-forme de travail collaboratif,NON,URBAIN,92
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q16e. L’établissement utilise-t-il…-Une plateforme de soutien scolaire,NSP,URBAIN,5
Les usages TIC au sein de votre établissement,Q22. Les élèves ont-il accès aux outils informatiques de l’établissement en-dehors du temps scolaire ?,"Oui, sans encadrement",URBAIN,12
Les usages TIC au sein de votre établissement,Q23eO. Nom du logiciel,Total pronote,URBAIN,13
Les usages TIC au sein de votre établissement,Q23i. Dans le fonctionnement de l'établissement les TIC sont utilisées pour...-Partager ou accéder à de l’information à distance,Non,URBAIN,41
Les usages TIC au sein de votre établissement,"Q25b. Pour communiquer avec les familles, l’établissement utilise-t-il… -Le téléphone mobile des parents",Oui,URBAIN,128
"Vous, l'établissement et ses caractéristiques",Q4A. Combien y a-t-il d'élèves dans votre établissement ?,200 et plus,PERIURBAIN,4
L’équipement TIC de votre établissement - Connexion,Q13. Répartition des ordinateurs,A la bibliothèque / centre de documentation,PERIURBAIN,1
Les usages TIC au sein de votre établissement,"Q21e. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Vidéo",NON,PERIURBAIN,2
Les usages TIC au sein de votre établissement,"Q25c. Pour communiquer avec les familles, l’établissement utilise-t-il… -Le courrier postal",Non,PERIURBAIN,5
Les usages TIC au sein de votre établissement,"Q26b. Diriez-vous, que les TIC apportent des contraintes au fonctionnement de l’établissement ?",Non,PERIURBAIN,12
Les usages TIC au sein de votre établissement,"Q29a. Diriez-vous, que les enseignants considèrent queleurs élèves …?-maîtrisent les outils du numérique",Pas du tout,PERIURBAIN,2
"Vous, l'établissement et ses caractéristiques",Q4B. Combien y a-t-il d'enseignants dans votre établissement ?,Moyenne,RURAL,10
"Vous, l'établissement et ses caractéristiques","Concernantles effectifs de l’établissement, combien y a-t-il…-D'autres personnels - Nombres entiers",Moyenne,RURAL,12
"Vous, l'établissement et ses caractéristiques",Q6. Les équipements audiovisuels de l’établissement sont-ils gérés par une personne dédiée ?,Non,RURAL,55
L’équipement TIC de votre établissement - Connexion,Q14.1. L'établissement a-t-il une connexion internet ?,L' établissement a une connexion internet,RURAL,71
Les usages TIC au sein de votre établissement,"Q19. Selon vous, quel est le nombre d'enseignants qui utilisent les TIC pour la préparation de leurs cours ?",Moyenne,RURAL,8
Les usages TIC au sein de votre établissement,"Q21c. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Travail collaboratif",NON,RURAL,36
Les usages TIC au sein de votre établissement,"Q21e. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Vidéo",NSP,RURAL,6
Les usages TIC au sein de votre établissement,Q23fO. Nom du logiciel,Total Pronote,RURAL,10
"Vous, l'établissement et ses caractéristiques",Q6. Les équipements audiovisuels de l’établissement sont-ils gérés par une personne dédiée ?,Oui,URBAIN,42
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,Q10. De combien d'ordinateurs à usage pédagogique l'établissement est-il équipé ?,Ordinateurs fixes,URBAIN,108
Les usages TIC au sein de votre établissement,Q23fO. Nom du logiciel,one click,URBAIN,0
Les usages TIC au sein de votre établissement,Q24b. L’établissement dispose-t-il...-D'une plateforme de cours en ligne,Non,URBAIN,117
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q15b. L’établissement est-il équipé des outils suivants ?-Des vidéoprojecteurs,NON,PERIURBAIN,6
Les usages TIC au sein de votre établissement,"Q21b. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sont les usages ?-Logiciel éducatif",NON,PERIURBAIN,6
Les usages TIC au sein de votre établissement,"Q21d. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Iconographie, photo, illustrations",OUI,PERIURBAIN,13
Les usages TIC au sein de votre établissement,"Q21d. Pour ceux qui utilisent les TIC directement en cours avec leurs élèves, quels sontles usages ?-Iconographie, photo, illustrations",NSP,PERIURBAIN,1
Les usages TIC au sein de votre établissement,Q23aO. Merci d'indiquer le nom du logiciel,Total itslearning (leia),PERIURBAIN,0
Les usages TIC au sein de votre établissement,"Q25d. Pour communiquer avec les familles, l’établissement utilise-t-il… -L’e-mail",Oui,PERIURBAIN,7
"Vous, l'établissement et ses caractéristiques",Q3. Quelle est votre fonction au sein de l'établissement ?,Chef d’établissement ou adjoint,RURAL,60
"Vous, l'établissement et ses caractéristiques",Q4A. Combien y a-t-il d'élèves dans votre établissement ?,De 0 à moins de 50,RURAL,29
"Vous, l'établissement et ses caractéristiques",Q5.1. Les équipements informatiques de l’établissement sont-ils gérés par une ou plusieurs personnes ?,Plusieurs personnes,RURAL,22
"Vous, l'établissement et ses caractéristiques",Q5.2. Par qui sont gérés les équipements informatiques de l’établissement (plusieurs réponses possibles) ?,Personnel administratif,RURAL,13
"Vous, l'établissement et ses caractéristiques","Q8. Si Oui, qui y participe ? (Plusieurs réponses possibles)",Nombre moyen de réponses cochées,RURAL,3
L’équipement TIC de votre établissement - Equipements informatiques de l’établissement,Q10. De combien d'ordinateurs à usage pédagogique l'établissement est-il équipé ?,Ordinateurs portables,RURAL,3
L’équipement TIC de votre établissement - Connexion,Q13. Répartition des ordinateurs,Dans les salles de classe,RURAL,13
L’équipement TIC de votre établissement - Autres équipements et outils TIC,Q15d. L’établissement est-il équipé des outils suivants ?-Un réseau WiFi,NSP,RURAL,3
