annee,commune_code_insee,id_salle,nom,adresse,code_postal,commune,notation,libelle_notation,direction_artistique,personnel_administratif_technique,scene,loges,regie,site_internet,proprietaire,exploitant,jauge_debout,jauge_assis,jauge_PV,lat,long,accessibilite,hauteur_utile
2013,56001,C_56001100,Maison du Temps Libre,Rue Saint-Hilaire,56350,Allaire,2,salle peu équipée,Non,Non,Oui,,,www.allaire.fr,Commune,Commune,690,230,690,"47,66","-2,16452",Salle et scène inaccessibles aux personnes à mobilité réduite,
2013,56002,C_56002100,Salle multifonctions de l'Espace du Lenn,Rue du Lenn,56190,Ambon,5,salle de spectacle multifonctions,Non,Non,Oui,1 loge collective avec sanitaires et miroirs,,www.ambon.fr,Commune,Commune,1100,400,1359 pour l'ensemble du bâtiment,"47,55","-2,54798",Salle accessible aux personnes à mobilité réduite,"4,80m"
2013,56003,C_56003100,Auditorium de la Médiathèque,Rue Plessis d'Arradon,56610,Arradon,4,salle de spectacle multifonctions,Non,Non,Oui,,"1 régie vitrée en fond de salle. 2 Rac avec lecteurs DVD, ampli home cinéma, 1 table de mixage, gradateurs projecteurs.",www.arradon.com,Commune,Commune,80,73,nc,"47,63","-2,82653",Salle accessible aux personnes à mobilité réduite,"4,00m"
2013,56003,C_56003101,La Lucarne,Rue de l'île Boëdic BP11,56610,Arradon,6,salle de spectacle,Oui,Oui,Oui,2 loges avec douches,"1 régie en fond de salle, derrière les gradins",www.lalucarne-arradon.fr,Commune,Commune,700,300,1416,"47,63","-2,822038",Salle et scène accessibles aux personnes à mobilité réduite,"8,30m"
2013,56004,C_56004100,Salle polyvalente,Rue du Stade,56190,Arzal,1,salle non équipée,Non,Non,Oui,,,www.arzal.fr,Commune,Commune,300,200,300 pour la salle polyvalente,"47,51","-2,37709",Salle accessible aux personnes à mobilité réduite,"2,30m"
2013,56005,C_56005100,La Voilerie Danses,"ZA du Rédo, rue des Calfats",56640,Arzon,1,salle non équipée,Non,Oui,Non,,,www.soniconedanse.com/,Isabelle Lefèvre,Association Son'icone Danse,50,50,50,"47,55","-2,88428",Salle accessible aux personnes à mobilité réduite,"3,25m"
2013,56005,C_56005101,Maison du Port,"Place des Huniers, Port du Crouesty",56640,Arzon,2,salle peu équipée,Non,Oui,Oui,,,www.crouesty.fr,Commune d'Arzon,Office de Tourisme d'Arzon,336,220,336,"47,55","-2,89035",Salle accessible aux personnes à mobilité réduite,"4,40m"
2013,56005,C_56005102,Moulin de Pen Castel,rue de Keravello,56640,Arzon,1,salle non équipée,Non,Oui,Non,,,www.moulindepencastel.over-blog.com,Commune d'Arzon,Office de Tourisme d'Arzon,80,60,nc,"47,55","-2,869084",Salle accessible aux personnes à mobilité réduite,"3,00m"
2013,56006,C_56006100,Salle multifonctions,Rue du Verger,56800,Augan,3,salle peu équipée,Non,Non,Oui,,,,Commune,Commune,400,250,nc,"47,92","-2,28075",Salle accessible aux personnes à mobilité réduite,"2,95m"
2013,56007,C_56007100,Centre culturel Athéna,Place du Gohlérez,56400,Auray,6,salle de spectacle,Oui,Oui,Oui,"4 loges de 4 à 6 personnes, avec douche et sanitaires","1 poursuite en fond de salle, régie au-dessus des balcons, axe central de la salle",www.auray.fr,Commune,Commune,1234,712,nc,"47,67","-2,9892",Salle accessible aux personnes à mobilité réduite,"8,50m"
2013,56007,C_56007101,Le Petit Théâtre,103 place de la République,56400,Auray,3,salle peu équipée,Non,Non,Oui,,,www.auray.fr,Commune,Commune,210,190,210,"47,67","-2,98332","Salle accessible aux personnes à mobilité réduite par la mairie, par conséquent seulement en journée.","4,40m"
2013,56009,C_56009100,Salle Polyvalente,23 rue Claude Monnet,56360,Bangor,2,salle peu équipée,Non,Non,Oui,,,www.bangor.fr,Commune,Commune,252,100,nc,"47,32","-3,18889",Salle accessible aux personnes à mobilité réduite,"2,85m"
2013,56010,C_56010100,Auditorium de la Maison des Arts,Rue Emile Le Labourer,56150,Baud,4,salle de spectacle multifonctions,Non,Oui,Oui,une salle de classe attenante peut faire office de loge,,www.baud-communaute.fr/la-maison-des-arts/,Commune,Commune,120,80,246 pour l'ensemble du bâtiment,"47,87","-3,01406",Salle et scène accessibles aux personnes à mobilité réduite,
2013,56010,C_56010101,Complexe du Scaou?t,Rue Emile Le Labourer,56150,Baud,5,salle de spectacle multifonctions,Non,Non,Oui,"1 loge avec sanitaire, accès à la scène par jardin",,www.mairie-baud.fr,Commune,Commune,700,500,1529 pour l'ensemble du bâtiment,"47,87","-3,01406",Salle accessible aux personnes à mobilité réduite,"4,25m"
2013,56011,C_56011100,Salle polyvalente du Bois Joli,Le Bois Joli,56350,Béganne,4,salle de spectacle multifonctions,Non,Non,Oui,,,www.beganne.fr,Commune,Commune,300,180,nc,"47,6","-2,24331",Salle et scène inaccessibles aux personnes à mobilité réduite,"2,90m"
2013,56012,C_56012100,Salle multifonctions,26 rue St Cyr Coetquidan,56380,Beignon,4,salle de spectacle multifonctions,Non,Non,Oui,1 loge,,,Commune,Commune,338,338,333,"47,97","-2,17012",Salle accessible aux personnes à mobilité réduite,"3,65m"
2013,56013,C_56013100,Salle des Astéries,1 allée des Astéries,56550,Belz,0,salle non équipée,Non,Non,Non,,,www.mairie-belz.fr,Commune,Commune,300,180,nc,"47,67","-3,16952",Salle accessible aux personnes à mobilité réduite,"2,50m"
2013,56014,C_56014100,Salle polyvalente,Le Bourg,56240,Berné,3,salle peu équipée,Non,Non,Oui,,,www.berne-morbihan.fr,Commune,Commune,850,400,850,48,"-3,39352",Salle accessible aux personnes à mobilité réduite,"2,40m"
2013,56015,C_56015100,Salle culturelle Le Verger,Rue du Verger,56230,Berric,4,salle de spectacle multifonctions,Non,Oui,Oui,2 loges avec douche et sanitaires,,,Commune,Commune,1000,495,1454 pour l'ensemble du bâtiment,"47,63","-2,52482",Salle accessible aux personnes à mobilité réduite,"4,50m"
2013,56016,C_56016100,Salle polyvalente,Rue Maralys,56310,Bieuzy,2,salle peu équipée,Non,Non,Oui,,,www.bieuzy.fr,Commune,Commune,400,280,nc,"47,99","-3,06406",Salle accessible aux personnes à mobilité réduite,"2,45m"
2013,56017,C_56017100,Salle des fêtes,Rue de la Claie,56500,Bignan,5,salle de spectacle multifonctions,Non,Non,Oui,"2 loges avec miroirs, 2 lavabos et des sanitaires",,www.mairie-bignan.fr,Commune,Commune,656,300,656,"47,88","-2,77173",Salle accessible aux personnes à mobilité réduite,"4,35m"
2013,56019,C_56019100,Salle polyvalente,Le Bourg,56420,Billio,0,salle non équipée,Non,Non,Non,,,www.billio.fr,Commune,Commune,200,130,nc,"47,87","-2,6332",Salle et scène inaccessibles aux personnes à mobilité réduite,"3,60m"
2013,56020,C_56020100,Salle des associations,Place des Tilleuls,56140,Bohal,0,salle non équipée,Non,Non,Non,,,www.bohal.fr,Commune,Commune,50,50,nc,"47,78","-2,43788",Salle accessible aux personnes à mobilité réduite,"3,00m"
2013,56020,C_56020101,Salle multifonctions,Avenue du Stade,56140,Bohal,4,salle de spectacle multifonctions,Non,Non,Oui,1 loge avec sanitaires,,www.bohal.fr,Commune,Commune,500,200,345,"47,78","-2,44173",Salle accessible aux personnes à mobilité réduite,"5,20m"
2013,56021,C_56021100,Espace Saint-Exupéry - Salle Argoat,Rue Joseph Le Bouille,56700,Brandérion,5,salle de spectacle multifonctions,Non,Non,Oui,"1 local côté jardin qui fait office de régie ou de loge, 1 local avec miroir qui peut servir de loge également mais pas équipés, pas de sanitaires. ",,www.branderion.com,Commune,Commune,300,300,924 pour l'ensemble du bâtiment,"47,8","-3,2016",Salle accessible aux personnes à mobilité réduite,"3,90m"
2013,56022,C_56022100,Salle de l'Etang de la Forêt,L'Etang de la Foret,56390,Brandivy,0,salle non équipée,Non,Non,Non,,,www.brandivy.fr,Commune,Commune,100,100,nc,"47,79","-2,9167",Salle accessible aux personnes à mobilité réduite,"3,20m"
2013,56023,C_56023100,Le Spoum,Manoir de Keryvallan,56400,Brech,5,salle de spectacle multifonctions,Oui,Oui,Oui,"Possibilité de loge à l'étage dans le studio de répétition, grand espace lumineux avec douche, WC et lavabo",,www.theatre-ecume.org,Alain Guhur,Compagnie du Théâtre de l'Ecume,non,95,103,"47,7","-3,00725",Salle accessible aux personnes à mobilité réduite,"3,45m"
2013,56024,C_56024100,Espace Dr. Jean Saulnier,Rue Saint-Louis,56580,Bréhan,4,salle de spectacle multifonctions,Non,Non,Oui,,1 régie vitrée en fond de salle côté cour,www.brehan.fr,Commune,Commune,450,300,nc,"48,06","-2,68812",Salle accessible aux personnes à mobilité réduite,"2,70m"
2013,56024,C_56024101,Pôle associatif St Louis,3 impasse St Louis,56580,Bréhan,2,salle peu équipée,Non,Non,Oui,,,www.brehan.fr,Commune,Commune,nc,nc,nc,"48,06","-2,6865331",Salle accessible aux personnes à mobilité réduite,"2,70m"
2013,56025,C_56025100,Salle Le Verger,Rue du Verger,56430,Brignac,1,salle non équipée,Non,Non,Oui,,,,Commune,Commune,150,120,180,"48,12","-2,36673",Salle accessible aux personnes à mobilité réduite,"2,30m"
2013,56026,C_56026100,Salle polyvalente,Rue Poulna,56310,Bubry,1,salle non équipée,Non,Non,Oui,,,www.cc-plouay.fr,Commune,Commune,350,300,350,"47,96","-3,17736",Salle accessible aux personnes à mobilité réduite,"3,50m"
2013,56027,C_56027100,Salle de Buléon,,56420,Buléon,1,salle non équipée,Non,Non,,,,,,,250,250,nc,"47,93","-2,6756423",,
2013,56028,C_56028100,Salle des Tilleuls,Rue de la Mairie,56220,Caden,5,salle de spectacle multifonctions,Non,Non,Oui,1 loge avec douche et sanitaires. Elle est utilisée actuellement comme local rangement,1 régie en fond de salle,,Commune,Commune,non,232,232,"47,63","-2,28427",Salle accessible aux personnes à mobilité réduite,"4,65m"
2013,56030,C_56030100,Salle polyvalente,1 place de la Mairie,56130,Camoël,0,salle non équipée,Non,Non,Non,,,www.camoel.fr,Commune,Commune,150,100,nc,"47,48","-2,39721",Salle accessible aux personnes à mobilité réduite,"3,10m"
2013,56031,C_56031100,Salle multifonctions du Petit Bois,Le Petit Bois,56330,Camors,3,salle peu équipée,Non,Non,Oui,2 petits locaux à jardin et cour. Celui qui se trouve à jardin a des WC et 1 lavabo.,,www.camors56.com,Commune,Commune,420,320,420,"47,85","-3,01454",Salle accessible aux personnes à mobilité réduite,"2,80m"
2013,56032,C_56032100,Salle polyvalente,Rue de l'Etang,56800,Campénéac,1,salle non équipée,Non,Non,Oui,,,www.campeneac.fr,Commune,Commune,350,300,1013 pour l'ensemble du bâtiment,"47,96","-2,28934",Salle accessible aux personnes à mobilité réduite,"5,00m"
2013,56033,C_56033100,Salle polyvalente,Rue du Bois Vert,56910,Carentoir,2,salle peu équipée,Non,Non,Podium,,,www.carentoir.com,Commune,Commune,300,250,507 pour l'ensemble du bâtiment,"47,81","-2,13851",Salle accessible aux personnes à mobilité réduite,"4,40m"
2013,56034,C_56034100,Auditorium du Centre culturel Terraqué,26 rue du Tumulus,56340,Carnac,5,salle de spectacle multifonctions,Oui,Oui,Oui,1 loge avec sanitaire. Accès par jardin,1 régie vitrée en fond de salle,www.terraque.fr,Commune,Commune,non,99,nc,"47,58","-3,07634",Salle et scène accessibles aux personnes à mobilité réduite,"4,30m"
2013,56034,C_56034101,Salle du Ménec,Chemin du Nilestrec,56340,Carnac,5,salle de spectacle multifonctions,Non,Non,Oui,2 petites loges individuelles avec miroir mais sans point d'eau.,,www.carnac.fr,Commune,Commune,350,250,nc,"47,59","-3,08587",Salle accessible aux personnes à mobilité réduite,"3,60m"
