Code dossier_T0_Début suspension_Fin suspension_Date avis définitif_Date envoi CEPS
CT-19364;23/06/2021;;;21/07/2021;22/07/2021
CT-19361;21/06/2021;;;07/07/2021;20/07/2021
CT-19329;31/05/2021;;;16/06/2021;29/06/2021
CT-19328;31/05/2021;;;07/07/2021;20/07/2021
CT-19314;21/05/2021;;;30/06/2021;01/07/2021
CT-19311;20/05/2021;;;07/07/2021;09/07/2021
CT-19309;19/05/2021;;;30/06/2021;02/07/2021
CT-19306;19/05/2021;;;30/06/2021;02/07/2021
CT-19305;18/05/2021;;;02/06/2021;04/06/2021
CT-19299;28/06/2021;;;21/07/2021;07/07/2021
CT-19286;06/05/2021;;;23/06/2021;06/07/2021
CT-19268;19/04/2021;;;21/07/2021;07/07/2021
CT-19267;19/04/2021;19/04/2021;10/05/2021;23/06/2021;15/07/2021
CT-19263;21/06/2021;;;07/07/2021;20/07/2021
CT-19257;13/04/2021;;;05/05/2021;06/05/2021
CT-19251;12/04/2021;;;05/05/2021;07/05/2021
CT-19248;12/04/2021;;;07/07/2021;28/07/2021
CT-19244;07/04/2021;;;07/07/2021;16/07/2021
CT-19243;06/04/2021;;;21/04/2021;29/04/2021
CT-19242;06/04/2021;;;21/04/2021;28/04/2021
CT-19239;02/04/2021;28/04/2021;30/04/2021;19/05/2021;28/05/2021
CT-19238;01/04/2021;;;21/07/2021;26/07/2021
CT-19236;01/04/2021;;;21/07/2021;26/07/2021
CT-19230;26/05/2021;;;02/06/2021;23/06/2021
CT-19224;30/03/2021;;;21/04/2021;28/04/2021
CT-19221;29/03/2021;;;07/07/2021;21/07/2021
CT-19220;29/03/2021;;;07/07/2021;21/07/2021
CT-19212;04/05/2021;;;02/06/2021;15/06/2021
CT-19211;18/03/2021;;;21/07/2021;03/08/2021
CT-19210;18/03/2021;;;21/04/2021;28/04/2021
CT-19204;18/03/2021;09/04/2021;26/04/2021;05/05/2021;07/05/2021
CT-19201;16/03/2021;;;30/06/2021;29/07/2021
CT-19198;12/03/2021;;;21/04/2021;21/04/2021
CT-19193;12/03/2021;;;21/04/2021;30/04/2021
CT-19185;12/03/2021;;;21/04/2021;30/04/2021
CT-19177;08/03/2021;;;07/04/2021;15/04/2021
CT-19172;04/03/2021;;;02/06/2021;22/06/2021
CT-19171;03/03/2021;;;05/05/2021;05/05/2021
CT-19166;04/03/2021;;;24/03/2021;01/04/2021
CT-19159;25/02/2021;;;30/06/2021;20/07/2021
CT-19158;25/02/2021;;;30/06/2021;20/07/2021
CT-19157;26/02/2021;;;07/07/2021;20/07/2021
CT-19147;18/02/2021;;;02/06/2021;16/06/2021
CT-19144;17/02/2021;;;16/06/2021;25/06/2021
CT-19143;15/02/2021;;;21/04/2021;21/04/2021
CT-19140;16/02/2021;;;24/03/2021;06/04/2021
CT-19138;12/02/2021;;;07/04/2021;14/04/2021
CT-19134;11/02/2021;;;02/06/2021;18/06/2021
CT-19132;11/02/2021;;;02/06/2021;15/06/2021
CT-19128;05/02/2021;;;24/03/2021;25/03/2021
CT-19126;05/02/2021;;;30/06/2021;20/07/2021
CT-19124;02/02/2021;02/02/2021;09/03/2021;24/03/2021;09/04/2021
CT-19123;02/02/2021;;;30/06/2021;08/07/2021
CT-19122;02/02/2021;;;24/03/2021;06/04/2021
CT-19121;09/04/2021;09/04/2021;16/04/2021;02/06/2021;04/06/2021
CT-19119;01/02/2021;;;07/04/2021;21/04/2021
CT-19117;01/02/2021;;;19/05/2021;07/06/2021
CT-19116;29/01/2021;;;05/05/2021;06/05/2021
CT-19115;12/02/2021;;;02/06/2021;14/06/2021
CT-19110;28/01/2021;28/01/2021;17/02/2021;24/03/2021;01/04/2021
CT-19109;28/01/2021;;;19/05/2021;31/05/2021
CT-19102;25/01/2021;;;21/07/2021;02/08/2021
CT-19098;09/02/2021;;;16/06/2021;17/06/2021
CT-19096;17/03/2021;;;19/05/2021;01/06/2021
CT-19095;03/03/2021;18/01/2021;28/01/2021;02/06/2021;11/06/2021
CT-19095;03/03/2021;03/03/2021;10/04/2021;02/06/2021;11/06/2021
CT-19090;18/01/2021;;;24/03/2021;09/04/2021
CT-19088;15/01/2021;;;03/02/2021;03/02/2021
CT-19087;15/01/2021;;;03/03/2021;16/03/2021
CT-19084;13/01/2021;;;03/02/2021;04/02/2021
CT-19080;18/05/2021;;;02/06/2021;15/06/2021
CT-19076;07/01/2021;;;03/02/2021;15/02/2021
CT-19070;29/12/2020;;;07/04/2021;05/05/2021
CT-19069;30/12/2020;;;07/04/2021;20/04/2021
CT-19068;23/12/2020;;;20/01/2021;26/01/2021
CT-19067;23/12/2020;23/12/2020;10/05/2021;02/06/2021;22/06/2021
CT-19063;22/12/2020;;;02/06/2021;30/06/2021
CT-19062;22/12/2020;;;16/06/2021;30/06/2021
CT-19060;22/12/2020;;;21/04/2021;21/04/2021
CT-19059;18/12/2020;;;24/03/2021;30/03/2021
CT-19058;18/12/2020;;;07/04/2021;28/04/2021
CT-19057;18/12/2020;;;05/05/2021;05/05/2021
CT-19056;18/12/2020;;;21/04/2021;11/05/2021
CT-19053;18/12/2020;;;24/03/2021;06/04/2021
CT-19050;18/12/2020;;;20/01/2021;20/01/2021
CT-19049;15/12/2020;;;24/03/2021;01/04/2021
CT-19047;05/02/2021;;;05/05/2021;10/05/2021
CT-19045;06/04/2021;;;19/05/2021;07/06/2021
CT-19044;06/04/2021;;;05/05/2021;17/05/2021
CT-19043;13/01/2021;13/01/2021;26/01/2021;21/04/2021;06/05/2021
CT-19035;10/12/2020;;;03/03/2021;11/03/2021
CT-19034;11/12/2020;;;07/04/2021;16/04/2021
CT-19032;10/12/2020;13/01/2021;18/01/2021;02/06/2021;22/06/2021
CT-19031;23/12/2020;;;03/02/2021;05/02/2021
CT-19028;04/12/2020;21/01/2021;05/02/2021;07/04/2021;07/04/2021
CT-19027;04/12/2020;;;21/04/2021;04/05/2021
CT-19023;03/12/2020;;;06/01/2021;06/01/2021
CT-19022;03/12/2020;;;06/01/2021;06/01/2021
CT-19021;17/12/2020;;;03/02/2021;24/02/2021
CT-19020;02/12/2020;;;17/02/2021;25/02/2021
CT-19019;07/12/2020;;;20/01/2021;22/01/2021
CT-19017;30/11/2020;;;24/03/2021;08/04/2021
CT-19016;27/11/2020;;;06/01/2021;07/01/2021
CT-19015;16/12/2020;;;20/01/2021;26/01/2021
CT-19011;27/11/2020;;;05/05/2021;05/05/2021
CT-19009;24/11/2020;;;05/05/2021;06/05/2021
CT-19005;23/11/2020;;;16/06/2021;16/06/2021
CT-19004;20/11/2020;;;21/04/2021;04/05/2021
CT-19002;19/11/2020;;;21/04/2021;23/04/2021
CT-19001;19/11/2020;14/01/2021;25/01/2021;03/02/2021;10/03/2021
CT-18992;17/11/2020;;;24/03/2021;06/04/2021
CT-18991;17/11/2020;;;02/12/2020;16/12/2020
CT-18989;03/02/2021;;;24/03/2021;27/04/2021
CT-18988;06/01/2021;;;10/03/2021;11/03/2021
CT-18987;11/12/2020;;;19/05/2021;22/06/2021
CT-18985;19/11/2020;;;03/02/2021;05/02/2021
CT-18984;02/02/2021;;;03/03/2021;16/03/2021
CT-18983;15/06/2021;;;30/06/2021;15/07/2021
CT-18979;04/11/2020;;;18/11/2020;20/11/2020
CT-18978;07/01/2021;;;21/04/2021;23/04/2021
CT-18976;07/01/2021;;;21/04/2021;23/04/2021
CT-18966;26/11/2020;04/12/2020;16/03/2021;21/07/2021;22/07/2021
CT-18963;27/10/2020;;;24/03/2021;08/04/2021
CT-18962;27/10/2020;;;02/12/2020;03/12/2020
CT-18961;15/02/2021;28/01/2021;24/02/2021;24/03/2021;06/04/2021
CT-18961;15/02/2021;23/10/2020;15/01/2021;24/03/2021;06/04/2021
CT-18961;15/02/2021;01/03/2021;02/03/2021;24/03/2021;06/04/2021
CT-18960;22/10/2020;;;20/01/2021;20/01/2021
CT-18959;23/10/2020;;;17/02/2021;02/03/2021
CT-18957;23/10/2020;;;10/03/2021;30/03/2021
CT-18956;12/11/2020;;;03/03/2021;16/03/2021
CT-18955;22/10/2020;;;20/01/2021;22/01/2021
CT-18953;21/10/2020;28/01/2021;02/02/2021;10/03/2021;11/03/2021
CT-18945;13/10/2020;;;02/12/2020;08/12/2020
CT-18944;16/11/2020;19/10/2020;16/11/2020;21/04/2021;26/04/2021
CT-18944;16/11/2020;27/11/2020;11/01/2021;21/04/2021;26/04/2021
CT-18942;12/10/2020;26/10/2020;16/11/2020;18/11/2020;08/12/2020
CT-18941;13/10/2020;;;18/11/2020;20/11/2020
CT-18938;08/10/2020;;;21/10/2020;26/10/2020
CT-18933;06/10/2020;;;18/11/2020;27/11/2020
CT-18929;02/10/2020;;;10/03/2021;16/03/2021
CT-18927;02/10/2020;;;18/11/2020;23/11/2020
CT-18924;29/09/2020;;;03/02/2021;23/02/2021
CT-18922;30/09/2020;20/11/2020;27/11/2020;10/03/2021;17/03/2021
CT-18920;28/09/2020;25/09/2020;11/12/2020;10/03/2021;10/03/2021
CT-18919;25/09/2020;;;04/11/2020;12/11/2020
CT-18917;25/09/2020;;;04/11/2020;12/11/2020
CT-18915;23/09/2020;;;02/12/2020;15/12/2020
CT-18913;18/09/2020;18/09/2020;07/12/2020;10/03/2021;15/03/2021
CT-18913;18/09/2020;17/12/2020;06/01/2021;10/03/2021;15/03/2021
CT-18912;09/11/2020;02/12/2020;04/12/2020;03/02/2021;10/02/2021
CT-18908;18/09/2020;;;20/01/2021;22/01/2021
CT-18907;18/09/2020;;;07/10/2020;26/10/2020
CT-18900;11/09/2020;;;02/12/2020;16/12/2020
CT-18899;11/09/2020;;;21/10/2020;29/10/2020
CT-18890;04/09/2020;;;21/10/2020;02/11/2020
CT-18889;04/09/2020;;;02/12/2020;16/12/2020
CT-18887;04/09/2020;03/09/2020;14/10/2020;04/11/2020;10/11/2020
CT-18877;28/08/2020;;;16/12/2020;16/12/2020
CT-18875;28/08/2020;08/09/2020;16/09/2020;18/11/2020;20/11/2020
CT-18875;28/08/2020;29/09/2020;12/11/2020;18/11/2020;20/11/2020
CT-18871;26/08/2020;15/10/2020;10/11/2020;20/01/2021;20/01/2021
CT-18870;07/09/2020;;;07/10/2020;08/10/2020
CT-18866;21/08/2020;;;23/09/2020;25/09/2020
CT-18865;21/08/2020;;;21/10/2020;26/10/2020
CT-18864;21/08/2020;;;21/10/2020;23/10/2020
CT-18860;17/08/2020;;;23/09/2020;25/09/2020
CT-18857;13/08/2020;;;18/11/2020;23/11/2020
CT-18854;12/08/2020;;;07/10/2020;16/10/2020
CT-18849;10/08/2020;;;23/09/2020;02/10/2020
CT-18847;09/02/2021;;;21/04/2021;23/04/2021
CT-18846;04/08/2020;;;16/12/2020;17/12/2020
CT-18845;04/08/2020;12/10/2020;19/10/2020;16/12/2020;16/12/2020
CT-18844;02/09/2020;;;09/09/2020;14/09/2020
CT-18842;31/07/2020;;;16/12/2020;23/12/2020
CT-18841;26/08/2020;;;20/01/2021;21/01/2021
CT-18840;31/07/2020;;;16/12/2020;17/12/2020
CT-18839;31/07/2020;;;16/12/2020;17/12/2020
CT-18838;31/07/2020;;;18/11/2020;01/12/2020
CT-18836;30/07/2020;;;18/11/2020;04/12/2020
CT-18835;04/09/2020;;;16/12/2020;16/12/2020
CT-18834;30/07/2020;;;16/09/2020;17/09/2020
CT-18833;30/07/2020;;;09/09/2020;11/09/2020
CT-18829;02/10/2020;;;10/03/2021;11/03/2021
CT-18828;29/07/2020;;;06/01/2021;18/01/2021
CT-18824;28/07/2020;27/07/2020;25/11/2020;10/03/2021;10/03/2021
CT-18822;27/07/2020;;;09/09/2020;18/09/2020
CT-18821;27/07/2020;;;09/09/2020;22/09/2020
CT-18819;17/09/2020;;;07/10/2020;08/10/2020
CT-18818;23/07/2020;;;16/09/2020;21/09/2020
CT-18817;23/07/2020;;;09/09/2020;16/09/2020
CT-18814;22/07/2020;;;09/09/2020;10/09/2020
CT-18812;21/09/2020;31/08/2020;29/10/2020;18/11/2020;26/11/2020
CT-18811;22/07/2020;;;20/01/2021;22/01/2021
CT-18810;21/07/2020;;;21/10/2020;26/10/2020
CT-18799;24/09/2020;;;02/12/2020;22/12/2020
CT-18796;10/07/2020;;;10/03/2021;12/03/2021
CT-18795;10/07/2020;;;02/12/2020;14/12/2020
CT-18793;09/07/2020;09/07/2020;12/11/2020;16/12/2020;05/01/2021
CT-18787;07/07/2020;08/10/2020;15/10/2020;16/12/2020;18/12/2020
CT-18786;03/07/2020;;;06/01/2021;07/01/2021
