depcode,deplib,cominsee,comlib,equipementid,equnbequidentique,actcode,actlib,equactivitepraticable,equactivitepratique,equactivitesallespe,actnivlib,equutilperformance,equhauteursurfaceevo,equathnbsauthauteur,equnatureskkmlance,equnateclsub,equaccueillocalrangement,equacceshandimaire,equnatureskaltitudehaute,equacceshandisvestiaire,gestiontypeproprietaireprinclib,equnatcouloir,equathnbsauttotal,equacceshandimvestiaire,equnombatiment,equtravauxrealconformite,equnaturesktotalremontee,equpresencepataugeoir,equconfortbainvapeur,equacceshandisaire,gestiontypegestionnaireprinclib,equnatimhandi,equnom,anneetravauxreallibelle,equnatureacpubmec,equsanitairepublic,equnatureacpubped,equsaenbcouloir,equerppa,equnatprofmini,gestiontypeproprietaireseclib,equipementtir300,equutilformation,equnatureskjardinalpin,equnatureskslalom,equdemarchehqe,equsono,equipementtirautre,equtravauxrealnorme,equdatecreation,equnatureskborder,anneeservicelib,nb_ficheequipement,equnatureskhalfpipe,equnatureacsecmec,equnaturesevoies,equnatureacpubrout,equlongueurevolution,equnaturepdesi,equnatsurv,equsaehauteur,column_202,equnatriviere,equipementtypelib,equeclairage,equvestiairespochauffe,equaccueilaucun,equathnbcouloirligne,equnatlongueurbassin,equconfortbainbouillonant,equsanitairesportif,equnatnbp7,equnatnbptotal,equnatnbp5,equnatnbp3,equipnaturesituationlib,equnatureskaltitudebasse,equnbvestiairearbitre,equdatemaj,equacceshandimsanispo,equnatureloctec,equaccueildopage,equacceshandimtribune,equnatureskdebit,equnatureskjardinnordique,equacceshandimsanipub,equnaturelocped,equipementtypecode,naturesollib,equnatmm,equathnblancertotal,equipementtir10,equtravauxrealdegradation,equnatureacpubnau,equchauffagesolaire,equnatpentaglisse,equnatfm,equerpoa,equerpref,equsurfaceevolution,equathnbsautlongueur,equathnbdisque,equathnbsauttriple,equerpcategorie,equacceshandissanipub,equdatederniertravauxaucun,equaccueilclub,equaccueilsalle,equnaturesknbkmskinordique,equgestiondsp,equnatautre,equipementtir100,equnbvestiairespo,equaccueilautre,equdouche,equtravauxrealvetuste,equnatureacsecped,equhauteurevolution,equacceshandissanispo,equgpsy,equathlonglignedroite,equipementtir200,equathnbmarteaumixte,equproximite,equathriviere,equerpl,equerpo,equerpn,naturelibelle,equnaturesksnowpark,equnatmav,equutilscolaire,equnatnbp10,equnaturealert,equaccueilbuvette,equnatlargeurbassin,equgpsx,equerpx,insnom,equlargeurevolution,equerpp,column_201,equerpr,equconfortautre,equnaturesknbkmskialpin,equconfortsolarium,equipementtir50,equaccueilreception,equaccueilbureau,equchauffagegaz,equsaesurface,equathdev,equtableaufixe,equerpcts,equnatformelib,equacceshandistribune,equgpsy_x,equaccueilinfirmerie,equnatnbttotal,equathnbcouloirhorsligne,equutilindividuel,equutilclub,equnatureclassfedemaxi,column_200,equaccueilmedic,equchauffageautre,equutilautre,equnatureacsecrout,equchauffageelectricite,equerpsg,equipementtir25,equconfortsauna,equanneeservice,equnatureautorise,equnatureshnbpisteneigearti,equconfortaucun,equnatsurfacebassin,equnatnbt3,equnatnbt1,equdatederniertravauxreal,gestiontypegestionnaireseclib,equnbplacetribune,equathnbjavelot,equnaturesignal,equacceshandimaucun,equutilrecreation,equnaturesktremplin,equchauffagenon,equnattobog,equacceshandisaucun,equnbcouloirpiste,equnatureestour,equipementtirplateau,equathnbmarteau,equtravauxrealusager,equnatureclassfedemini,equathnbsautperche,equnatureaetreuil,equathnbpoids,insnumeroinstall,equchauffagefuel,equerprpe,equnatprofmax,equnatureacsecnau,equnatsurfaceplagebassin,equchrono,equnatsonorisationsub,equouvertsaison,equamenagementaucun,insaccessibiliteaucun,inscodepostal,inspartlibelle,insnbcouvert,insarrondissement,instransporttrain,insnbplaceparkinghandi,instransportmetro,insnblit,inslieudit,instransportbateau,insmulticommune,insdatecreation,insnbplaceparking,nb_equipements,instransportautre,insemprisefonciere,instransporttram,insaccessibilitehandimoteur,insnovoie,insgardiennee,inslibellevoie,insinternat,instransportbus,insdatemaj,insaccessibilitehandisens
94,Val-de-Marne,94071,Sucy-en-Brie,154462,1,6401,Rugby a 15 / Rugby a 7,-1,-1,0,Entrainement,,,,,,0,Non,,Non,Commune,,,Oui,,0,,,0,Non,Commune,,1 Terrain De Rugby J Non Eclaire,,,-1,,,0,,,,1.0,,,0.0,0,,0,2005-09-23T00:00:00,,A partir de 2005,16,,,,,50.0,,,,,,Terrain de football,0,-1.0,0,,,0,-1,,,,,,,2,2016-02-17T15:46:04,Non,,0,Non-concerne,,,Non,,2802,Gazon naturel,,,,0,,0,,,0.0,0,2000.0,,,,,Non,0,-1,0,,0.0,,,16,0,-1,0,,,Non,48.77658,,,,0,,0,0.0,0.0,Decouvert,,,,,,-1,,2.50644,0,Stade Paul Meyer,40.0,0.0,,0,0,,0,,0,-1,0,,,0,0,,Non-concerne,"48.77658, 2.50644",0,,,,1.0,,,0,0,1.0,,0,0,,0,2012.0,,,-1,,,,,,0,,,Non,1.0,,-1,,Oui,,,,,0,,,,,940710002,0,0,,,,0,,0.0,-1,0,94370,Non,70,,1,6,0,0,,0,0.0,2005-09-23T00:00:00,120,33,0,200000,0,1,39,Avec logement de gardien,Rue De Paris,0.0,1,2016-02-17T15:46:04,0
94,Val-de-Marne,94071,Sucy-en-Brie,154465,1,7901,Tennis,-1,-1,0,Competition regionale,1.0,,,,,0,Oui,,Non,Commune,,,Oui,,0,,,0,Non,Etablissement prive commercial,,Court De Tennis Central Decouvert N7,A partir de 2005,,-1,,,0,,,,1.0,,,0.0,0,,0,2005-09-23T00:00:00,,1975-1984,16,,,,,36.0,,,,,,Court de tennis,0,-1.0,0,,,0,-1,,,,,,,0,2016-02-17T15:46:04,Non,,0,Non-concerne,,,Non,,501,Terre battue,,,,0,,0,,,0.0,0,640.0,,,,5.0,Non,0,-1,0,,0.0,,,2,0,-1,-1,,,Non,48.77477,,,,0,,0,0.0,0.0,Decouvert,,,1.0,,,-1,,2.50522,-1,Stade Paul Meyer,18.0,0.0,,0,0,,0,,0,-1,0,,,0,0,,Non-concerne,"48.77477, 2.50522",0,,,,1.0,,,0,0,1.0,,0,0,,0,1980.0,,,-1,,,,2015.0,,0,,,Non,1.0,,-1,,Oui,,,,,0,,,,,940710002,0,0,,,,0,,0.0,-1,0,94370,Non,70,,1,6,0,0,,0,0.0,2005-09-23T00:00:00,120,33,0,200000,0,1,39,Avec logement de gardien,Rue De Paris,0.0,1,2016-02-17T15:46:04,0
94,Val-de-Marne,94071,Sucy-en-Brie,154501,1,701,"Badminton, Jeu de volant",-1,-1,-1,Entrainement,1.0,,,,,-1,Oui,,Non,Commune,,,Oui,,0,,,0,Non,Commune,,Le Gymnase,,,-1,,,0,,,,1.0,,,0.0,-1,,0,2005-09-23T00:00:00,,1995-2004,2,,,,,44.0,,,,,,Salle multisports,-1,-1.0,0,,,0,-1,,,,,,,1,2016-03-08T17:01:28,Oui,,0,Non,,,Oui,,1901,Synthetique (hors gazon),,,,0,,0,,,0.0,0,800.0,,,,,Non,-1,0,0,,0.0,,,4,0,-1,0,,7.0,Non,48.75997,,,,0,,0,0.0,0.0,Interieur,,,1.0,,,-1,,2.52598,-1,Gymnase Du Piple,18.0,0.0,,0,0,,0,,-1,0,-1,,,-1,0,,Non,"48.75997, 2.52598",0,,,,1.0,,,0,0,1.0,,0,0,,0,1996.0,,,-1,,,,,,210,,,Non,1.0,,0,,Oui,,,,,0,,,,,940710016,0,0,,,,0,,0.0,0,0,94370,Non,0,,0,2,0,0,,0,0.0,2005-09-23T00:00:00,20,2,0,0,0,1,152 Bis,Avec logement de gardien,Rue De Boissy,0.0,1,2016-03-08T17:01:28,0
94,Val-de-Marne,94071,Sucy-en-Brie,154501,1,8801,Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley,-1,-1,-1,Entrainement,1.0,,,,,-1,Oui,,Non,Commune,,,Oui,,0,,,0,Non,Commune,,Le Gymnase,,,-1,,,0,,,,1.0,,,0.0,-1,,0,2005-09-23T00:00:00,,1995-2004,2,,,,,44.0,,,,,,Salle multisports,-1,-1.0,0,,,0,-1,,,,,,,1,2016-03-08T17:01:28,Oui,,0,Non,,,Oui,,1901,Synthetique (hors gazon),,,,0,,0,,,0.0,0,800.0,,,,,Non,-1,0,0,,0.0,,,4,0,-1,0,,7.0,Non,48.75997,,,,0,,0,0.0,0.0,Interieur,,,1.0,,,-1,,2.52598,-1,Gymnase Du Piple,18.0,0.0,,0,0,,0,,-1,0,-1,,,-1,0,,Non,"48.75997, 2.52598",0,,,,1.0,,,0,0,1.0,,0,0,,0,1996.0,,,-1,,,,,,210,,,Non,1.0,,0,,Oui,,,,,0,,,,,940710016,0,0,,,,0,,0.0,0,0,94370,Non,0,,0,2,0,0,,0,0.0,2005-09-23T00:00:00,20,2,0,0,0,1,152 Bis,Avec logement de gardien,Rue De Boissy,0.0,1,2016-03-08T17:01:28,0
94,Val-de-Marne,94071,Sucy-en-Brie,154504,1,8801,Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley,-1,-1,-1,Entrainement,1.0,,,,,0,Oui,,Non,Commune,,,Oui,,0,,,0,Non,Commune,,La Grande Salle,A partir de 2005,,-1,,,0,,,,1.0,,,0.0,0,,0,2005-09-23T00:00:00,,1965-1974,3,,,,,40.0,,,,,,Salle multisports,-1,-1.0,0,,,0,-1,,,,,,,0,2016-03-08T12:15:48,Non,,0,Non-concerne,,,Non,,1901,Synthetique (hors gazon),,,,0,,0,,,0.0,0,800.0,,,,5.0,Non,0,0,0,,0.0,,,4,0,-1,0,,6.0,Non,48.76214,,,,0,,0,0.0,0.0,Interieur,,,1.0,,,0,,2.53573,-1,Gymnase Du Plateau,20.0,0.0,,0,0,,0,,0,-1,-1,,,-1,0,,Non-concerne,"48.76214, 2.53573",0,,,,1.0,,,0,0,1.0,,0,0,,0,1966.0,,,-1,,,,2007.0,,0,,,Non,1.0,,0,,Oui,,,,,0,,,,,940710017,0,0,,,,0,,0.0,0,0,94370,Non,0,,0,0,0,0,,0,0.0,2005-09-23T00:00:00,10,3,0,0,0,1,52,Avec logement de gardien,Route De La Queue En Brie,0.0,1,2016-03-08T12:15:48,0
94,Val-de-Marne,94071,Sucy-en-Brie,154511,1,6401,Rugby a 15 / Rugby a 7,-1,-1,0,Entrainement,,,,,,0,Non,,Non,Commune,,,Non,,0,,,0,Non,Commune,,Terrain De Rugby 2,,,-1,,,-1,,,,1.0,,,0.0,0,,0,2005-09-23T00:00:00,,1985-1994,16,,,,,118.0,,,,,,Terrain de rugby,-1,-1.0,-1,,,0,-1,,,,,,,4,2016-03-08T12:10:17,Non,,0,Non-concerne,,,Non,,2803,Gazon naturel,,,,0,,0,,,0.0,0,7080.0,,,,5.0,Non,-1,0,0,,0.0,,,8,0,-1,0,,,Non,48.7595,,,,0,,0,0.0,0.0,Decouvert,,,1.0,,,0,,2.54191,0,Parc Des Sports De Sucy En Brie,60.0,0.0,,0,0,,0,,0,0,0,,,0,0,,Non-concerne,"48.7595, 2.54191",0,,,,1.0,,,0,0,1.0,,0,0,,0,1988.0,,,-1,,,,,,0,,,Oui,1.0,,-1,,Oui,,,,,0,,,,,940710018,0,0,,,,0,,0.0,-1,1,94370,Complexe sportif,0,,0,3,0,0,,0,0.0,2005-09-23T00:00:00,100,24,0,480000,0,0,,Avec logement de gardien,Route De La Queue En Brie,0.0,1,2016-03-08T12:10:16,0
94,Val-de-Marne,94071,Sucy-en-Brie,154524,1,3402,Gymnastique Rythmique,-1,-1,0,Entrainement,,,,,,0,Non,,Non,Commune,,,Non,,0,,,0,Non,Commune,,Salle De Danse Des Bruyeres,,,0,,,0,,,,1.0,,,0.0,0,,0,2005-09-23T00:00:00,,1975-1984,1,,,,,,,,,,,Salle de danse,-1,-1.0,-1,,,0,-1,,,,,,,0,2016-03-08T11:50:48,Non,,0,Non-concerne,,,Non-concerne,,2105,Parquet,,,,0,,0,,,0.0,0,96.0,,,,5.0,Non-concerne,-1,0,0,,0.0,,,1,0,-1,0,,4.0,Non,48.758,,,,0,,0,0.0,0.0,Interieur,,,,,,0,,2.5499,-1,Salle De Danse Des Bruyeres,,0.0,,0,0,,0,,0,0,-1,,,0,0,,Non-concerne,"48.758, 2.5499",0,,,,1.0,,,0,0,1.0,,0,0,,0,,,,-1,,,,,,0,,,Oui,1.0,,0,,Oui,,,,,0,,,,,940710020,0,0,,,,0,,0.0,-1,1,94370,Non,0,,0,0,0,0,,0,0.0,2005-09-23T00:00:00,0,1,0,200,0,0,,Non,Boulevard De La Liberte,0.0,1,2016-03-08T11:50:48,0
94,Val-de-Marne,94071,Sucy-en-Brie,154526,1,5201,Natation course sportive,-1,-1,0,Entrainement,,,,,-1.0,-1,Oui,,Non,Commune,6.0,,Oui,,0,,0.0,0,Non,EPCI,0.0,Bassin Exterieur,,,-1,,,-1,2.0,,,1.0,,,0.0,0,,0,2005-09-23T00:00:00,,1975-1984,2,,,,,,,0.0,,,0.0,Bassin sportif de natation,-1,-1.0,0,,25.0,0,-1,0.0,0.0,0.0,0.0,,,1,2016-03-07T12:07:47,Non,,0,Non-concerne,,,Non,,102,Carrelage,0.0,,,0,,0,0.0,0.0,0.0,0,,,,,2.0,Non,-1,0,0,,0.0,0.0,,3,0,-1,0,,,Non,48.76875,,,,0,,0,0.0,0.0,Decouvert,,0.0,1.0,0.0,,0,15.0,2.53346,-1,Piscine Intercommunautaire,,0.0,,0,0,,-1,,0,-1,-1,,,0,0,Rectangulaire/carre,Non-concerne,"48.76875, 2.53346",-1,0.0,,1.0,1.0,,,0,0,1.0,,0,0,,0,1975.0,,,0,375.0,0.0,0.0,,,0,,,Non,1.0,,0,0.0,Oui,6.0,,,,0,,,,,940710021,0,0,4.0,,1080.0,0,0.0,0.0,-1,1,94370,Piscine,0,,0,1,0,0,,0,0.0,2005-09-23T00:00:00,64,2,0,0,0,0,29,Avec logement de gardien,Avenue Du Fort,0.0,1,2016-03-07T12:07:47,0
94,Val-de-Marne,94071,Sucy-en-Brie,154526,1,5208,Aquagym,-1,-1,0,Loisir - Entretien - Remise en forme,,,,,-1.0,-1,Oui,,Non,Commune,6.0,,Oui,,0,,0.0,0,Non,EPCI,0.0,Bassin Exterieur,,,-1,,,-1,2.0,,,1.0,,,0.0,0,,0,2005-09-23T00:00:00,,1975-1984,2,,,,,,,0.0,,,0.0,Bassin sportif de natation,-1,-1.0,0,,25.0,0,-1,0.0,0.0,0.0,0.0,,,1,2016-03-07T12:07:47,Non,,0,Non-concerne,,,Non,,102,Carrelage,0.0,,,0,,0,0.0,0.0,0.0,0,,,,,2.0,Non,-1,0,0,,0.0,0.0,,3,0,-1,0,,,Non,48.76875,,,,0,,0,0.0,0.0,Decouvert,,0.0,1.0,0.0,,0,15.0,2.53346,-1,Piscine Intercommunautaire,,0.0,,0,0,,-1,,0,-1,-1,,,0,0,Rectangulaire/carre,Non-concerne,"48.76875, 2.53346",-1,0.0,,1.0,1.0,,,0,0,1.0,,0,0,,0,1975.0,,,0,375.0,0.0,0.0,,,0,,,Non,1.0,,0,0.0,Oui,6.0,,,,0,,,,,940710021,0,0,4.0,,1080.0,0,0.0,0.0,-1,1,94370,Piscine,0,,0,1,0,0,,0,0.0,2005-09-23T00:00:00,64,2,0,0,0,0,29,Avec logement de gardien,Avenue Du Fort,0.0,1,2016-03-07T12:07:47,0
94,Val-de-Marne,94071,Sucy-en-Brie,154526,1,5206,Baignade loisirs,-1,-1,0,Loisir - Entretien - Remise en forme,,,,,-1.0,-1,Oui,,Non,Commune,6.0,,Oui,,0,,0.0,0,Non,EPCI,0.0,Bassin Exterieur,,,-1,,,-1,2.0,,,1.0,,,0.0,0,,0,2005-09-23T00:00:00,,1975-1984,2,,,,,,,0.0,,,0.0,Bassin sportif de natation,-1,-1.0,0,,25.0,0,-1,0.0,0.0,0.0,0.0,,,1,2016-03-07T12:07:47,Non,,0,Non-concerne,,,Non,,102,Carrelage,0.0,,,0,,0,0.0,0.0,0.0,0,,,,,2.0,Non,-1,0,0,,0.0,0.0,,3,0,-1,0,,,Non,48.76875,,,,0,,0,0.0,0.0,Decouvert,,0.0,1.0,0.0,,0,15.0,2.53346,-1,Piscine Intercommunautaire,,0.0,,0,0,,-1,,0,-1,-1,,,0,0,Rectangulaire/carre,Non-concerne,"48.76875, 2.53346",-1,0.0,,1.0,1.0,,,0,0,1.0,,0,0,,0,1975.0,,,0,375.0,0.0,0.0,,,0,,,Non,1.0,,0,0.0,Oui,6.0,,,,0,,,,,940710021,0,0,4.0,,1080.0,0,0.0,0.0,-1,1,94370,Piscine,0,,0,1,0,0,,0,0.0,2005-09-23T00:00:00,64,2,0,0,0,0,29,Avec logement de gardien,Avenue Du Fort,0.0,1,2016-03-07T12:07:47,0
