nom_ensemble_musical,adresse,commune,code_postal,site_web,types_d_ensembles_1,esthetiques_musicales_1,geopoint
La Lyre Biterroise,Château de Saint Jean d’Aureilhan,Béziers,34500,http://www.lyre-biterroise.com/,"Fanfare, Orchestre d’harmonie, Orchestre de rue","Classique-contemporain, Musiques traditionnelles et du monde","43.340268,3.188556"
Lous Camelous,4 rue Chanoine Bessede,Béziers,34500,https://www.facebook.com/MimiCamelette/,Peña,Musiques traditionnelles et du monde,"43.341928,3.252595"
Le réveil Cournonterralais,32 chemin d’Antonègre,Cournonterral,34660,,Fanfare,Musiques traditionnelles et du monde,"43.555594,3.712769"
OSADOC (Orch. Symphonique amateur d’Occitanie),1 place Jean Jaurès,Grabels,34790,https://www.osadoc.com/page/168444-notre-projet-associatif,Orchestre symphonique,"Classique-contemporain, Musiques traditionnelles et du monde","43.647551,3.801765"
L’Etoile Bleue de Montpellier,3024 avenue Albert Einstein,Montpellier,34000,https://www.facebook.com/pages/category/Musician-Band/Cercle-des-anciens-de-lEtoile-Bleue-de-Montpellier-1330934716933616/,Fanfare,,"43.612254,3.933653"
Fanfares de la Cie le Triolet,75 avenue Augustin Fliche,Montpellier,34090,http://www.crous-montpellier.fr/musique-fanfare/,Fanfare,Musiques traditionnelles et du monde,"43.629587,3.860942"
Orchestre d’Harmonie Municipal de Nissan,1 place de la République,Nissan-lez-Ensérune,34440,https://www.facebook.com/Orchestre-dHarmonie-de-Nissan-Lez-Enserune-543539785685430/,Orchestre d’harmonie,Musiques traditionnelles et du monde,"43.2896,3.128727"
Orchestre d’Harmonie de Gignac,"Chai de la Gare, boulevard Jean Moulin",Gignac,34150,http://harmoniedegignac.com/,Orchestre d’harmonie,"Classique-contemporain, Jazz, Musiques traditionnelles et du monde","43.655886,3.547459"
Orchestre d’Harmonie de Montpellier Jacou,"Hôtel de Ville, 6 rue de l’Hôtel de Ville",Jacou,34730,http://ohmj2.free.fr/ohmj/,Orchestre d’harmonie,Musiques traditionnelles et du monde,"43.660657,3.910032"
Peña Los Festejaïres,38 avenue Lyon-Caen,Le Bousquet-d’Orb,34260,https://www.facebook.com/pages/category/Arts---Entertainment/Pena-Los-Festeja%C3%AFres-135491729984961/,Peña,,"43.693152,3.165416"
Orchestre de chambre Pierre-Laurent Saurel,5 rue de l’Abbé de l’Epée,Montpellier,34090,http://www.orchestre-pl-saurel.fr/,Ensemble de musique de chambre,Classique-contemporain,"43.62115,3.873086"
Peña Lou Terral,8 impasse des Pêcheurs,Saint-Jean-de-Védas,34430,https://www.facebook.com/Pe%C3%B1a-Lou-Terral-36977619785/,Peña,Musiques traditionnelles et du monde,"43.57525,3.823205"
Fanfare Prades Parade,rue Lambecque,Assas,34820,http://www.prades.parade.online.fr/,"Big-band, Fanfare",Jazz,"43.701905,3.89941"
Harmonie Bédaricienne et des Hauts Cantons,1 allée Maurice Ravel,Bédarieux,34600,https://hbdx.pagesperso-orange.fr/,Orchestre d’harmonie,"Classique-contemporain, Jazz, Musiques traditionnelles et du monde","43.614457,3.165741"
Africa Tala Percussions,3 rue Longuelanne,Béziers,34500,https://fanfare-banzai.weebly.com/,"Fanfare, Peña",Musiques traditionnelles et du monde,"43.339659,3.211733"
Fanfare Marcelle Coulazou,Chemin des Romains,Cournonsec,34660,http://www.marcellecoulazou.fr/,Fanfare,Musiques traditionnelles et du monde,"43.543238,3.699692"
Club musical lunellois,462 chemin du thym,Lunel,34400,https://www.cie-v.com/,"Fanfare, Orchestre de rue",,"43.689018,4.139618"
D’oc Orchestra,"Lycée Jean Monnet, La Géode, 7045 rue de Malbosc",Montpellier,34080,http://doc-orchestra.asso.fr/,Orchestre symphonique,"Classique-contemporain, Musiques traditionnelles et du monde","43.625162,3.83349"
OSUM (Orch. symphonique universitaire de Montpellier),"Université Montpelier II, 2 place Eugène Bataillon",Montpellier,34095,https://osumweb.wordpress.com/,"Ensemble de musique de chambre, Orchestre symphonique",,"43.631747,3.86032"
Harmonie de Palavas-les-Flots,avenue Abbé Brocardi,Palavas-les-Flots,34250,,Orchestre d’harmonie,,"43.530717,3.928689"
Los Neblats,"Hôtel de Ville, 9 place de la mairie",Saint-Martin-de-Londres,34380,http://los.neblats.free.fr/,"Fanfare, Peña",Musiques traditionnelles et du monde,"43.791433,3.732817"
Harmonie des Deux Rives - Réveil Saint-Pargoirien,8 avenue Albert Laurens,Saint-Pargoire,34230,https://resaintpargorien.opentalent.fr/,Orchestre d’harmonie,"Musique ancienne-baroque, Musiques traditionnelles et du monde","43.528769,3.523392"
Orphéon de Garrafach,rue des Soleillades,Vendémian,34230,https://www.facebook.com/groups/111001678950917/about/,Fanfare,"Jazz, Musiques traditionnelles et du monde","43.581635,3.562592"
Lez’Orchestra,11 avenue de la Moutte,Castelnau-le-Lez,34170,https://mjc-castelnau.fr/activites/lezorchestra/,Ensemble,"Classique-contemporain, Musiques actuelles amplifiées, Musiques traditionnelles et du monde","43.63422,3.905961"
Fanfare des Kadors,11 rue de Cadix,Montpellier,34070,http://www.fanfaredeskadors.com/,Fanfare,"Jazz, Musiques traditionnelles et du monde","43.59022,3.87115"
La Peña Piraña,"Hôtel de Ville, place de l’Horloge",Valergues,34130,http://lespiranas.free.fr/,"Fanfare, Peña","Jazz, Musiques actuelles amplifiées, Musiques traditionnelles et du monde","43.667274,4.0621"
Batterie Fanfare des Sapeurs Pompiers de l’Hérault,"ZI du Capiscol, 10 avenue I. et F. Joliot Currie",Villeneuve-les-Béziers,34420,http://www.udsp34.org/index.php?p=part&searchcat=12,Fanfare,,"43.33128,3.27476"
Biscam Pas,27 rue Porte de Saint-Guilhem,Aniane,34150,https://www.biscam-pas.fr/index.php/corne-d-aur-oc,"Orchestre de rue, Peña",,"43.685184,3.58634"
Union musicale de Lansargues,"Centre social Rachel Allègre, place Saint-Jean",Lansargues,34130,http://umlansargues.e-monsite.com/,Orchestre d’harmonie,,"43.651389,4.072736"
Réveil Lodévois et ses Pom Pom Girls,"22 chemin des Causses, Lotissement La Pinède",Lodève,34700,https://www.facebook.com/reveillodevois/,Fanfare,,"43.726164,3.310987"
Fanfare Bakchich,23 avenue Pierre d’Adhémar,Montpellier,34000,https://bakchichfanfare.wixsite.com/fanfarebakchich,Fanfare,,"43.6229,3.867399"
Harmonie de Sète,"Conservatoire Sète Agglopôle Méditerranée, 21 bis rue Jean Moulin",Sète,34200,http://harmoniesete.free.fr/,Orchestre d’harmonie,"Classique-contemporain, Musiques traditionnelles et du monde","43.409504,3.689065"
Fanfare Varenquas,196 avenue des Pins,Valergues,34130,http://cybodega.free.fr/html/cmd/fanfare.php5?mode=detail&id=105,"Fanfare, Peña",,"43.668934,4.059094"
