finess,rs_finess,finess_geo,rs_finess_geo,region,participation,Depot,nb_rep_score_all_rea_ajust,score_all_rea_ajust,classement,evolution,nb_rep_score_accueil_rea_ajust,score_accueil_rea_ajust,nb_rep_score_PECinf_rea_ajust,score_PECinf_rea_ajust,nb_rep_score_PECmed_rea_ajust,score_PECmed_rea_ajust,nb_rep_score_chambre_rea_ajust,score_chambre_rea_ajust,nb_rep_score_repas_rea_ajust,score_repas_rea_ajust,nb_rep_score_sortie_rea_ajust,score_sortie_rea_ajust
010780054,CH DE BOURG EN BRESSE FLEYRIAT,010000024,CENTRE HOSPITALIER DE FLEYRIAT,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,65,71.07,C,4-Non calculable,65.0,69.16,65.0,80.14,65.0,79.62,65.0,66.93,65.0,59.92,65.0,62.11
010780062,CH DOCTEUR RECAMIER,010000032,CENTRE HOSPITALIER DE BELLEY,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,136,69.76,D,2-Stable,136.0,69.77,136.0,80.19,136.0,78.01,136.0,60.1,136.0,59.98,136.0,60.42
010780096,CH DE MONTPENSIER TREVOUX,010000065,CH DE TREVOUX - MONTPENSIER,Auvergne-Rhône-Alpes,2- Facultatif,1- Oui,.,,DI,4-Non calculable,,.,,.,,.,,.,,.,,.
010008407,CH DU HAUT BUGEY,010005239,CH DU HAUT BUGEY - GEOVREISSET,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,61,72.5,C,4-Non calculable,61.0,74.69,61.0,81.24,61.0,77.18,61.0,71.3,61.0,60.36,61.0,60.54
010780195,CLINIQUE DOCTEUR CONVERT,010780195,CLINIQUE CONVERT,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,37,74.83,B,2-Stable,37.0,72.72,37.0,83.3,37.0,81.21,37.0,76.63,37.0,60.47,37.0,63.23
010780203,CLINIQUE D'AMBERIEU EN BUGEY,010780203,HOPITAL PRIVE D'AMBERIEU,Auvergne-Rhône-Alpes,1- Obligatoire,1- Oui,188,71.06,C,2-Stable,188.0,71.63,188.0,78.92,188.0,78.68,188.0,67.56,188.0,61.19,188.0,59.61
020000022,CENTRE HOSPITALIER DE GUISE,020000089,CH GUISE,Hauts de France,1- Obligatoire,2- Non,.,,NR,4-Non calculable,,.,,.,,.,,.,,.,,.
020000063,CENTRE HOSPITALIER DE SAINT QUENTIN,020000162,CH SAINT-QUENTIN,Hauts de France,1- Obligatoire,1- Oui,57,70.95,C,2-Stable,57.0,69.7,57.0,80.71,57.0,77.08,57.0,70.92,57.0,57.85,57.0,59.76
020000360,CLINIQUE COURLANCY SOISSONS,020000360,CLINIQUE COURLANCY SOISSONS,Hauts de France,1- Obligatoire,1- Oui,86,76.41,B,4-Non calculable,86.0,77.18,86.0,80.88,86.0,80.95,86.0,73.44,86.0,60.95,86.0,72.42
020000253,CH DE LAON,020000394,CH LAON,Hauts de France,1- Obligatoire,1- Oui,56,70.45,D,4-Non calculable,56.0,66.02,56.0,80.76,56.0,75.56,56.0,66.74,56.0,60.3,56.0,64.19
