mission,programme,libelle_programme,action,libelle_action,t_categorie,valeur
Action extérieure de l'État,332,Présidence française du G20 et du G8,4,Organisation de réunions relevant de la compétence du ministère des affaires étrangères et européennes,T3,2341237
Culture,131,Création,1,"Soutien à la création, à la production et à la diffusion du spectacle vivant",T6,478074014
Défense,212,Soutien de la politique de la défense,5,"Systèmes d'information, d'administration et de gestion",T6,2500
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,15,Mission interministérielle de lutte contre la drogue et la toxicomanie,T2,1804557
Économie,134,Développement des entreprises et de l'emploi,17,Protection économique du consommateur,T2,102540501
Enseignement scolaire,141,Enseignement scolaire public du second degré,5,Enseignement post-baccalauréat en lycée,T3,25777
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,9,Certification,T5,87329
Direction de l'action du Gouvernement,308,Protection des droits et libertés,2,Commission nationale de l'informatique et des libertés,T5,35880
"Immigration, asile et intégration",104,Intégration et accès à la nationalité française,12,Actions d'intégration des étrangers en situation régulière,T3,4426859
Politique des territoires,162,Interventions territoriales de l'État,4,Programme exceptionnel d'investissements en faveur de la Corse,T5,-123
Recherche et enseignement supérieur,187,Recherche dans le domaine de la gestion des milieux et des ressources,2,Recherches scientifiques et technologiques sur les systèmes de production et de transformation associés,T3,272865873
"Solidarité, insertion et égalité des chances",124,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative",7,Financement des Agences régionales de santé,T3,571514498
"Solidarité, insertion et égalité des chances",157,Handicap et dépendance,4,Compensation des conséquences du handicap,T3,15697618
Travail et emploi,103,Accompagnement des mutations économiques et développement de l'emploi,1,Anticipation et accompagnement des conséquences des mutations économiques sur l'emploi,T3,4043909
"Agriculture, pêche, alimentation, forêt et affaires rurales",206,Sécurité et qualité sanitaires de l'alimentation,8,Qualité de l'alimentation et offre alimentaire,T3,931209
"Immigration, asile et intégration",104,Intégration et accès à la nationalité française,13,Aide au retour et à la réinsertion,T6,0
Santé,204,"Prévention, sécurité sanitaire et offre de soins",17,"Qualité, sécurité et gestion des produits de santé et du corps humain",T6,119875
Action extérieure de l'État,105,Action de la France en Europe et dans le monde,1,Coordination de l'action diplomatique,T6,2485085
Ville et logement,135,Développement et amélioration de l'offre de logement,3,Lutte contre l'habitat indigne,T3,276186
Gestion des finances publiques et des ressources humaines,302,Facilitation et sécurisation des échanges,6,Soutien des services opérationnels,T2,222228827
Travail et emploi,155,"Conception, gestion et évaluation des politiques de l'emploi et du travail",2,Gestion des effectifs des services déconcentrés du programme « accès et retour à l’emploi »,T2,85543418
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,6,Gestion des pensions,T5,462847
"Écologie, développement et aménagement durables",174,"Énergie, climat et après-mines",4,Gestion économique et sociale de l'après-mines,T3,15109772
Enseignement scolaire,139,Enseignement privé du premier et du second degrés,7,Dispositifs spécifiques de scolarisation,T2,141931130
Gestion des finances publiques et des ressources humaines,221,Stratégie des finances publiques et modernisation de l'État,6,Systèmes d'information et production de la paye,T5,36894803
Action extérieure de l'État,151,Français à l'étranger et affaires consulaires,3,Instruction des demandes de visa,T5,1018846
Enseignement scolaire,140,Enseignement scolaire public du premier degré,7,Personnels en situations diverses,T2,54258972
Enseignement scolaire,141,Enseignement scolaire public du second degré,13,Personnels en situations diverses,T3,15880
Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",5,Vie associative et soutien,T3,70048
"Agriculture, pêche, alimentation, forêt et affaires rurales",154,"Économie et développement durable de l'agriculture, de la pêche et des territoires",11,Adaptation des filières à l'évolution des marchés,T3,6041752
Défense,212,Soutien de la politique de la défense,6,Accompagnement de la politique des ressources humaines,T3,117550937
"Immigration, asile et intégration",303,Immigration et asile,2,Garantie de l'exercice du droit d'asile,T6,461087631
Recherche et enseignement supérieur,231,Vie étudiante,4,Pilotage et animation du programme,T3,90278008
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,14,Immobilier,T2,72109615
Action extérieure de l'État,185,Diplomatie culturelle et d'influence,5,Agence pour l'enseignement français à l'étranger,T6,436318
Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,1,État-major,T2,26035148
Administration générale et territoriale de l'État,307,Administration territoriale,5,"Animation du réseau, soutien au service des préfectures et gestion des Hauts-Commissariats et représentations de l'Etat à l'Outre-mer",T5,22215874
Culture,224,Transmission des savoirs et démocratisation de la culture,2,Soutien à l'éducation artistique et culturelle,T3,496411
Justice,166,Justice judiciaire,3,Cassation,T2,57035001
Santé,204,"Prévention, sécurité sanitaire et offre de soins",11,Pilotage de la politique de santé publique,T3,74365911
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,6,"Recherche universitaire en sciences de la vie, biotechnologies et santé",T6,56400
Recherche et enseignement supérieur,190,"Recherche dans les domaines de l’énergie, du développement et de l'aménagement durables",14,Recherche et développement dans le domaine de l'aéronautique civile,T3,0
Outre-mer,123,Conditions de vie outre-mer,6,Collectivités territoriales,T6,190296003
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,15,Pilotage et support du programme,T7,0
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",3,Politique et programmation de l'immobilier et des moyens de fonctionnement,T3,382831502
Enseignement scolaire,143,Enseignement technique agricole,1,Mise en oeuvre de l'enseignement dans les établissements publics,T3,1188556
Action extérieure de l'État,151,Français à l'étranger et affaires consulaires,2,Accès des élèves français au réseau AEFE,T6,117835831
Conseil et contrôle de l'État,165,Conseil d'État et autres juridictions administratives,7,Cour nationale du droit d'asile,T5,0
Outre-mer,123,Conditions de vie outre-mer,2,Aménagement  du territoire,T3,7057714
Ville et logement,109,Aide à l'accès au logement,1,Aides personnelles,T6,5535417729
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,3,Formation initiale et continue de niveau doctorat,T3,292153035
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,15,Pilotage et support du programme,T3,1157707286
"Écologie, développement et aménagement durables",174,"Énergie, climat et après-mines",5,Lutte contre le changement climatique,T5,-101680
Enseignement scolaire,139,Enseignement privé du premier et du second degrés,10,Formation initiale et continue des enseignants,T3,1968
"Anciens combattants, mémoire et liens avec la nation",167,Liens entre la nation et son armée,2,Politique de mémoire,T2,679895
Conseil et contrôle de l'État,165,Conseil d'État et autres juridictions administratives,5,"Fonction études, expertise et services rendus aux administrations de l'État et des collectivités",T2,14441050
Défense,146,Équipement des forces,9,Engagement et combat,T6,24980400
Défense,178,Préparation et emploi des forces,4,Préparation des forces aériennes,T7,0
Action extérieure de l'État,151,Français à l'étranger et affaires consulaires,2,Accès des élèves français au réseau AEFE,T2,0
"Agriculture, pêche, alimentation, forêt et affaires rurales",206,Sécurité et qualité sanitaires de l'alimentation,4,Acquisition et mobilisation des moyens scientifiques et techniques pour maîtriser les risques sanitaires,T5,34125
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,10,Soutien,T6,475000
