dispositif,volet,nombre_aides,nombre_entreprises,montant_total,reg,libelle_region,code_section,libelle_section
Fonds de solidarité,1,27459.0,7515.0,5.8500843E7,84.0,Auvergne-Rhône-Alpes,A,Agriculture, sylviculture et pêche
Fonds de solidarité,1,37.0,11.0,54031.0,84.0,Auvergne-Rhône-Alpes,B,Industries extractives
Fonds de solidarité,1,45984.0,11491.0,1.15365988E8,84.0,Auvergne-Rhône-Alpes,C,Industrie manufacturière
Fonds de solidarité,1,555.0,110.0,1124659.0,84.0,Auvergne-Rhône-Alpes,D,Production et distribution d électricité, de gaz, de vapeur et d air conditionné
Fonds de solidarité,1,1948.0,564.0,2790487.0,84.0,Auvergne-Rhône-Alpes,E,Production et distribution d eau ; assainissement, gestion des déchets et dépollution
Fonds de solidarité,1,94027.0,32189.0,1.56861385E8,84.0,Auvergne-Rhône-Alpes,F,Construction
Fonds de solidarité,1,179147.0,40042.0,6.2669575E8,84.0,Auvergne-Rhône-Alpes,G,Commerce
Fonds de solidarité,1,67309.0,10003.0,1.82533981E8,84.0,Auvergne-Rhône-Alpes,H,Transports et entreposage
Fonds de solidarité,1,265132.0,29334.0,1.695728751E9,84.0,Auvergne-Rhône-Alpes,I,Hébergement et restauration
Fonds de solidarité,1,24245.0,4795.0,5.9740788E7,84.0,Auvergne-Rhône-Alpes,J,Information et communication
Fonds de solidarité,1,8920.0,2099.0,1.9245435E7,84.0,Auvergne-Rhône-Alpes,K,Activités financières et d assurance
Fonds de solidarité,1,37383.0,8442.0,9.4024198E7,84.0,Auvergne-Rhône-Alpes,L,Activités immobilières
Fonds de solidarité,1,116459.0,25199.0,3.66671974E8,84.0,Auvergne-Rhône-Alpes,M,Activités spécialisées, scientifiques et techniques
Fonds de solidarité,1,55501.0,11285.0,2.10920737E8,84.0,Auvergne-Rhône-Alpes,N,Activités de services administratifs et de soutien
Fonds de solidarité,1,18.0,6.0,179742.0,84.0,Auvergne-Rhône-Alpes,O,Administration publique
Fonds de solidarité,1,132398.0,19558.0,2.9139514E8,84.0,Auvergne-Rhône-Alpes,P,Enseignement
Fonds de solidarité,1,60484.0,23689.0,8.3079444E7,84.0,Auvergne-Rhône-Alpes,Q,Santé humaine et action sociale
Fonds de solidarité,1,104769.0,13464.0,3.27177059E8,84.0,Auvergne-Rhône-Alpes,R,Arts, spectacles et activités récréatives
Fonds de solidarité,1,107340.0,24254.0,2.22116077E8,84.0,Auvergne-Rhône-Alpes,S,Autres activités de services
