ETAT DE LA DETTE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Période du 01/01/2011 au 31/12/2011,,,,,
Etat constaté - CONSEIL GENERAL DE LA MANCHE - montants en Euros,,,,,
,,,,,
,CAPITAL À L'ORIGINE,ENCOURS AU 31/12/2011,INTÉRÊT,AMORT,ANNUITÉ
"     10100, SA HLM DU COTENTIN CHERBOURG",59 531 690.24,42 593 624.79,1 652 075.73,1 919 530.08,3 571 605.78
"     10101, MANCHE HABITAT SAINT LO",221 311 115.08,113 129 459.46,3 325 964.69,11 156 006.57,14 481 971.26
"     10103, SA HLM COUTANCES GRANVILLE",60 853 452.50,45 127 646.86,980 168.79,3 085 890.29,4 076 740.69
"     10104, ADAC SAINT LO",2 368 265.66,745 737.49,40 363.67,167 767.91,208 131.58
"     10105, LOGIMANCHE SAINT LO",14 361 370.04,3 313 670.76,95 476.94,3 200 831.85,3 296 308.79
"     10106, MANCHE CALVADOS HABITATION",5 702 260.56,4 683 208.99,117 307.83,191 432.61,308 740.44
"     10112, ADPEP MANCHE SAINT LO",448 673.53,194 161.62,6 435.39,35 963.21,42 398.60
"     10114, OGEC COL P ST JOSEPH CHERBOURG",400 000.00,279 652.52,11 844.01,30 181.31,42 025.32
"     10116, OGEC COLLEGE GUERARD COUTANCES",1 846 160.00,1 692 451.05,27 475.27,56 271.73,83 747.00
"     10118, OGECA CHERBOURG",1 372 041.07,471 088.03,22 528.20,105 254.98,127 783.18
"     10122, FED OEUVRES LAIQUES SAINT LO",610 000.00,325 493.32,14 100.47,43 015.65,57 116.12
"     10123, APEI CTRE MANCHE AGNEAUX",435 189.82,301 232.27,6 814.24,25 781.49,32 595.73
"     10127, ACAIS",945 184.00,742 316.36,29 933.75,30 395.10,60 328.85
"     10131, FOND BON SAUVEUR PICAUVILLE",3 509 767.51,2 812 826.88,85 417.43,146 775.33,232 192.75
"     10132, ADSEAM AEMO SAINT LO",304 898.00,160 071.64,5 356.09,15 244.88,20 600.97
"     10133, ANEHP MONTEBOURG",1 010 553.08,753 258.18,27 579.62,58 484.41,86 064.03
"     10136, ASS AJD AGNEAUX",385 626.03,243 159.69,6 420.85,20 351.31,26 772.16
"     10141, CAT GUILLAUME POSTEL BARENTON",271 359.25,155 508.94,4 181.93,15 182.28,19 364.21
"     10142, ASS L'ESPERANCE VALOGNES",293 469.41,160 956.50,8 925.77,25 830.11,34 755.88
"     10143, SA HLM CITEES CHERBOURGEOISES",1 752 988.00,1 653 530.73,36 374.43,34 540.82,70 915.25
"     10144, CTRE DEPT ENFANCE SAINT LO",350 632.74,0,1 235.75,35 063.44,36 299.19
"     10145, ASS ST JEAN PRETOT STE SUZANNE",708 762.12,583 686.45,35 396.41,41 691.89,77 088.30
"     10152, COMMUNE DE VILLEDIEU",157 930.89,44 443.98,3 725.56,13 049.26,16 774.82
"     10172, COMMUNE DE LA HAYE PESNEL",513 546.01,306 422.25,21 586.77,25 681.93,47 268.70
"     10173, OGEC INST SEVIGNE GRANVILLE",2 500 000.00,2 320 238.14,57 045.91,138 095.20,195 141.11
"     10174, EHPAD MAIS RETR LA HAYE PESNEL",22 500.00,18 562.50,563.13,2 250.00,2 813.13
"     10176, OGEC COL P N DAME CARENTAN",500 000.00,363 546.24,11 054.69,32 441.41,43 496.10
"     10178, MAIS RETR SARTILLY",883 327.72,611 006.43,32 214.66,41 112.12,73 326.78
"     10179, CCAS SOURDEVAL",156 336.47,100 320.27,6 412.13,6 548.59,12 960.72
"     10181, ACTP TOURLAVILLE",1 503 989.90,1 288 478.77,55 569.42,47 614.58,103 184.00
"     10183, MAIS RETR LEMPERIERE CERENCES",571 683.81,450 545.74,28 120.80,16 595.87,44 716.66
"     10184, CAUE DE LA MANCHE SAINT LO",289 653.13,70 644.00,3 509.04,23 786.32,27 295.36
"     10185, MAIS RETR LE CHOSEL BARFLEUR",388 745.00,294 253.06,17 355.85,12 054.40,29 410.24
"     10186, MAIS RETR ANNOVILLE",686 000.05,515 978.58,29 388.35,21 517.64,50 905.98
"     10187, APAEIA FOYER VAL SEE AVRANCHES",152 449.02,42 688.54,2 548.63,12 454.49,15 003.12
"     10188, AEP ABBAYE MONTEBOURG",228 673.53,71 319.44,4 586.02,17 974.70,22 560.72
"     10189, HOPITAL LOCAL MORTAIN",1 036 973.54,868 118.93,39 493.34,23 340.37,62 833.71
"     10190, MAIS RETR ST JOSEPH SOURDEVAL",609 796.07,478 570.16,29 144.73,17 879.71,47 024.44
"     10191, MAIS RETR AGON COUTAINVILLE",1 122 024.76,834 995.43,53 351.72,29 581.87,82 933.58
"     10192, MAIS RETR STE MARIE DU MONT",156 260.25,129 235.67,8 537.01,4 155.15,12 692.16
"     10193, MFREO LA HAYE DU PUITS",198 183.72,32 404.06,2 370.99,20 177.61,22 548.60
"     10194, HOPITAL LOCAL ST JAMES",293 966.50,176 379.94,10 948.42,14 698.32,25 646.74
"     10195, HOPITAL LOCAL VILLEDIEU",533 571.50,432 689.98,24 853.37,15 118.36,39 971.72
"     10196, MAIS RETR LA BUCAILLE CHERBOURG",827 500.00,772 602.53,37 986.04,14 777.29,52 763.33
"     10197, MAIS RETR BARENTON",810 137.49,488 225.38,19 207.37,41 578.28,60 785.65
"     10199, MAISON D'ACCUEIL DE BEUVRON",2 117 466.12,1 853 383.57,57 566.34,58 364.39,115 930.73
"     10200, BANQUE ALIMENTAIRE MANCHE",295 000.00,227 516.94,8 431.40,12 281.56,20 712.96
"     10202, FOND BON SAUVEUR ST LO",1 678 771.83,1 414 658.61,48 853.25,45 770.26,94 623.50
"     10203, SCIC LES 7 VENTS DU COTENTIN",20 000.00,14 544.14,713.36,1 161.65,1 875.00
"     10204, ASS HELLEBORE 50 TEURTHEVILLE",76 227.00,8 566.51,713.56,16 660.92,17 374.48
"     10205, ASS RES FOYER LES HIRONDELLES",172 319.00,155 079.00,0,8 615.50,8 615.50
"     10207, PRESQU'ILE HABITAT OPH CUC",2 172 000.00,2 105 648.99,47 132.40,66 351.01,113 483.41
"     10208, APAEIA AVRANCHES",223 000.00,161 783.11,4 796.56,43 433.00,48 229.56
"     10991, SHEMA",4 800 000.00,2 984 210.62,99 813.00,246 315.78,346 128.77
"     10992, SEMINOR",413 500.00,289 450.00,8 993.63,20 675.00,29 668.63
"     10993, GIP LE MARITE",865 500.00,173 566.57,4 270.93,123 424.29,127 695.21
TOTAL GENERAL,405 750 491.95,240 222 820.61,7 322 235.64,21 677 024.08,29 009 941.20
