Code,communes 2016,part des résidences principales - 2008,nb rés. principales construites avant 2004 - 2008,nb rés. principales construites avant 1949 - 2008,nb rés. princ. construites de 1949 à 1974 - 2008,nb rés. princ. construites de 1975 à 1989 - 2008,nb rés. princ. construites de 1990 à 2003 - 2008,part rés. princ. construites avant 2004 - 2008,part rés. princ. construites avant 1949 - 2008,part rés. princ. construites de 1949 à 1974 - 2008,part rés. princ. construites de 1975 à 1989 - 2008,part rés. princ. construites de 1990 à 2003 - 2008
4001,AIGLUN,"92,1","447,499422","54,920384","76,278311","213,57927","102,721458","98,4","12,1","16,8",47,"22,6"
4004,ALLEMAGNE-EN-PROVENCE,"55,6","222,06169","68,248318","31,57758","52,968844","69,266949","96,9","29,8","13,8","23,1","30,2"
4005,ALLONS,"40,1",63,29,14,11,9,"96,9","44,6","21,5","16,9","13,8"
4006,ALLOS,"6,8","349,542379","69,931567","104,781896","138,834728","35,994189","99,1","19,8","29,7","39,4","10,2"
4007,ANGLES,46,29,13,5,6,5,100,"44,8","17,2","20,7","17,2"
4008,ANNOT,"56,1","465,07561","208,830046","101,892921","104,919443","49,433199","99,6","44,7","21,8","22,5","10,6"
4009,ARCHAIL,"20,1","4,529412","1,941176","0,647059","1,294118","0,647059",100,"42,9","14,3","28,6","14,3"
4012,AUBENAS-LES-ALPES,"56,6","35,452502","16,544501","5,90875","4,727","8,27225","93,8","43,8","15,6","12,5","21,9"
4013,AUBIGNOSC,"88,2","221,00863","60,55031","45,412732","46,421904","68,623684","96,9","26,5","19,9","20,4","30,1"
4016,AUTHON,"38,8",18,13,1,3,1,"94,7","68,4","5,3","15,8","5,3"
4017,AUZET,"27,6",35,20,6,0,9,"94,6","54,1","16,2",0,"24,3"
4018,BANON,"66,8","474,753925","178,032722","127,740993","98,57179","70,408421","95,7","35,9","25,8","19,9","14,2"
4019,BARCELONNETTE,"43,2","1341,033911","453,763395","367,210372","428,401135","91,659008","98,2","33,2","26,9","31,4","6,7"
4020,BARLES,"51,3",60,44,6,5,5,"98,4","72,1","9,8","8,2","8,2"
4021,BARRAS,"81,6",62,35,5,11,11,100,"56,5","8,1","17,7","17,7"
4022,BARREME,"59,4","228,655246","146,256959","37,079229","35,019272","10,299786","97,4","62,3","15,8","14,9","4,4"
4023,BAYONS,"38,1","104,165603","40,063693","16,025477","20,031847","28,044585","95,4","36,7","14,7","18,3","25,7"
4024,BEAUJEU,"59,5","64,26","29,58","9,18","15,3","10,2","96,9","44,6","13,8","23,1","15,4"
4025,BEAUVEZER,"23,9","152,404762","53,547619","31,922619","36,041667","30,892857","88,1",31,"18,5","20,8","17,9"
4026,BELLAFFAIRE,"57,6","61,363636","17,937063","11,328671","15,104895","16,993007","98,5","28,8","18,2","24,2","27,3"
4027,BEVONS,88,"66,744128","18,649094","5,889188","20,612157","21,593688","98,6","27,5","8,7","30,4","31,9"
4028,BEYNES,"56,6","53,890756","26,436975","5,084034","11,184874","11,184874","94,6","46,4","8,9","19,6","19,6"
4030,BLIEUX,"35,8","31,553571","12,214286","7,125","5,089286","7,125","96,9","37,5","21,9","15,6","21,9"
4031,BRAS-D'ASSE,"61,2",210,79,36,40,55,"92,5","34,8","15,9","17,6","24,2"
4032,BRAUX,"26,8",70,39,6,9,16,"95,9","53,4","8,2","12,3","21,9"
4033,LA BREOLE,"46,8",122,51,10,27,34,"96,8","40,5","7,9","21,4",27
4034,LA BRILLANNE,"80,7","318,104461","96,306855","78,796518","79,769314","63,231774","87,7","26,5","21,7",22,"17,4"
4035,BRUNET,"55,9",96,23,26,28,19,"92,3","22,1",25,"26,9","18,3"
4036,LE BRUSQUET,"83,1","385,76677","68,491228","79,570691","145,040248","92,664603","95,8",17,"19,8",36,23
4037,LE CAIRE,50,33,8,5,13,7,"97,1","23,5","14,7","38,2","20,6"
4039,CASTELLANE,"49,1","689,761903","329,181525","116,479617","113,441018","130,659744","96,5",46,"16,3","15,9","18,3"
4040,LE CASTELLARD-MELAN,"47,2",25,11,6,5,3,100,44,24,20,12
4041,LE CASTELLET,"65,3","100,523985","23,708487","23,708487","32,243542","20,863469","95,5","22,5","22,5","30,6","19,8"
