nom_ecole,niveau,adresse,cp,ville,telephone,geo
Ecole Daudet-Sand,Primaire,61 Rue Edouard Herriot,59120,LOOS,03.20.07.70.72,"50.608891,3.007127"
Ecole Charles Perrault,Maternelle,Rue des Frères Lumières,59120,LOOS,03.20.07.40.85,"50.609624,3.00939"
Ecole Jean de La Fontaine,Maternelle,Place Jean de la Fontaine,59120,LOOS,03.20.07.42.38,"50.618447,3.009609"
Ecole privée Notre Dame,Maternelle,"25bis, place Carnot",59120,LOOS,03.20.07.05.32,"50.617254,3.013402"
Ecole privée Notre Dame,Primaire,"25bis, place Carnot",59120,LOOS,03.20.07.05.32,"50.617254,3.013402"
Ecole Voltaire,Primaire,Rue Francisco Ferrer,59120,LOOS,03.20.07.72.84,"50.614165,3.011223"
Ecole Curie-Michelet,Primaire,Place Jean Jaurès,59120,LOOS,03.20.38.49.89,"50.609161,3.016163"
Ecole privée Saint-Vincent,Maternelle,"2, rue Sainte-Anne",59120,LOOS,03.20.07.09.34,"50.610885,3.019883"
Ecole privée Saint-Vincent,Primaire,"2, rue Sainte-Anne",59120,LOOS,03.20.07.09.34,"50.610885,3.019883"
Ecole Alice Sorlin,Primaire,76 rue du Marechal Foch,59120,LOOS,03.20.50.42.91,"50.615237,3.016787"
Ecole Sévigné - Victor Hugo,Primaire,Rue du Président Coty,59120,LOOS,03.20.07.95.41,"50.605593,3.009098"
Ecole Anatole France,Maternelle,Place Jean Jaurès,59120,LOOS,03.20.07.42.85,"50.609161,3.016163"
Ecole Florian,Maternelle,Rue Réaumur,59120,LOOS,03.20.07.05.40,"50.608077,3.010582"
Ecole Desbordes Valmore,Maternelle,Rue du Président Coty,59120,LOOS,03.20.07.66.75,"50.605593,3.009098"
Ecole Louise Michel,Maternelle,Rue Lamartine,59120,LOOS,03.20.07.05.15,"50.617001,3.015771"
