NUMERO,NOM PRODUIT,N° VOIE,VOIE,COMPL. ADR,CP,COMMUNE,LATITUDE,LONGITUDE,COMMENTAIRE 1,TEL (PRESTATAIRE),TEL 2 (PRESTATAIRE),FAX (PRESTATAIRE),MAIL (PRESTATAIRE),SITE WEB (PRESTATAIRE),Classement en étoiles,Type de structure touristique,Label national tourisme et handicap - Auditif,Label national tourisme et handicap - Mental,Label national tourisme et handicap - Moteur,Label national tourisme et handicap - Visuel,Classement office de tourisme
213001798,Office de Tourisme Barr Bernstein,,place de l'Hôtel de Ville,,67140,Barr,"48,408759","7,44953","Office de Tourisme intercommunal Barr Bernstein. 4 points d'accueil ouverts toute l'année: Andlau, Barr, Dambach-la-Ville et Le Hohwald. <br>
Horaires d'ouverture du bureau de Barr: <br>
Janvier-février-mars-novembre-décembre <br>
- lundi-samedi : 10-12h/14-17h <br>
- dimanche et jours fériés : fermé <br>
Avril-mai-juin-septembre-octobre <br>
- lundi-samedi : 9-12h/14-18h <br>
- dimanche et jours fériés : 14-18h <br>
Juillet-août <br>
- lundi-vendredi : 9-12h30/13h30-18h <br>
- samedi, dimanche et jours fériés : 10-12h/14-18h<br>",03 88 08 66 65,,03 88 08 66 51,info.tourisme@pays-de-barr.com,www.pays-de-barr.com,3 Etoiles,Office de tourisme,NON,NON,NON,NON,
213003394,Office de Tourisme Barr Bernstein (bureau) - Andlau,,place de la Mairie,,67140,Andlau,"48,3860835","7,4186897","Ouvert pendant les vacances scolaires de la zone B : <br>
- lundi-vendredi : 10-12h/14-17h <br>
- samedi, dimanche et jours fériés : fermé <br>
Juillet-août <br>
- lundi-samedi : 10-12h/14-17h <br>
- dimanche et jours fériés : fermé",03 88 08 22 57,03 88 08 66 65,,info.tourisme@pays-de-barr.com,www.pays-de-barr.com,3 Etoiles,Office de tourisme,NON,NON,NON,NON,
213003396,Office de Tourisme Barr Bernstein (bureau) - Dambach-la-Ville,,Place du Marché,,67650,Dambach la Ville,"48,3235793","7,4254006","Janvier-février-mars-novembre-décembre <br>
- lundi-vendredi : 10-12h/14-17h <br>
- samedi, dimanche et jours fériés : fermé <br>
Avril-mai-juin-septembre-octobre <br>
- lundi-vendredi : 9h30-12h/14-17h30 <br>
- samedi : 10-12h <br>
- dimanche et jours fériés : fermé <br>
Juillet-août <br>
- lundi-samedi : 9-12h/14-18h <br>
- dimanche et jours fériés : 10-12 <br>",03 88 92 61 00,03 88 08 66 65,03 88 92 47 11,info.tourisme@dambach-la-ville.fr,www.pays-de-barr.com,3 Etoiles,Office de tourisme,NON,NON,NON,NON,
213003397,Office de Tourisme Barr Bernstein (bureau) - Le Hohwald,,Square Kuntz,,67140,Le Hohwald,"48,4029173","7,3299515","Janvier-février-mars-novembre-décembre <br>
- lundi-samedi : 14-17h <br>
- dimanche et jours fériés : fermé <br>
Avril-mai-juin-septembre-octobre <br>
- lundi-vendredi : 10-12h/14-17h <br>
- samedi : 14-17h <br>
- dimanche et jours fériés : fermé <br>
Juillet-août <br>
- lundi-samedi : 9-12h/14-17h <br>
- dimanche et jours fériés : 14-17h ",03 88 08 33 92,03 88 08 66 65,03 88 08 30 14,info.tourisme@lehohwald.fr,www.pays-de-barr.com,3 Etoiles,Office de tourisme,NON,NON,NON,NON,
215000441,Office de Tourisme de la Vallée de la Bruche,114,Grand Rue,,67130,Schirmeck,"48,47830548","7,218521833","<b>du 1er octobre au 31 mai</b> :<br> du lundi au vendredi de 10 h à 12 h et 14 h à 17 h (ainsi que le samedi de Pâques, le 8 Mai, le Jeudi de l'Ascension). <br>
<b>du 1er au 30 juin et du 1er au 30 septembre </b>:<br> du lundi au vendredi de 9 h à 12 h et de 14h à 18 h. <br>Samedi de 10 h à 12 h et de 14h à 17 h. <br>
<b>du 1er juillet au 31 août</b> :<br> du lundi au vendredi de 9h à 12h et de 14h à 18h<br> le samedi, dimanche et jours fériés de 10 h à 12 h et de 14h à 17h.   <br>",03 88 47 18 51,,03 88 97 09 59,tourisme@valleedelabruche.fr,www.valleedelabruche.fr,,Office de tourisme,NON,OUI,OUI,NON,Catégorie 1
215002152,Bureau d'accueil du Champ du Feu,150,route de la Serva,Chalet du Champ du Feu,67130,Belmont,"48,4074168","7,2575029","Accueil et information touristique </br>
Location de vélo à assistance électrique</br>
Espace détente</br>
Salle hors sac et wc publics</br>
Boutique (cartes de randonnée, produits locaux, …)  
",03 88 47 18 51,,03 88 97 09 59,tourisme@valleedelabruche.fr,www.valleedelabruche.fr,2 Etoiles,Office de tourisme,NON,NON,NON,NON,
216000328,Office de Tourisme de Haguenau,1,Place Joseph Thierry,,67500,Haguenau,"48,8152869","7,7900013","Horaires d'ouvertures au public : 
Du lundi au vendredi de 9h à 12h30 et de 13h30 à 18h
Le samedi du 1er avril  au 30 septembre et du 1er décembre au 31 décembre de 10h à 12h et de 14h à 17h
Du 1er janvier au 31 mars  et du 1er octobre au 30 novembre de 14h à 17h
Les dimanches et jours fériés du 1er juin au 30 septembre de 14h à 17h

 


",03 88 06 59 99,,03 88 06 59 98,tourisme@haguenau.fr,www.tourisme-haguenau-potiers.com,,Office de tourisme,NON,NON,NON,NON,
217002051,Office de tourisme intercommunal du Pays de La Petite Pierre,2a,rue du Château,,67290,La Petite Pierre,"48,85659","7,318052","Niché au coeur du Parc Naturel Régional des Vosges du Nord, le Pays de La Petite Pierre regroupe 19 charmantes communes rurales, où patrimoine et randonnées sont à découvrir.",03 88 70 42 30,,03 88 70 41 08,info@ot-paysdelapetitepierre.com,www.jazzlapetitepierre.com,1 Etoile,Office de tourisme,NON,NON,NON,NON,
218000765,Office de Tourisme Région de Molsheim-Mutzig,19,Place de l'Hôtel de Ville,,67120,Molsheim,"48,54217643","7,492346288","L'Office de Tourisme vous propose de découvrir ses 15 localités : <br>- Altorf<br>- Avolsheim<br>- Dachstein<br>- Dinsheim sur Bruche<br>- Dorlisheim<br>- Duppigheim<br>- Duttlenheim<br>- Ergersheim<br>- Ernolsheim Bruche<br>- Gresswiller<br>- Molsheim<br>-  Mutzig<br>- Still<br>- Soultz les Bains<br>- Wolxheim.<br><br>Service visites guidées pour groupes toute l'année, sur demande, visites guidées: fort de Mutzig, patrimoine architectural et religieux, sentier des casemates, journée à thème ou sur mesure.... De nombreuses animations vous permettront de vous divertir dans notre région, programme détaillé sur demande. <br><br>Service Accueil, Séjours et Billetterie : <br>Des idées pour un agréable séjour ! Visites de villes et villages, randonnées pédestres, entrées de sites, balades à vélo, spectacles, Route des Vins...<br><br>Centrale de réservation : <br>Services de conseil et de réservation pour votre hébergement (hôtels, chambres d'hôtes, gîtes ruraux, campings...)<br><br>Boutique et idées cadeaux : <br>Articles souvenirs de l'Alsace et de la Région Molsheim-Mutzig, cartes postales, guide de randonnées, articles Bugatti (voitures miniatures, stylos, écussons, livres, t-shirts...)


",03 88 38 11 61,,03 88 49 80 40,infos@ot-molsheim-mutzig.com,www.ot-molsheim-mutzig.com,3 Etoiles,Office de tourisme,NON,NON,NON,NON,
218006746,Syndicat d'Initiative du Pays du Nideck,22,route du Nideck,,67280,Oberhaslach,"48,550896","7,323889",,03 88 50 90 15,,03 88 48 75 24,mairie.oberhaslach@wanadoo.fr,,,Office de tourisme,NON,NON,NON,NON,
