concept,motcle,champlexical
action de solidarité,action de solidarité,
action de solidarité et d’entraide,action de solidarité et d’entraide,
action humanitaire,action humanitaire,
addiction aux jeux d’argent (service),addiction aux jeux d’argent,"addiction, dépendance, aide"
aide au devoir (service),aide au devoir,
allemand (cours/atelier),allemand,cours de langue étrangère
anxiété (cours/atelier),anxiété,
apiculture (cours/atelier),apiculture,"abeille, miel, agriculture, nature"
aquagym (cours/atelier),aquagym,"sport, gymnastique, bien-être, eau, piscine, aqua gym"
aquarelle (cours/atelier),aquarelle,"dessin, peinture, arts plastiques"
architecture (cours/atelier),architecture,"art et culture, dessin, histoire"
art musical (cours/atelier),art musical,"musique, instrument, solfège, formation musicale"
art textile (cours/atelier),art textile,"arts plastiques, arts décoratifs, couture, stylisme"
art visuel (cours/atelier),art visuel,"arts plastiques, photographie, vidéo"
artisanat d’art (cours/atelier),artisanat d’art,"bijoux, broderie, céramique, ébénisterie, bois, ferronnerie, sculpture"
astronomie (cours/atelier),astronomie,nature
atelier de pratique (pratique collective),atelier de pratique,
athlétisme (cours/atelier),athlétisme,"sport, course"
aviron (pratique collective),aviron,"sport collectif, eau, rivière, nature"
avortement (service),avortement,
badminton (pratique collective),badminton,"sport collectif, raquette"
bagagerie,bagagerie,
banque alimentaire,banque alimentaire,
brevet aéronautique (formation),brevet aéronautique,
cannage (cours/atelier),cannage,
canoë (cours/atelier),canoë,
capa jardinier paysagiste (formation),capa jardinier paysagiste,
cardio (cours/atelier),cardio,
carnaval (cours/atelier),carnaval,
cerceau (cours/atelier),cerceau,
chant amateur (cours/atelier),chant amateur,"musique, chant, voix, chorale, choeur"
cheval (cours/atelier),cheval,
chinois (cours/atelier),chinois,cours de langue étrangère
chômage (service),chômage,
clown (cours/atelier),clown,
collecte alimentaire,collecte alimentaire,
collection d’objets (cours/atelier),collection d’objets,
comédie (cours/atelier),comédie,"théâtre, jeu, scène"
compétition,compétition,
connaissance du vin (cours/atelier),connaissance du vin,
contemporain (danse) (cours/atelier),contemporain (danse),
corps-esprit (cours/atelier),corps-esprit,
costume (cours/atelier),costume,
création (cours/atelier),création,
création musicale (cours/atelier),création musicale,
culture générale (cours/atelier),culture générale,
danse de loisir (cours/atelier),danse de loisir,
démarches (service),démarches,
dentelle au fuseau (cours/atelier),dentelle au fuseau,
dépendance (service),dépendance,
dessin (cours/atelier),dessin,
discrimination (service),discrimination,
donneur de voix,donneur de voix,
éclaireur de france (pratique collective),éclaireur de france,
écoute (service),écoute,
écriture (cours/atelier),écriture,
escalade (cours/atelier),escalade,
étirements (cours/atelier),étirements,
éveil musical (cours/atelier),éveil musical,
fablab (cours/atelier),fablab,
fatigue (cours/atelier),fatigue,
faune (cours/atelier),faune,
floorball (pratique collective),floorball,"unihockey, hockey, sport collectif, balle"
flore (cours/atelier),flore,
football américain (pratique collective),football américain,"sport collectif, ballon, foot"
formation professionnelle (formation),formation professionnelle,
français (cours/atelier),français,cours de langue étrangère
gabare (cours/atelier),gabare,
groupe d’entraide,groupe d’entraide,
guides de france (pratique collective),guides de france,
gymnastique (cours/atelier),gymnastique,
gyroroues (cours/atelier),gyroroues,
hockey sur gazon (pratique collective),hockey sur gazon,"sport collectif, balle"
hockey sur glace (pratique collective),hockey sur glace,"sport collectif, patinage"
hypnose (cours/atelier),hypnose,
infections sexuellement transmissibles (service),infections sexuellement transmissibles,
instrument (cours/atelier),instrument,"musique, orchestre"
jeux de plateau (pratique collective),jeux de plateau,
jeux vidéo (cours/atelier),jeux vidéo,
kendo (cours/atelier),kendo,"art martial, escrime, sable"
langue (cours/atelier),langue,cours de langue étrangère
langue des signes (cours/atelier),langue des signes,cours de langue étrangère
lettre de motivation (cours/atelier),lettre de motivation,
logement (service),logement,
lutte (cours/atelier),lutte,sport collectif
marche (pratique collective),marche,"ballade, bien-être"
marching band (pratique collective),marching band,"musique, orchestre, instrument"
mime (cours/atelier),mime,
mise en scène (cours/atelier),mise en scène,
mölkky (cours/atelier),mölkky,
moment convivial,moment convivial,
musique (cours/atelier),musique,
musique celtique (cours/atelier),musique celtique,
musique classique (cours/atelier),musique classique,
natation (cours/atelier),natation,"piscine, eau, sport"
paddle (cours/atelier),paddle,
paramoteur (pratique collective),paramoteur,
pédagogie (cours/atelier),pédagogie,
percussion (cours/atelier),percussion,
permis côtier (formation),permis côtier,
philatélie (cours/atelier),philatélie,
philosophie (cours/atelier),philosophie,
pilate (cours/atelier),pilate,
pilates (cours/atelier),pilates,
ping-pong (cours/atelier),ping-pong,
plongée en piscine et en fosse (cours/atelier),plongée en piscine et en fosse,
poésie (cours/atelier),poésie,
posture (cours/atelier),posture,
poutre (cours/atelier),poutre,
pratique du deux-roues (pratique collective),pratique du deux-roues,
PSE1 (formation),PSE1,
psychogénéalogie (cours/atelier),psychogénéalogie,
qi gong (cours/atelier),qi gong,
radio (cours/atelier),radio,
réalisation (cours/atelier),réalisation,
recrutement (cours/atelier),recrutement,
russe (cours/atelier),russe,cours de langue étrangère
séance d’information,séance d’information,
secours en équipe (formation),secours en équipe,
self-défense (cours/atelier),self-défense,
shorinji kempo (cours/atelier),shorinji kempo,
solidarité intergénérationnelle (service),solidarité intergénérationnelle,
sortie,sortie,
sport (pratique collective),sport,
sports de montagne (cours/atelier),sports de montagne,
tabagisme (service),tabagisme,
taiji quan (cours/atelier),taiji quan,
tango argentin (danse) (cours/atelier),tango argentin (danse),
tarot (pratique collective),tarot,
technique de tir (cours/atelier),technique de tir,
téléthon,téléthon,
théâtre (cours/atelier),théâtre,
théâtre contemporain (cours/atelier),théâtre contemporain,
tir à la carabine (cours/atelier),tir à la carabine,
tonnellerie (cours/atelier),tonnellerie,
train miniature (cours/atelier),train miniature,
tricot (cours/atelier),tricot,
utilisation d’internet (cours/atelier),utilisation d’internet,
victime de secte ou d’emprise (service),victime de secte ou d’emprise,
visite à domicile et en ehad,visite à domicile et en ehad,
volley (pratique collective),volley,
volley-ball (pratique collective),volley-ball,
wing chun (cours/atelier),wing chun,
yang luchan (cours/atelier),yang luchan,
zazen (cours/atelier),zazen,
acrobatie (cours/atelier),acrobatie,"sport, gymnastique"
