COLL_NOM,COLL_SIRET,COLL_TYPE,ACTE_REF,CONV_DAT,ATTRIB_SIRET,ATTRIB_NOM,Type bénéficiaire,SUB_OBJET,Montant décidé mouvement
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,77650403700024.0,ABBAYE D' HAUTECOMBE FONDATION ,Personne morale de droit privé,Restauration toitures Abbaye d'Hautecombe Phase 5 TC2,225611
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,7652056801336.0,ADS ,Personne morale de droit privé,"Trx de sécurisation pour le renouvellement du télésiège du ""Pré Saint Esprit""",80000
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,30942144400055.0,AGENCE ALPINE DES TERRITOIRES ,Personne morale de droit privé,Fonctionnement 2018,1159273
Département de la Savoie,22730001900014.0,DEP,2019-001,19/10/2018,30942144400055.0,AGENCE ALPINE DES TERRITOIRES ,Personne morale de droit privé,Acompte avant BP,384228
Département de la Savoie,22730001900014.0,DEP,2018-009,13/07/2018,33246958400053.0,AGIRH ASS DE GESTION POUR INSERTION ET RECLASSEMENT DES HANDICAPES ,Personne morale de droit privé,FSE 2018,55052
Département de la Savoie,22730001900014.0,DEP,2018-007,01/06/2018,38348229600035.0,AIDER ACTIVITES POUR INITIATIVE DEVELOPPEMENT ECONOMIE RURALE ,Personne morale de droit privé,FSE 2018,"77171,5"
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,31033745600027.0,AMIS JEUNESSE ET SPORTS ,Personne morale de droit privé,Sub financement journées 2018,44000
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,31033745600027.0,AMIS JEUNESSE ET SPORTS ,Personne morale de droit privé,Sub fonctionnement 2018,34000
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,31033745600027.0,AMIS JEUNESSE ET SPORTS ,Personne morale de droit privé,Sub PSJ nordique 2018,30000
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,33174810300024.0,AQCV ASSOCIATION QUARTIER CENTRE VILLE ,Personne morale de droit privé,Sub CTJ 2018,26000
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,34295162100032.0,ARTS DU CIRQUE ,Personne morale de droit privé,ARC EN CIRQUE SUBVENTION 2018,32800
Département de la Savoie,22730001900014.0,DEP,2018-013,23/11/2018,77644224600067.0,ASS AIDE AUX FAMILLES A DOMICILE AFD ,Personne morale de droit privé,DESSAD AFD,31580
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,32332723900055.0,ASS DEPART DEVEL ET COORD DES ACTIONS EN FAVEUR DES ETRANGERS 73 ,Personne morale de droit privé,Fonctionnement de l'association,58000
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,44208110500029.0,ASS DEPARTEMENTALE RECHERCHE ARCHEOLOGIQUE EN SAVOIE ADRAS ,Personne morale de droit privé,SUBVENTION ADRAS 2018,35000
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,31893292800019.0,ASS LES AMIS DES BAUGES ,Personne morale de droit privé,Sub CTJ 2018,29400
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,38336049200029.0,ASSOCIATION ADAC LE DOME THEATRE ,Personne morale de droit privé,ADAC SOLDE,126412
Département de la Savoie,22730001900014.0,DEP,2018-008,22/06/2018,38336049200029.0,ASSOCIATION ADAC LE DOME THEATRE ,Personne morale de droit privé,2018 - SOUTIEN AUX ACTIONS EN DIRECTION DU JEUNE PUBLIC,60000
Département de la Savoie,22730001900014.0,DEP,2019-001,19/10/2018,38336049200029.0,ASSOCIATION ADAC LE DOME THEATRE ,Personne morale de droit privé,ADAC 25%,42138
Département de la Savoie,22730001900014.0,DEP,2018-005,30/03/2018,43300756400027.0,ASSOCIATION CANTONALE D'ANIMATION COMBE DE SAVOIE ,Personne morale de droit privé,CDF 2018 APP 1,29700
Département de la Savoie,22730001900014.0,DEP,2018-005,30/03/2018,38404483000022.0,ASSOCIATION CENTRE  SOCIAL ET D ANIMATION DU BIOLLAY ,Personne morale de droit privé,CDF 2018 APP 1,25000
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,79220690600010.0,ASSOCIATION D'ACTION SOCIALE DU DEPARTEMENT DE LA SAVOIE AASDES ,Personne morale de droit privé,SUBVENTION AASDES 2018,440500
Département de la Savoie,22730001900014.0,DEP,2019-001,19/10/2018,79220690600010.0,ASSOCIATION D'ACTION SOCIALE DU DEPARTEMENT DE LA SAVOIE AASDES ,Personne morale de droit privé,AASDES SUBVENTION 2019,121500
Département de la Savoie,22730001900014.0,DEP,2018-008,22/06/2018,34903809100030.0,ASSOCIATION DEPARTEMENTALE D'INFORMATION SUR LE LOGEMENT ,Personne morale de droit privé,subvention annuelle ADIL,67500
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,32958246400023.0,ASSOCIATION DEPARTEMENTALE LOISIRS VACANCES POUR HANDICAPES MENTAUX ,Personne morale de droit privé,FAFS ADLV,39000
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,33032731300038.0,ASSOCIATION DEPARTEMENTALE SAVOIE NORDIQUE ,Personne morale de droit privé,Subv 2018 Savoie Nordique,36000
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,77651174300028.0,ASSOCIATION SAVOYARDE DES CLASSES DE DECOUVERTE ,Personne morale de droit privé,Subvention ASCD 2018,350000
Département de la Savoie,22730001900014.0,DEP,2018-005,30/03/2018,39209620200024.0,ASSOCIATION VIVRE EN VAL D ARLY ,Personne morale de droit privé,CDF 2018 APP 1,29971
Département de la Savoie,22730001900014.0,DEP,2018-007,01/06/2018,32941619200097.0,ASS POUR ADULTES JEUNE HANDICAPE SAVOIE APAJH ,Personne morale de droit privé,FSE 2018,"28235,4"
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,33188719000022.0,ASS PROMOTION ET ENSEIGNEMENT DES MUSIQUES ACTUELLES DE SAVOIE APEJS ,Personne morale de droit privé,APEJS Solde 2018,50250
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,32339042700041.0,ASS SAVOYARDE POUR LE DEVELOPPEMENT DES ENERGIES RENOUVELABLES ASDER ,Personne morale de droit privé,Subvention 2018,103250
Département de la Savoie,22730001900014.0,DEP,2019-001,19/10/2018,32339042700041.0,ASS SAVOYARDE POUR LE DEVELOPPEMENT DES ENERGIES RENOUVELABLES ASDER ,Personne morale de droit privé,Subvention COTISATION 2019,34250
Département de la Savoie,22730001900014.0,DEP,2018-007,01/06/2018,33210939600017.0,ATELIERS DES ARTS DE L'ALBANAIS ,Personne morale de droit privé,Subvention EEA Acompte 25%,53743
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,38881445100018.0,BOB LUGE FRANCE ASSOCIATION ,Personne morale de droit privé,Sub equipement olympique 2018,85000
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,33027423400054.0,CAUE DE LA SAVOIE ,Personne morale de droit privé,Acompte 25% avant BP,412500
Département de la Savoie,22730001900014.0,DEP,2019-001,19/10/2018,33027423400054.0,CAUE DE LA SAVOIE ,Personne morale de droit privé,Acompte avant BP,137500
Département de la Savoie,22730001900014.0,DEP,2018-005,30/03/2018,75322332000015.0,CENTRE SOCIAL ET CULTUREL DES COMBES ,Personne morale de droit privé,CDF 2018 APP 1,25000
Département de la Savoie,22730001900014.0,DEP,2018-005,30/03/2018,40046298200028.0,CENTRE SOCIO-CULTUREL DES MOULINS CHAMBERY ,Personne morale de droit privé,CDF 2018 APP 1,25000
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,44175183100039.0,CHAMBERY SAVOIE HANDBALL SASP ,Personne morale de droit privé,Sub club pro 2018,320000
Département de la Savoie,22730001900014.0,DEP,2018-009,13/07/2018,77646508000013.0,COLLEGE ST FRANCOIS DE SALES ,Personne morale de droit privé,SUB AIDE A L'INVESTISSEMENT 2018,93509
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,40802663100031.0,COMITE DEPARTEMENTAL DES CLUBS ALPINS ET DE MONTAGNE DE LA SAVOIE ,Personne morale de droit privé,Sub comite sportif dep 2018,23000
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,32004788900029.0,COMITE DEPARTEMENTAL OLYMPIQUE ET SPORTIF ,Personne morale de droit privé,Sub comite sportif dep 2018,78750
Département de la Savoie,22730001900014.0,DEP,2019-001,19/10/2018,32004788900029.0,COMITE DEPARTEMENTAL OLYMPIQUE ET SPORTIF ,Personne morale de droit privé,Sub acpte 25% 2018,26250
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,43163589500011.0,COMITE DE SKI DE SAVOIE ,Personne morale de droit privé,Sub comite sportif dep 2018,67500
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,39432025300013.0,COMITE HANDISPORT DE SAVOIE ,Personne morale de droit privé,Sub comite sportif dep 2018,29500
Département de la Savoie,22730001900014.0,DEP,2018-008,22/06/2018,32017879100028.0,CONFEDERATION NATIONALE DU LOGEMENT ,Personne morale de droit privé,subvention CNL 2018,23000
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,38215121500011.0,CONSERVATOIRE ESPACES NATURELS DE SAVOIE ,Personne morale de droit privé,Fonctionnement 2018,137500
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,38215121500011.0,CONSERVATOIRE ESPACES NATURELS DE SAVOIE ,Personne morale de droit privé,Investissement 2018,35000
Département de la Savoie,22730001900014.0,DEP,2019-001,19/10/2018,38215121500011.0,CONSERVATOIRE ESPACES NATURELS DE SAVOIE ,Personne morale de droit privé,Fonctionnement 2019,46250
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,81894484500010.0,COURCHEVEL MERIBEL 2023 ,Personne morale de droit privé,Sub evenement sportif 2018,70000
Département de la Savoie,22730001900014.0,DEP,2018-005,30/03/2018,83337752600011.0,CTRE DE SEJOURS ET DE VACANCES DES MFR ,Personne morale de droit privé,mise aux norles et modernisation du CDV les pieux à Crest Voland,95000
Département de la Savoie,22730001900014.0,DEP,2018-007,01/06/2018,40847923600023.0,DEVA ,Personne morale de droit privé,Subvention EEA Acompte 25%,30395
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,42450658200016.0,DISTRICT DE SAVOIE DE FOOTBALL ,Personne morale de droit privé,Sub comite sportif dep 2018,43500
Département de la Savoie,22730001900014.0,DEP,2018-007,01/06/2018,34827096800020.0,ECOLE DE MUSIQUE ONDE ET NOTES ,Personne morale de droit privé,Subvention EEA Acompte 25%,60536
Département de la Savoie,22730001900014.0,DEP,2018-005,30/03/2018,35190800900035.0,ESPACE ASSOCIATIF CANTONAL ,Personne morale de droit privé,CDF 2018 APP 1,25000
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,30927672300041.0,FACIM ,Personne morale de droit privé,SUBVENTION FACIM 2018,402500
Département de la Savoie,22730001900014.0,DEP,2019-001,19/10/2018,30927672300041.0,FACIM ,Personne morale de droit privé,SUBVENTION FACIM 2019,135000
Département de la Savoie,22730001900014.0,DEP,2018-005,30/03/2018,77647360500090.0,FEDERATION DEPART ASS AIDE A DOMICILE MILIEU RURAL ADMR ,Personne morale de droit privé,CDF 2018 APP 1,40219
Département de la Savoie,22730001900014.0,DEP,2018-013,23/11/2018,77647360500090.0,FEDERATION DEPART ASS AIDE A DOMICILE MILIEU RURAL ADMR ,Personne morale de droit privé,DESSAD - ADMR,278347
Département de la Savoie,22730001900014.0,DEP,2018-009,13/07/2018,77646710200062.0,FEDERATION DES OEUVRES LAIQUES DE LA SAVOIE FOL ,Personne morale de droit privé,Sub asso departementale 2018,38000
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,33887765700019.0,FEDERATION MUSICALE DE SAVOIE ,Personne morale de droit privé,FMS Solde 2018,124875
Département de la Savoie,22730001900014.0,DEP,2019-001,19/10/2018,33887765700019.0,FEDERATION MUSICALE DE SAVOIE ,Personne morale de droit privé,2019 FMS 25%,42625
Département de la Savoie,22730001900014.0,DEP,2018-006,20/04/2018,77567131600260.0,FED FRANCAISE CLUBS ALPINS ET MONTAGNE FFCAM ,Personne morale de droit privé,Refuge Félix faure 2eme tranche financière,39765
Département de la Savoie,22730001900014.0,DEP,,11/12/2018,77567131600260.0,FED FRANCAISE CLUBS ALPINS ET MONTAGNE FFCAM ,Personne morale de droit privé,refuge Félix faure 1ere tr fi,70000
Département de la Savoie,22730001900014.0,DEP,,11/12/2018,77567131600260.0,FED FRANCAISE CLUBS ALPINS ET MONTAGNE FFCAM ,Personne morale de droit privé,Refuge Félix faure 2eme tranche financière,39765
Département de la Savoie,22730001900014.0,DEP,2018-005,30/03/2018,80479323000017.0,FLOR'ALPES PATRIMOINE ,Personne morale de droit privé,modernisation des 9 chambres de l'hôtel flor'alpes à al Giettaz,55000
Département de la Savoie,22730001900014.0,DEP,2018-013,23/11/2018,77568879901126.0,FONDATION ORPHELINS APPRENTIS AUTEUIL COLLEGE SAINT PAUL ,Personne morale de droit privé,SUB AIDE A L'INVESTISSEMENT 2018,104647
Département de la Savoie,22730001900014.0,DEP,2018-005,30/03/2018,48392904800062.0,GUIDANCE 73 RESIDENCE SOCIALE JOSEPH ESCOFFIER ,Personne morale de droit privé,insertion des jeunes par le logement - Résidence Escoffier,37600
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,44920816400029.0,INES PLATEFORME FORMATION ET EVALUATION ,Personne morale de droit privé,Acompte 25% avant BP,202387
Département de la Savoie,22730001900014.0,DEP,2019-001,19/10/2018,44920816400029.0,INES PLATEFORME FORMATION ET EVALUATION ,Personne morale de droit privé,Acompte avant BP,67463
Département de la Savoie,22730001900014.0,DEP,2018-010,14/09/2018,32339016100046.0,IREPS EDUCATION SANTE RHONE ALPES ,Personne morale de droit privé,FAFS SOUTIEN AUX ACTIVITES D INTERET GENERAL,64000
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,34233769800027.0,LA CANTINE SAVOYARDE ,Personne morale de droit privé,Fonctionnement de l'association,35000
Département de la Savoie,22730001900014.0,DEP,2018-005,30/03/2018,53157556100034.0,LA MONNAIE AUTREMENT ,Personne morale de droit privé,CDF 2018 APP 1,25000
Département de la Savoie,22730001900014.0,DEP,2018-010,14/09/2018,39845346400032.0,LA SASSON ,Personne morale de droit privé,FSE 2018,"41189,4"
Département de la Savoie,22730001900014.0,DEP,2018-005,30/03/2018,38829294800022.0,LE GRILLON ASSOCIATION ,Personne morale de droit privé,supplément gestion locative le Grillon parc classique,102856
Département de la Savoie,22730001900014.0,DEP,2018-008,22/06/2018,77650922600010.0,LES AMIS DU CINEMA ASSOCIATION ,Personne morale de droit privé,2018 - DIFFUSION CINEMATOGRAPHIQUE,45000
Département de la Savoie,22730001900014.0,DEP,2018-005,30/03/2018,81014116800023.0,LES LODGES DU LAC D'AIGUEBELETTE ,Personne morale de droit privé,modernisation de l'hôtel les lodges du lac popu rpassage 3* et 10 lodges implantés,50000
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,49460947200019.0,LES NUITS D'ETE ,Personne morale de droit privé,Les Nuits d'été 2018,30000
Département de la Savoie,22730001900014.0,DEP,2018-005,30/03/2018,77570076800010.0,LIGUE DE L'ENSEIGNEMENT DE LA SEINE MARITIME FHOL ,Personne morale de droit privé,"mise aux normes, extension modernisation du CDV chalet du havre a valloire",50000
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,77646108900026.0,MAISON DE LA CULTURE DE CHAMBERY ET SAVOIE ESPACE MALRAUX AMCCS ,Personne morale de droit privé,AMCCS Solde 2018,904500
Département de la Savoie,22730001900014.0,DEP,2019-001,19/10/2018,77646108900026.0,MAISON DE LA CULTURE DE CHAMBERY ET SAVOIE ESPACE MALRAUX AMCCS ,Personne morale de droit privé,AMCCS 25%,100500
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,77646784700013.0,MAISON DES JEUNES ET DE LA CULTURE DE CHAMBERY MJC ,Personne morale de droit privé,Sub CTJ 2018,24500
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,39380610400013.0,MAISON DES JEUX OLYMPIQUES ,Personne morale de droit privé,SUBVENTION MJO 2018,48750
Département de la Savoie,22730001900014.0,DEP,2018-008,22/06/2018,44423767100029.0,MAURIENNE TOURISME CSM ,Personne morale de droit privé,"Animer, coordonner et développer l'itinérance en Maurienne",28500
Département de la Savoie,22730001900014.0,DEP,2018-008,22/06/2018,44423767100029.0,MAURIENNE TOURISME CSM ,Personne morale de droit privé,Développer la filière cyclosportive et cyclotouristique en Maurienne,30400
Département de la Savoie,22730001900014.0,DEP,2018-009,13/07/2018,32952981200037.0,MISSION LOCALE JEUNES DU BASSIN CHAMBERIEN ,Personne morale de droit privé,Sub asso departementale 2018,34000
Département de la Savoie,22730001900014.0,DEP,2018-007,01/06/2018,33057526700027.0,MISSION LOCALE JEUNES MAURIENNE ,Personne morale de droit privé,FSE 2018 CLAUSES SOCIALES,33986
Département de la Savoie,22730001900014.0,DEP,2018-009,13/07/2018,47913397700088.0,MOBIL EMPLOI ,Personne morale de droit privé,FSE 2018,"83410,01"
Département de la Savoie,22730001900014.0,DEP,2018-005,30/03/2018,32593164000057.0,MOSAICA CENTRE SOCIAL ,Personne morale de droit privé,CDF 2018 APP 1,24983
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,39854186200049.0,MUSIQUE PASSION ASSOCIATION ,Personne morale de droit privé,Les Nuits romantiques 2018,40000
Département de la Savoie,22730001900014.0,DEP,2018-004,23/03/2018,30701301100027.0,OFFICES DE TOURISME SAVOIE MONT BLANC OT73 SMB ,Personne morale de droit privé,fonctionnement 2018 2eme partie,68082
Département de la Savoie,22730001900014.0,DEP,2018-009,13/07/2018,77644184200049.0,OGEC COLLEGE PRIVE JEANNE D ARC ,Personne morale de droit privé,SUB AIDE A L'INVESTISSEMENT 2018,32427
Département de la Savoie,22730001900014.0,DEP,2018-009,13/07/2018,77649068200015.0,OGEC COLLEGE PRIVE NOTRE DAME DE LA VILLETTE ,Personne morale de droit privé,SUB AIDE A L'INVESTISSEMENT 2018,82699
Département de la Savoie,22730001900014.0,DEP,2018-009,13/07/2018,77643724600031.0,OGEC LAMARTINE LE GAZOUILLIS ,Personne morale de droit privé,SUB AIDE A L'INVESTISSEMENT 2018,39520
